City,Place Name,Zipcode,Name
BENI MELLAL,visa,,unknown,unknown
Bzou,western_union,,unknown,DC BZOU DR IMEDDAHENE
Azilal,western_union,,unknown,LC AZILAL HAY OUZOUD
Beni Mellal,western_union,,unknown,STE MAJOR PHOTO CENTER
Aghbala,western_union,,unknown,DC AGHBALA
Zaouiat Cheikh,western_union,,unknown,DC ZAOUIAT CHEIKH
Ouezzane,western_union,,unknown,LC OUEZZANE SIDI REDOUANE
El Ksiba,western_union,,unknown,AARI HASSAN
Fnideq,western_union,,unknown,LC FNIDEQ BD BAGHDAD
Oulad Ayad,western_union,,unknown,WAFACASH OULAD AYAD QODS  EM
Ait Aatab,western_union,,unknown,DC AIT ATAB TAOUNZA
Ouaouizarth,western_union,,unknown,OUAOUIZGHET
Ouled Yaich,western_union,,unknown,WAFACASH OULAD YAICH CC
Souk Sebt,western_union,,unknown,KHADAMAT SOUDOU SARL AU
Souk Sebt Old Nemma,western_union,,unknown,NEAR OULAD AYAD
Benimellal,western_union,,unknown,CASH PLUS BM ZANKAT EL AMALA
Tizi Nisly,western_union,,unknown,CASH PLUS TIZI NISLY
Larbaa Noukebli,western_union,,unknown,CASH PLUS LARBAA NOUKEBLI
Ouled Mbarek,western_union,,unknown,DC OULED MBAREK PRINCIPALE
Tizi Nisli,western_union,,unknown,DC TIZI NISLI
Ouled Kichou,western_union,,unknown,OULED NACEUR
Imzouren,western_union,,unknown,LC IMZOUREN RUE JBEL TOUBKAL
Ouled M Barek,western_union,,unknown,OULED MBAREK OULED AYOUB
Foum Oudi,western_union,,unknown,FOUM OUDI ENNOUR 3
Bni Mellal,western_union,,unknown,DC BENI MELLAL 2 MARS
Oulad Nacer,western_union,,unknown,HAD BOUMOUSSA
Laayayta,western_union,,unknown,LAAYAYTA CENTRE
Had Boumoussa,western_union,,unknown,HAD BOU MOUSSA
Sebt Ouled Nemma,western_union,,unknown,SOUK SABT
Fkih Ben Salah,western_union,,unknown,CIH LC  FKIH BEN SALEH KOURIFAT
Sebt Oulad Nemma,western_union,,unknown,DC LAMGHARIR
Foum El Anser,western_union,,unknown,DC ADOUZ CENTRE
Ait Thaich,western_union,,unknown,BENI MELLAL AIT THAICH
Had Bou Moussa,western_union,,unknown,DC HAD BOUMOUSSA EDDYANI
Sidi Jaber,western_union,,unknown,CASH PLUS SIDI JABER
Hoceima,western_union,,unknown,LC EL HOCEIMA BD HASSAN II
Taghzirt,western_union,,unknown,CASH PLUS TAGHZIRT
Dar Ould Zidouh,western_union,,unknown,DC OULAD ZIDOUH HASSAN 1
Tagzirt,western_union,,unknown,DC TAGZIRT
Tagziret,western_union,,unknown,LC CENTRE TAGZIRET
Ouled Yaiche,western_union,,unknown,DC OULED YAICH PRINCIPALE
Tanougha,western_union,,unknown,MAROUANE ELGOULMANI
Oulad Yaich,western_union,,unknown,DC OULAD YAICH
Lahlalma,western_union,,unknown,CASH PLUS LAHLALMA
Ksar Draoua,western_union,,unknown,CASH PLUS KSAR DRAOUA
Ouled Mrah,western_union,,unknown,DC OULED MRAH
Ouled Zidouh,western_union,,unknown,SAT OULED ZIDOUH
Ksiba,western_union,,unknown,WAFACASH EL KSIBA AIT CHBA AMN
Elksiba,western_union,,unknown,ELKSIBA LOT ALFIRDAOUS PR
El Kesiba,western_union,,unknown,RIZO TECH SARL
Kasba Tadla,western_union,,unknown,DC BOUHMED CENTRE
