Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
b68539acdd990e3da4bd997c19e15a6f,western_union,CASH PLUS FBS HAY SALAM,,Fkih Ben Saleh,SKHIRATE TEMARA,,MA,+212 668-869584,https://location.westernunion.com/ma/skhirate-temara/fkih-ben-saleh/b68539acdd990e3da4bd997c19e15a6f,Mo-Su 08:00-24:00,Western Union,Q861042
b43c02840be0ef5545768a41da065993,western_union,LC AIN AOUDA TEMARA,,Temara,SKHIRATE TEMARA,,MA,+212 672-980379,https://location.westernunion.com/ma/skhirate-temara/temara/b43c02840be0ef5545768a41da065993,Mo-Su 00:08-24:00,Western Union,Q861042
f0900b25dda835f91bdf95424f72966f,western_union,AIN ELAOUDA LOT EL HAYAT,,Ain Aouda,SKHIRATE TEMARA,,MA,+212 667-784072,https://location.westernunion.com/ma/skhirate-temara/ain-aouda/f0900b25dda835f91bdf95424f72966f,Mo-Su 00:01-24:00,Western Union,Q861042
a215d7f572a4f40b7c06c312a9ab6aee,western_union,MOUADI SAID,,Ain Aouda,SKHIRATE TEMARA,,MA,+212 661-896948,https://location.westernunion.com/ma/skhirate-temara/ain-aouda/a215d7f572a4f40b7c06c312a9ab6aee,Mo-Tu 08:00-24:00; We 08:00-23:00; Th-Su 08:00-24:00,Western Union,Q861042
0d055423de0d50de2252d8e24e46b631,western_union,YOYO CASH,,Temara,SKHIRATE TEMARA,,MA,+212 661-412511,https://location.westernunion.com/ma/skhirate-temara/temara/0d055423de0d50de2252d8e24e46b631,Mo-Su 07:00-24:00,Western Union,Q861042
befdad157b59a1153817f7bdf160a14a,western_union,AIN ELHAYAT 2,,Skhirat,SKHIRATE TEMARA,,MA,+212 617-340724,https://location.westernunion.com/ma/skhirate-temara/skhirat/befdad157b59a1153817f7bdf160a14a,Mo-Su 00:01-24:00,Western Union,Q861042
94756f6a0440d2a26dcc41a133088f7d,western_union,CASH PLUS SKHIRAT HASSAN 2,,Skhirat,SKHIRATE TEMARA,,MA,+212 679-888911,https://location.westernunion.com/ma/skhirate-temara/skhirat/94756f6a0440d2a26dcc41a133088f7d,Mo-Su 08:00-24:00,Western Union,Q861042
f2a6dcc2ac07de55259972f0f30a749c,western_union,PANORAMIQUE,,Skhirat,SKHIRATE TEMARA,,MA,(+212) 535-124477,https://location.westernunion.com/ma/skhirate-temara/skhirat/f2a6dcc2ac07de55259972f0f30a749c,Mo-Su 00:01-24:00,Western Union,Q861042
3878a76be2dc84a3bdac0fd03a63ec56,western_union,DC TEMARA MERS ELKHEIR,,Temara,SKHIRATE TEMARA,,MA,+212 676-924977,https://location.westernunion.com/ma/skhirate-temara/temara/3878a76be2dc84a3bdac0fd03a63ec56,Mo-Su 08:00-24:00,Western Union,Q861042
a32fa6e9c5b8cac77bd521a318340176,western_union,TAMESNA PR,,Temara,SKHIRATE TEMARA,,MA,+212 688-639590,https://location.westernunion.com/ma/skhirate-temara/temara/a32fa6e9c5b8cac77bd521a318340176,Mo-Su 00:01-24:00,Western Union,Q861042
a5e7c065299138c6e85a3aace6420401,western_union,CASH PLUS ABDELLAH IBN YASSIN,,Tamesna,SKHIRATE TEMARA,,MA,+212 653-476163,https://location.westernunion.com/ma/skhirate-temara/tamesna/a5e7c065299138c6e85a3aace6420401,Mo-Su 08:00-24:00,Western Union,Q861042
