Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
71944522,moneygram,CHAABI CASH - #5087 - OUJDA,,OUJDA,,,MA,+212 677-043614,,Mo-Su 08:00-23:00,MoneyGram,Q1944412
71980764,moneygram,CASHPLUS - #94504 - AL AROUI MOJAHIDINE,,AL AROUI,,,MA,+212 5363-63699,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
68240255,moneygram,ZERROUK - OUJDA,,OUJDA,,,MA,+212 5366-83765,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
67601688,moneygram,BANQUE CENTRALE POPULAIRE - TAFILALET,,TAFILALET,,,MA,+212 5353-60921,,Mo-Su 08:00-19:00,MoneyGram,Q1944412
72025356,moneygram,WAYNET - DC OUJDA BELQUADI DERB 10,,OUJDA,,,MA,+212 5365-16025,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72025343,moneygram,WAYNET - DC OUJDA DHAR LAMHALLA,,OUJDA,,,MA,+212 5367-44001,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72029394,moneygram,WAYNET - #342401 - DC OUJDA SOUK DHAB,,OUJDA,,,MA,+212 5366-89912,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72034279,moneygram,CASHPLUS - #205301 - LAARASI,,NADOR,,,MA,+212 662-215935,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72042355,moneygram,DAMANE CASH - #530101 - DC OUJDA HAY ZAI,,OUJDA,,,MA,+212 611-526137,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72068850,moneygram,CASHPLUS - #206801 - HAY SALAM AOUINET S,,OUJDA,,,MA,+212 661-970466,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
67508820,moneygram,ASSOCIATION AL AMANA POUR LA PROMOTION D,,OUJDA,,,MA,+212 5224-35050,,Mo-Sa 06:00-24:00; Su 09:00-16:00,MoneyGram,Q1944412
67750131,moneygram,ASSOCIATION AL AMANA POUR LA PROMOTION D,,OUJDA,,,MA,+212 5224-35050,,Mo-Sa 06:00-24:00; Su 09:00-16:00,MoneyGram,Q1944412
67506974,moneygram,ASSOCIATION AL AMANA POUR LA PROMOTION D,,OUJDA,,,MA,+212 5224-35050,,Mo-Sa 06:00-24:00; Su 09:00-16:00,MoneyGram,Q1944412
67506987,moneygram,ASSOCIATION AL AMANA POUR LA PROMOTION D,,OUJDA,,,MA,+212 5224-35050,,Mo-Sa 06:00-24:00; Su 09:00-16:00,MoneyGram,Q1944412
67509366,moneygram,ASSOCIATION AL AMANA POUR LA PROMOTION D,,OUJDA,,,MA,+212 5224-35050,,Mo-Sa 06:00-24:00; Su 09:00-16:00,MoneyGram,Q1944412
67750652,moneygram,ASSOCIATION AL AMANA POUR LA PROMOTION D,,OUJDA,,,MA,+212 5224-35050,,Mo-Sa 06:00-24:00; Su 09:00-16:00,MoneyGram,Q1944412
72104662,moneygram,CASHPLUS - #210201 - KOULOUJ HAY EL HASS,,OUJDA,,,MA,+212 5365-21925,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
68472670,moneygram,Medi Trafic - OUJDA - OUJVLGTOUBA,,OUJDA,,,MA,+212 5365-20460,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
72149261,moneygram,CASH PLUS - #277001 - SOUK LAZARET,,OUJDA,,,MA,+212 606-773450,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72149290,moneygram,CASH PLUS - #225001 - VILLAGE SI LAKHDAR,,OUJDA,,,MA,+212 668-913834,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72192690,moneygram,DAMANE CASH - #528801 - DC OUJDA MEDINA,,OUJDA,,,MA,+212 669-000031,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72197857,moneygram,DAMANE CASH - #532901 - DC OUJDA LABEL V,,OUJDA,,,MA,+212 5367-01605,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72205257,moneygram,CASHPLUS - #318001 - DRAFIF,,OUJDA,,,MA,+212 606-899607,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
71819178,moneygram,CASHPLUS - #202501 - DHAR LAMHALLA SALAM,,OUJDA,,,MA,+212 634-465996,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72263464,moneygram,CASHPLUS - #316001 - NAJD OUJDA,,OUJDA,,,MA,+212 650-350569,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
68304023,moneygram,BANQUE CENTRALE POPULAIRE - OUJDA,,OUJDA,,,MA,+212 5365-19231,,Mo-Su 08:00-19:00,MoneyGram,Q1944412
72321607,moneygram,CASHPLUS - #382301 - MOSQUEE QURAAFI SI,,OUJDA,,,MA,+212 601-514743,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
68529950,moneygram,ASSOCIATION AL AMANA POUR LA PROMOTION D,,OUJDA,,,MA,+212 5224-35050,,Mo-Fr 08:00-20:00; Sa 08:00-13:00; Su 09:00-16:00,MoneyGram,Q1944412
68682994,moneygram,H-MONEY CASH SARL - OUJDA,,OUJDA,,,MA,+212 5224-29030,,Mo-Su 08:00-20:00,MoneyGram,Q1944412
72677607,moneygram,CASHPLUS - #395201 - GOLD WIN OUJDA,,OUJDA,,,MA,+212 661-844544,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72685495,moneygram,CASHPLUS - #398901 - DERFOUFI AU DERBY,,OUJDA,,,MA,+212 611-261667,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
68929262,moneygram,ESPACES SERVICES - OUJDA,,OUJDA,,,MA,+212 5365-33871,,Mo-Sa 08:00-22:00; Su 08:00-23:00,MoneyGram,Q1944412
72809336,moneygram,CASHPLUS - #316002 - DAR SABTI,,OUJDA,,,MA,+212 650-350569,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72843088,moneygram,CASHPLUS - #405301 - IKAMAT MOUHOUB,,OUJDA,,,MA,+212 658-690497,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72844582,moneygram,CASHPLUS - #395801 - ROUTE TAZA,,OUJDA,,,MA,+212 661-610797,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72854365,moneygram,CASHPLUS - #402001 - HAY HAKKO,,OUJDA,,,MA,+212 5365-02173,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72885512,moneygram,CASHPLUS - #407401 - HAY AGDAL,,OUJDA,,,MA,+212 675-006507,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72885729,moneygram,CASHPLUS - #412101 - QODS RUE SABRA,,OUJDA,,,MA,+212 706-140657,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72885567,moneygram,CASHPLUS - #401001 - RIYAD,,OUJDA,,,MA,+212 5367-41857,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72887002,moneygram,CASHPLUS - #413701 - ROUTE D'ALGERIE,,OUJDA,,,MA,+212 661-833242,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72879858,moneygram,CASHPLUS - #414101 - VISITE TECHNIQUE PO,,OUJDA,,,MA,+212 696-794886,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72935226,moneygram,CASHPLUS - #316003 - SIDI YAHYA PAM,,OUJDA,,,MA,+212 650-350569,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72951860,moneygram,CASHPLUS - #415601 - ASWAK SALAM,,OUJDA,,,MA,+212 604-191161,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72989023,moneygram,CASHPLUS - #415602 - AGENCE QOBROS,,OUJDA,,,MA,+212 604-191161,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72989036,moneygram,CASHPLUS - #415603 - HAY NASR,,OUJDA,,,MA,+212 604-191161,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72989049,moneygram,CASHPLUS - #415604 - OUED DAHAB,,OUJDA,,,MA,+212 604-191161,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72989052,moneygram,CASHPLUS - #415605 - LAHBOUSS ABDERRAHMA,,OUJDA,,,MA,+212 604-191161,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
72989065,moneygram,CASHPLUS - #415606 - RAJAE FI LAH,,OUJDA,,,MA,+212 604-191161,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73049166,moneygram,BMCE CASH - #537701 - DC OUJDA LARMOUDE,,FES,,,MA,+212 5365-36603,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73360997,moneygram,CASHPLUS - #1101 - OUJDA OUBAZA,,OUJDA,,,MA,+212 661-981317,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73435738,moneygram,CASHPLUS - #2225 - EL AIOUN CHARKIYA -CA,,OUJDA,,,MA,+212 661-626821,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73495493,moneygram,SC TARHZOUTE NAIT ATTA - #98796 - OUJDA,,OUJDA,,,MA,+212 605-232358,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
73509389,moneygram,BMCE CASH - #320201 - DC OUJDA JAOUHARA,,OUJDA,,,MA,+212 641-236265,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73509402,moneygram,BMCE CASH - #320401 - DC OUJDA LOT ANAHA,,OUJDA,,,MA,+212 5365-24916,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
69144282,moneygram,ESPACES SERVICES - OUJDA,,OUJDA,,,MA,+212 611-201700,,Mo-Su 08:00-23:00,MoneyGram,Q1944412
73620268,moneygram,CASHPLUS - #1340 - OUJDA EUROPA VOYAGE,,OUJDA,,,MA,+212 661-147670,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73627258,moneygram,CASHPLUS - #1016 - AIN BNI MATHAR,,OUJDA,,,MA,+212 661-770691,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73672355,moneygram,CASHPLUS - #441801 - BAB SIDI ABDELWAHEB,,OUJDA,,,MA,+212 671-541528,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73682280,moneygram,CASHPLUS - #446601 - ROUTE SIDI DRISS,,OUJDA,,,MA,+212 661-344991,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73700146,moneygram,DAMANE CASH - #540301 - DC OUJDA RIAD IS,,OUJDA,,,MA,+212 679-235746,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73700133,moneygram,DAMANE CASH - #540901 - DC OUJDA ROUTE E,,OUJDA,,,MA,+212 629-913710,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73701925,moneygram,BMCE CASH - #541201 - DC OUJDA SAMMARA,,OUJDA,,,MA,+212 655-037299,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73707275,moneygram,DAMANE CASH - #556201 - BMCE CASH DC OUJ,,OUJDA,,,MA,+212 5365-00568,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73718387,moneygram,CHAABI CASH - #5135 - OUJDA,,OUJDA,,,MA,+212 661-156462,,Mo-Su 08:00-23:00,MoneyGram,Q1944412
73718222,moneygram,BMCE CASH - #541401 - DC OUJDA GHAR EL B,,OUJDA,,,MA,+212 666-836354,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73763426,moneygram,DAMANE CASH - #541301 - BMCE CASH DC OUJ,,OUJDA,,,MA,+212 668-194298,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73766863,moneygram,BMCE CASH - #543201 - DC OUJDA ANDALOUS,,OUJDA,,,MA,+212 660-307576,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73801090,moneygram,CANAL M - #601 - OUJDA,,OUJDA,,,MA,+212 677-216382,,Mo-Su 07:00-23:00,MoneyGram,Q1944412
73804204,moneygram,LAHBOUSS 2 - #415607 - CASHPLUS,,OUJDA,,,MA,+212 604-191161,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73833592,moneygram,ASSURANCES ALCHARQIA,,OUJDA,,,MA,+212 5224-35000,,Mo-Fr 08:00-23:00; Sa 09:00-23:00; Su 10:00-18:00,MoneyGram,Q1944412
73841869,moneygram,CHAABI CASH - #5138 - OUJDA,,OUJDA,,,MA,+212 651-498071,,Mo-Su 08:00-23:00,MoneyGram,Q1944412
66639237,moneygram,ABB,,OUJDA,,,MA,+212 5366-81068,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
66644471,moneygram,ABB,,OUJDA,,,MA,+212 5367-06880,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
66634384,moneygram,ABB,,OUJDA,,,MA,+212 5365-18276,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
66638241,moneygram,ABB,,OUJDA,,,MA,+212 5366-82300,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
66652777,moneygram,ABB,,OUJDA,,,MA,+212 5367-43079,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
66639321,moneygram,ABB,,OUJDA,,,MA,+212 5365-04994,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
66639350,moneygram,ABB,,OUJDA,,,MA,+212 5365-17738,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
66651024,moneygram,ABB,,OUJDA,,,MA,+212 5365-15133,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
66649476,moneygram,ABB,,OUJDA,,,MA,+212 5365-40004,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
66652450,moneygram,ABB,,OUJDA,,,MA,+212 5367-08791,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
66646314,moneygram,ABB,,OUJDA,,,MA,+212 5367-10843,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
66633903,moneygram,ABB,,OUJDA,,,MA,+212 5366-83107,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
66633152,moneygram,ABB,,OUJDA,,,MA,+212 5365-29332,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
66649036,moneygram,ABB,,OUJDA,,,MA,+212 5365-14167,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
66644251,moneygram,ABB,,OUJDA,,,MA,+212 5367-40020,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
66862680,moneygram,ABB,,OUJDA,,,MA,+212 5365-11634,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
66863168,moneygram,ABB,,OUJDA,,,MA,+212 5365-11639,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
68342425,moneygram,ABB - OUJDA,,OUJDA,,,MA,+212 5367-16420,,Mo-Su 07:00-24:00,MoneyGram,Q1944412
69483150,moneygram,WAFACASH - #2656 - OUJDA  - TERRAFONE,,OUJDA,,,MA,+212 5224-35050,,Mo-Fr 08:00-20:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
73861441,moneygram,OUJDA MARCHE DE GROS (AWA021) - #7019 -,,OUJDA,,,MA,+212 5224-35050,,Mo-Fr 08:00-23:00; Sa 09:00-17:00; Su 10:00-16:00,MoneyGram,Q1944412
73864354,moneygram,BMCE CASH - #549801 - DC OUJDA BD BOUJEM,,OUJDA,,,MA,+212 707-427650,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73868457,moneygram,CASHPLUS - #434601 - MOURITANIA,,OUJDA,,,MA,+212 697-264205,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73881858,moneygram,CASHPLUS - #456701 - OUED EL HEIMER,,JERADA,,,MA,+212 652-854466,,Mo-Su 08:00-24:00,MoneyGram,Q1944412
73881845,moneygram,OPTIMUM ASSURANCES KAZOUZ,,OUJDA,,,MA,+212 5224-35000,,Mo-Fr 08:00-23:00; Sa 09:00-23:00; Su 10:00-18:00,MoneyGram,Q1944412
