City,Place Name,Zipcode,Name
Kayes,western_union,,unknown,BMS SA GENERAL SERVVICE II
Nioro Du Sahel,western_union,,unknown,BNDA PRAGUE
Bema,western_union,,unknown,BMS SA HALLE DE BAMAKO VIII
Diema,western_union,,unknown,BMS SA HALLE DE BAMAKO VII
Bamako,western_union,,unknown,ECOBANK TRAORE KADIATOU
Kita,western_union,,unknown,TOUNKARA BACOU MADY
Manantali,western_union,,unknown,BDM SA
Yelimane,western_union,,unknown,BDM SA
Keyeba,western_union,,unknown,KEYEBA
Gangonteri,western_union,,unknown,BANQUE DE DEVELOPPEMENT DU MALI  SA
Mahina,western_union,,unknown,BUREAU DE MAHINA
Kita Bafoulabe,western_union,,unknown,BNDA VIMOSA SERVICES KITA
Kenieba,western_union,,unknown,BDM KENIEBA
Segala,western_union,,unknown,BMS SA DJIME SACKO VI
