State,Place Name,City,Establishments
UNKNOWN,accor,unknown,3
MACAO,apple,Macao,1
COTAI,apple,Macao,1
MACAU,audi,Macau,1
MACAU,avis,Macau,1
UNKNOWN,bmw_group,Macau,2
MACAU,botteg_aveneta,Macau,6
UNKNOWN,ecco,Macao,1
UNKNOWN,ecco,Macau,3
UNKNOWN,ecco,"Cotai Strip, Macao SAR",1
MACAU,ernst_young,Macau SAR,1
UNKNOWN,five_guys_mo,Macau Taipa,1
UNKNOWN,five_guys_mo,Macao Taipa,1
CHINA,fossil,MACAU,1
UNKNOWN,geox,"MACAU, VENETIAN MACAU",1
MO,hugo_boss,"Macau SAR, China/ 中國澳門特別行政區",4
MO,hugo_boss,"Taipa, Macao SAR China",1
ASIAPACIFIC,jll,"Macau SAR, China",1
ASIAPACIFIC,jll,China,1
TAIPA,mercedes_benz,Macau,2
澳门,nike,澳门,1
MACAU,shake_shack,unknown,1
UNKNOWN,shell,MACAU,4
TAIPA,smart,Macau,2
UNKNOWN,superdry,Macau,1
MACAU,visa,MACAU,245
GUANGDONG,western_union,Macau,3
MACAO,western_union,Macao,1
MACAU,western_union,Macau,1
