Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
1039858,alamo,Fort de France International Airport,,Fort De France,,,MQ,+596 596 77 88 54,,,ALAMO,Q1429287
FDFT62,enterprise,Fort-de-France International Airport,,Fort De France,,,MQ,+596 596 42 16 82,,,Enterprise Rent-A-Car,Q17085454
FDFC62,enterprise,Fort De France,,Fort De France,,,MQ,+596 596 72 40 13,,,Enterprise Rent-A-Car,Q17085454
MQ002,longchamp,Galeries Lafayette Fort De France,,FORT DE FRANCE,,,MQ,+596 596 71 89 50,,,Longchamp,Q1869471
40380,man_truck_and_bus,SORELOC,,"Fort-de-France, Martinique",,,MQ,+33 5 96 50 49 78,,,MAN Truck & Bus,Q708667
62781,man_truck_and_bus,GALAFE,,Fort-de-France,,,MQ,+33 5 96 50 49 78,,,MAN Truck & Bus,Q708667
71170079,moneygram,LOTO PMU DU MARCHE - PORT DE FRANCE,,PORT DE FRANCE,,,MQ,+596 596 79 34 53,,Mo-Fr 05:30-17:30; Sa 05:30-15:00; Su 06:00-12:00,MoneyGram,Q1944412
73874690,moneygram,BUREAU FAMILY EXPRESS DE VALNER - FORT D,,FORT DE FRANCE,,,MQ,+596 696 97 77 11,,Mo-Fr 08:00-18:00; Sa 08:00-16:00; Su 00:00-24:00,MoneyGram,Q1944412
73874674,moneygram,VIDEO GAME ONLINE DE VALMER V.G.O. DE VA,,FORT DE FRANCE,,,MQ,+596 696 97 77 11,,Mo-Fr 08:30-17:00; Sa 08:30-15:00; Su 00:00-24:00,MoneyGram,Q1944412
70902840,moneygram,LOTO - FORT DE FRANCE,,FORT DE FRANCE,,,MQ,+596 596 60 10 93,,Mo-Sa 08:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
1039859,national,Fort de France International Airport,,Fort De France,,,MQ,+596 596 77 88 54,,,NATIONAL,Q1424142
2429,ovs,OVS Martinique Le Rond Point Kids,,Fort-De-France,,,MQ,-,,,OVS,Q2042514
TOT_15,totalenergies,TOTALENERGIES MONTGERALD,,FORT DE France,,,MQ,,https://store.totalenergies.fr/en_EN/TOT_15,Mo-Th 06:00-20:00; Fr-Sa 06:00-21:00; Su 07:00-19:00,TotalEnergies,Q154037
TOT_20,totalenergies,TOTALENERGIES PONT DE CHAINES,,FORT DE France,,,MQ,+596 596 70 20 91,https://store.totalenergies.fr/en_EN/TOT_20,Mo-Th 06:00-21:00; Fr-Sa 06:00-22:00; Su 07:00-20:00,TotalEnergies,Q154037
TOT_21,totalenergies,TOTALENERGIES REDOUTE,,FORT DE France,,,MQ,+596 596 79 59 42,https://store.totalenergies.fr/en_EN/TOT_21,Mo-Sa 06:00-20:00; Su 07:00-13:00,TotalEnergies,Q154037
TOT_25,totalenergies,TOTALENERGIES ROCADE,,FORT DE France,,,MQ,+596 596 70 36 69,https://store.totalenergies.fr/en_EN/TOT_25,,TotalEnergies,Q154037
TOT_32,totalenergies,TOTALENERGIES SAINTE-THERESE,,FORT DE France,,,MQ,+596 596 70 64 08,https://store.totalenergies.fr/en_EN/TOT_32,Mo-Su 06:00-20:00,TotalEnergies,Q154037
TOT_6,totalenergies,TOTALENERGIES CLUNY,,FORT DE France,,,MQ,+596 596 63 05 06,https://store.totalenergies.fr/en_EN/TOT_6,Mo-Sa 06:00-19:45; Su 07:00-12:45,TotalEnergies,Q154037
TOT_7,totalenergies,TOTALENERGIES DILLON,,FORT DE France,,,MQ,+596 596 57 21 79,https://store.totalenergies.fr/en_EN/TOT_7,Mo-Sa 06:00-19:45; Su 07:00-12:45,TotalEnergies,Q154037
N330065,united_colors_of_benetton,Benetton Fort-de-france,,FORT-DE-FRANCE,,,MQ,+596 696 32 75 35,,Mo-Sa 09:00-18:30,United Colors of Benetton,Q817139
,visa,,,FORT-DE-FRANCE,,,MQ,,,,,
,visa,,,FORT DE FRANC,,,MQ,,,,,
,visa,,,FORT DE FRANCE,,,MQ,,,,,
,visa,,,FORT DE FRANCE,,,MQ,,,,,
,visa,,,FORT DE FRANCE,,,MQ,,,,,
,visa,,,FORT DE FRANC,,,MQ,,,,,
,visa,,,FORT DE FRANC,,,MQ,,,,,
,visa,,,FORT DE FRANCE,,,MQ,,,,,
,visa,,,FORT DE FRANC,,,MQ,,,,,
,visa,,,FORT DE FRANCE,,,MQ,,,,,
,visa,,,FORT DE FRANCE,,,MQ,,,,,
,visa,,,FORT DE FRANC,,,MQ,,,,,
,visa,,,FORT DE FRANCE,,,MQ,,,,,
,visa,,,FORT-DE-FRANCE,,,MQ,,,,,
,visa,,,FORT DE FRANCE,,,MQ,,,,,
,visa,,,FORT-DE-FRANCE,,,MQ,,,,,
,visa,,,FORT DE FRANCE,,,MQ,,,,,
,visa,,,FORT DE FRANCE,,,MQ,,,,,
,visa,,,FORT DE FRANCE,,,MQ,,,,,
,visa,,,FORT-DE-FRANCE,,,MQ,,,,,
,visa,,,FORT DE FRANCE,,,MQ,,,,,
