Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,TIJUANA,BAJA CALIFORNIA NORTE,,MX,,,,,
,visa,,,TIJUANA,BAJA CALIFORNIA NORTE,,MX,,,,,
ba90076364492c7132f226793b25c604,western_union,AURRERA VILLA DEL CAMPO 3231,,Tijuana,BAJA CALIFORNIA NORTE,,MX,+52 800 833 4700,https://location.westernunion.com/mx/baja-california-norte/tijuana/ba90076364492c7132f226793b25c604,Mo-Su 08:00-22:00,Western Union,Q861042
ce29e7d447fcfa0317f17ebccf0dea04,western_union,AURRERA VILLA DEL CAMPO 3231,,Tijuana,BAJA CALIFORNIA NORTE,,MX,+52 800 833 4700,https://location.westernunion.com/mx/baja-california-norte/tijuana/ce29e7d447fcfa0317f17ebccf0dea04,Mo-Su 08:00-22:00,Western Union,Q861042
cabbab53eb39763211f7e69f7723cfe7,western_union,AURRERA VILLA DEL CAMPO 3231,,Tijuana,BAJA CALIFORNIA NORTE,,MX,+52 800 833 4700,https://location.westernunion.com/mx/baja-california-norte/tijuana/cabbab53eb39763211f7e69f7723cfe7,Mo-Su 08:00-22:00,Western Union,Q861042
ad9fa15d38ced73c26f8d06f706f29ad,western_union,EL FLORIDO  REFUGIO,,Tijuana,BAJA CALIFORNIA NORTE,,MX,+52 81 2133 2160,https://location.westernunion.com/mx/baja-california-norte/tijuana/ad9fa15d38ced73c26f8d06f706f29ad,Mo-Su 08:00-20:00,Western Union,Q861042
30ce14d0a80bc2284aa6b7b7b4746550,western_union,EL FLORIDO  REFUGIO,,Tijuana,BAJA CALIFORNIA NORTE,,MX,+52 81 2133 2160,https://location.westernunion.com/mx/baja-california-norte/tijuana/30ce14d0a80bc2284aa6b7b7b4746550,Mo-Su 08:00-20:00,Western Union,Q861042
8b126913b6e48c28d466de11e0ea92be,western_union,OXXO EL REFUGIO TIJ,,Tijuana,BAJA CALIFORNIA NORTE,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/baja-california-norte/tijuana/8b126913b6e48c28d466de11e0ea92be,Mo-Su 08:00-22:00,Western Union,Q861042
c5388bfb64376c18e9b1e971f649e6d0,western_union,OXXO EL REFUGIO TIJ,,Tijuana,BAJA CALIFORNIA NORTE,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/baja-california-norte/tijuana/c5388bfb64376c18e9b1e971f649e6d0,Mo-Su 08:00-22:00,Western Union,Q861042
dc6a0f65da82cb0f7f5a66bf7fc66b03,western_union,OXXO EL REFUGIO TIJ,,Tijuana,BAJA CALIFORNIA NORTE,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/baja-california-norte/tijuana/dc6a0f65da82cb0f7f5a66bf7fc66b03,Mo-Su 08:00-22:00,Western Union,Q861042
