Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
142250,little_free_library,Little Free Library #142250 La Paz Baja California Sur,,La Paz,Baja California Sur,,MX,,,,Little Free Library,Q6650101
4bc57cd35c466414e2e5b41d29a1e6d2,western_union,OXXO COLOSIO LAP,,La Paz,BAJA CALIFORNIA SUR,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/baja-california-sur/la-paz/4bc57cd35c466414e2e5b41d29a1e6d2,Mo-Su 08:00-22:00,Western Union,Q861042
e8816ce6984e81d7fc60a3f876ccf6d1,western_union,OXXO COLOSIO LAP,,La Paz,BAJA CALIFORNIA SUR,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/baja-california-sur/la-paz/e8816ce6984e81d7fc60a3f876ccf6d1,Mo-Su 08:00-22:00,Western Union,Q861042
8dfb6bd57d0e121b785524d0ace7f307,western_union,OXXO COLOSIO LAP,,La Paz,BAJA CALIFORNIA SUR,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/baja-california-sur/la-paz/8dfb6bd57d0e121b785524d0ace7f307,Mo-Su 08:00-22:00,Western Union,Q861042
3d9810da454f6810cc6a8d14e99ace1f,western_union,OXXO GOMEZ FARIAS LAP,,La Paz,BAJA CALIFORNIA SUR,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/baja-california-sur/la-paz/3d9810da454f6810cc6a8d14e99ace1f,Mo-Su 08:00-22:00,Western Union,Q861042
48ba2765ef0939343346390ec9f61e52,western_union,OXXO GOMEZ FARIAS LAP,,La Paz,BAJA CALIFORNIA SUR,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/baja-california-sur/la-paz/48ba2765ef0939343346390ec9f61e52,Mo-Su 08:00-22:00,Western Union,Q861042
50183541df9f96ad2e2748e7b7d7f53f,western_union,OXXO GOMEZ FARIAS LAP,,La Paz,BAJA CALIFORNIA SUR,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/baja-california-sur/la-paz/50183541df9f96ad2e2748e7b7d7f53f,Mo-Su 08:00-22:00,Western Union,Q861042
4d4bb60473dffb4f04fdc9354a765da3,western_union,OXXO NORTE LAP,,La Paz,BAJA CALIFORNIA SUR,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/baja-california-sur/la-paz/4d4bb60473dffb4f04fdc9354a765da3,Mo-Su 08:00-22:00,Western Union,Q861042
ab5cbf62a966e524231657b5e0adc03a,western_union,OXXO NORTE LAP,,La Paz,BAJA CALIFORNIA SUR,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/baja-california-sur/la-paz/ab5cbf62a966e524231657b5e0adc03a,Mo-Su 08:00-22:00,Western Union,Q861042
baca12d55ee0ba277c9dc525ca53b868,western_union,OXXO NORTE LAP,,La Paz,BAJA CALIFORNIA SUR,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/baja-california-sur/la-paz/baca12d55ee0ba277c9dc525ca53b868,Mo-Su 08:00-22:00,Western Union,Q861042
