Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72120837,moneygram,COPPEL TRANSMISORES - TECOMAN - 18 DE JU,,TECOMAN,CL,,MX,+52 313 325 2253,,Mo-Sa 09:30-20:00; Su 10:00-17:00,MoneyGram,Q1944412
72120882,moneygram,COPPEL TRANSMISORES - TECOMAN - 20 DE NO,,TECOMAN,CL,,MX,+52 313 326 7080,,Mo-Sa 09:30-20:00; Su 10:00-17:00,MoneyGram,Q1944412
73761156,moneygram,BODEGA AURRERA EXPRESS - CAMINO A LAZARO,,TECOMAN,CL,,MX,+52 55 2629 6000,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
69511527,moneygram,MODATELAS - #1142 - 148 MODATELAS TECOMA,,TECOMAN,CL,,MX,+52 313 324 3262,,Mo-Su 08:00-20:00,MoneyGram,Q1944412
69501634,moneygram,FARMACIA INSURGENTES - #4209 - TECOMAN,,TECOMAN,CL,,MX,+52 800 733 3300,,Mo-Su 09:00-21:00,MoneyGram,Q1944412
70387957,moneygram,FARMACIAS GUADALAJARA - TECOMAN CENTRO,,TECOMAN,CL,,MX,+52 713 278 5436,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
70395978,moneygram,FARMACIAS GUADALAJARA - TECOMAN LOPEZ MA,,TECOMAN,CL,,MX,+52 713 278 5436,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
74588464,moneygram,CAJA PROVIDENCIA - COLIMA - NINOS HEROES,,COLIMA,CL,,MX,+52 81 2133 2160,,Mo-Fr 09:00-16:30; Sa 09:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
74599453,moneygram,CRISTOBAL COLON TECOMAN - #7268 - TECOMA,,TECOMAN,CL,,MX,+52 313 326 6828,,Mo-Fr 08:00-16:00; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
74619618,moneygram,CADENA COMERCIAL OXXO SA DE CV - #10DCU5,,TECOMAN,CL,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
74630299,moneygram,CAJA 15 DE MAYO - ABASOLO,,TECOMAN,CL,,MX,+52 81 2133 2160,,Mo-Fr 09:00-17:30; Sa 09:00-13:30; Su 00:00-24:00,MoneyGram,Q1944412
68830953,moneygram,DINERO EXPRESS - #2273 - TECOMAN - ELEKT,,TECOMAN,CL,,MX,+52 55 1720 8141,,Mo-Su 09:00-21:00,MoneyGram,Q1944412
70687246,moneygram,WALDOS - #6632 - TECOMAN - 6632 - TECOMA,,TECOMAN,CL,,MX,5252460700,,Mo-Su 07:00-23:00,MoneyGram,Q1944412
70752841,moneygram,ELECZION - #1139 - TECOMAN - TECOMAN,,TECOMAN,CL,,MX,5263180635,,Mo-Su 07:00-23:00,MoneyGram,Q1944412
71137562,moneygram,ELEKTRA - #2273 - TECOMAN - BA EKT TECOM,,TECOMAN,CL,,MX,+52 55 1720 7000,,Mo-Su 09:00-21:00,MoneyGram,Q1944412
41337499,moneygram,BANORTE - #7630 - TECOMAN,,TECOMAN,CL,,MX,+52 313 324 5350,,Mo-Fr 09:00-20:00; Sa 09:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
43522105,moneygram,CAJA POPULAR MEX - #1005 - TECOMAN,,TECOMAN,CL,,MX,+52 313 324 1330,,Mo-Fr 09:00-16:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
71250656,moneygram,OXXO - FATIMA CLA,,TECOMAN,CL,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71250740,moneygram,OXXO - LA HERRADURA CLA,,TECOMAN,CL,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
