Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
1ba9d6914cf71ea025c320d5a476d6b6,western_union,OXXO ALVARO OBREGON TGZ,,Tapachula,CHIAPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/chiapas/tapachula/1ba9d6914cf71ea025c320d5a476d6b6,Mo-Su 08:00-22:00,Western Union,Q861042
a5a4ec7894aff823af406af8db16d9b6,western_union,OXXO ALVARO OBREGON TGZ,,Tapachula,CHIAPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/chiapas/tapachula/a5a4ec7894aff823af406af8db16d9b6,Mo-Su 08:00-22:00,Western Union,Q861042
6e3f83c5ad3fa9239643262abbde1f20,western_union,OXXO ALVARO OBREGON TGZ,,Tapachula,CHIAPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/chiapas/tapachula/6e3f83c5ad3fa9239643262abbde1f20,Mo-Su 08:00-22:00,Western Union,Q861042
5244faf3c7b4e33a9816fc8840de9b59,western_union,TIENDAS NETO ALVARO OBREGON I 1320,,Tapachula,CHIAPAS,,MX,+52 55 8381 3523,https://location.westernunion.com/mx/chiapas/tapachula/5244faf3c7b4e33a9816fc8840de9b59,Mo-Su 07:00-22:00,Western Union,Q861042
d1f3e3c9cf25aec5d6bf4688bab33f5e,western_union,694 SUPERWILLYS TAPACHULA 11 AP CASH,,Tapachula,CHIAPAS,,MX,+52 999 611 8100,https://location.westernunion.com/mx/chiapas/tapachula/d1f3e3c9cf25aec5d6bf4688bab33f5e,Mo-Su 08:00-21:00,Western Union,Q861042
6a10908a88d3f7ddd747be9aa327ace5,western_union,694 SUPERWILLYS TAPACHULA 11 AP CASH,,Tapachula,CHIAPAS,,MX,+52 999 611 8100,https://location.westernunion.com/mx/chiapas/tapachula/6a10908a88d3f7ddd747be9aa327ace5,Mo-Su 08:00-21:00,Western Union,Q861042
51751b319efeed48476a32f1ec7de601,western_union,694 SUPERWILLYS TAPACHULA 11 AP CASH,,Tapachula,CHIAPAS,,MX,+52 999 611 8100,https://location.westernunion.com/mx/chiapas/tapachula/51751b319efeed48476a32f1ec7de601,Mo-Su 08:00-21:00,Western Union,Q861042
144321961dd9014d12c94bee00c18f8a,western_union,OXXO VIVA MEXICO TGZ,,Tapachula,CHIAPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/chiapas/tapachula/144321961dd9014d12c94bee00c18f8a,Mo-Su 08:00-22:00,Western Union,Q861042
a3b817fb5c548405b1e5b15b844436c5,western_union,OXXO VIVA MEXICO TGZ,,Tapachula,CHIAPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/chiapas/tapachula/a3b817fb5c548405b1e5b15b844436c5,Mo-Su 08:00-22:00,Western Union,Q861042
0339be05283b15b8fa3b898c436ae5c7,western_union,OXXO VIVA MEXICO TGZ,,Tapachula,CHIAPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/chiapas/tapachula/0339be05283b15b8fa3b898c436ae5c7,Mo-Su 08:00-22:00,Western Union,Q861042
a4994d949b09327189a96d7a4ee71585,western_union,OXXO CAFETALES TGZ,,Tapachula,CHIAPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/chiapas/tapachula/a4994d949b09327189a96d7a4ee71585,Mo-Su 08:00-22:00,Western Union,Q861042
b30381303075fbcfc59d9b030925297e,western_union,OXXO CAFETALES TGZ,,Tapachula,CHIAPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/chiapas/tapachula/b30381303075fbcfc59d9b030925297e,Mo-Su 08:00-22:00,Western Union,Q861042
2f6e2534221ebc2fad7dbef9772a7fbf,western_union,OXXO CAFETALES TGZ,,Tapachula,CHIAPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/chiapas/tapachula/2f6e2534221ebc2fad7dbef9772a7fbf,Mo-Su 08:00-22:00,Western Union,Q861042
