Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,SALTILLO,COAHUILA,,MX,,,,,
,visa,,,SALTILLO,COAHUILA,,MX,,,,,
,visa,,,SALTILLO,COAHUILA,,MX,,,,,
,visa,,,SALTILLO,COAHUILA,,MX,,,,,
,visa,,,SALTILLO,COAHUILA,,MX,,,,,
9486c001e926c55ba7472a848a579fdc,western_union,ELECZION SALTILLO MIRASIERRA 1316,,Saltillo,COAHUILA,,MX,+52 55 5246 0700,https://location.westernunion.com/mx/coahuila/saltillo/9486c001e926c55ba7472a848a579fdc,Mo-Su 06:30-23:30,Western Union,Q861042
7f952f32455ac6b05cc355be13298fad,western_union,ELECZION SALTILLO MIRASIERRA 1316,,Saltillo,COAHUILA,,MX,+52 55 5246 0700,https://location.westernunion.com/mx/coahuila/saltillo/7f952f32455ac6b05cc355be13298fad,Mo-Su 06:30-23:30,Western Union,Q861042
ce55ebdb35436253d31ae77f9edf0a84,western_union,ELECZION SALTILLO MIRASIERRA 1316,,Saltillo,COAHUILA,,MX,+52 55 5246 0700,https://location.westernunion.com/mx/coahuila/saltillo/ce55ebdb35436253d31ae77f9edf0a84,Mo-Su 06:30-23:30,Western Union,Q861042
1f356592cfa53cae27947b4415a08bc9,western_union,AURRERA EXPRESS MISION CERRITOS 2245,,Saltillo,COAHUILA,,MX,+52 800 833 4700,https://location.westernunion.com/mx/coahuila/saltillo/1f356592cfa53cae27947b4415a08bc9,Mo-Su 08:00-22:00,Western Union,Q861042
a51d72fe9cf86c3b0d9e7385a48f5462,western_union,AURRERA EXPRESS MISION CERRITOS 2245,,Saltillo,COAHUILA,,MX,+52 800 833 4700,https://location.westernunion.com/mx/coahuila/saltillo/a51d72fe9cf86c3b0d9e7385a48f5462,Mo-Su 08:00-22:00,Western Union,Q861042
52b366256fa358dd24ff31dd64add163,western_union,AURRERA LOMAS DEL BOSQUE 4045,,Saltillo,COAHUILA,,MX,+52 800 833 4700,https://location.westernunion.com/mx/coahuila/saltillo/52b366256fa358dd24ff31dd64add163,Mo-Su 07:00-23:00,Western Union,Q861042
1b415eee487a9995c90a4beea300ec6e,western_union,AURRERA LOMAS DEL BOSQUE 4045,,Saltillo,COAHUILA,,MX,+52 800 833 4700,https://location.westernunion.com/mx/coahuila/saltillo/1b415eee487a9995c90a4beea300ec6e,Mo-Su 07:00-23:00,Western Union,Q861042
504e401cf017e2b2701e2b85ef7c873b,western_union,OXXO CENTRO DE CONV SLF,,Saltillo,COAHUILA,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/coahuila/saltillo/504e401cf017e2b2701e2b85ef7c873b,Mo-Su 08:00-22:00,Western Union,Q861042
052f88a9af36c1367055acf69307c421,western_union,OXXO CENTRO DE CONV SLF,,Saltillo,COAHUILA,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/coahuila/saltillo/052f88a9af36c1367055acf69307c421,Mo-Su 08:00-22:00,Western Union,Q861042
e96fc388cfdab42b601c48fb55b4de21,western_union,OXXO CENTRO DE CONV SLF,,Saltillo,COAHUILA,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/coahuila/saltillo/e96fc388cfdab42b601c48fb55b4de21,Mo-Su 08:00-22:00,Western Union,Q861042
324177159797ae54f72ee3a92964f52e,western_union,EKT 4966 MIRASIERRA SALTILLO,,Saltillo,COAHUILA,,MX,+52 55 1720 8177,https://location.westernunion.com/mx/coahuila/saltillo/324177159797ae54f72ee3a92964f52e,Mo-Su 09:00-21:00,Western Union,Q861042
