Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
50,nissan_europe,VILLA DE ALVAREZ,,Villa de Álvarez,COLIMA,,MX,+52 312 311 0005,,,Nissan,Q20165
,visa,,,CIUDAD DE VILLA DE ALVAREZ,COLIMA,,MX,,,,,
,visa,,,VILLA DE ALVAREZ,COLIMA,,MX,,,,,
,visa,,,VILLA DE ALVAREZ,COLIMA,,MX,,,,,
,visa,,,VILLA DE ALVAREZ,COLIMA,,MX,,,,,
,visa,,,VILLA DE ALVAREZ,COLIMA,,MX,,,,,
76a7a3ba3b937516c46ce4f3e43a3a95,western_union,FARM GUAD AV BENITO JUAREZ,,Colima,COLIMA,,MX,+52 800 833 4700,https://location.westernunion.com/mx/colima/colima/76a7a3ba3b937516c46ce4f3e43a3a95,Mo-Su 08:00-20:00,Western Union,Q861042
ddbc14177bc4adb17ba57c2787dcbcc8,western_union,FARM GUAD AV BENITO JUAREZ,,Colima,COLIMA,,MX,+52 800 833 4700,https://location.westernunion.com/mx/colima/colima/ddbc14177bc4adb17ba57c2787dcbcc8,Mo-Su 08:00-20:00,Western Union,Q861042
90a11dc377a6cc404e8454a2c444667a,western_union,FARM GUAD AV BENITO JUAREZ,,Colima,COLIMA,,MX,+52 800 833 4700,https://location.westernunion.com/mx/colima/colima/90a11dc377a6cc404e8454a2c444667a,Mo-Su 08:00-20:00,Western Union,Q861042
d71b60dd0cb7d30f84b04004af29b0b7,western_union,OXXO LA VILLA CENTRO CLA,,Villa De Alvarez,COLIMA,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/colima/villa-de-alvarez/d71b60dd0cb7d30f84b04004af29b0b7,Mo-Su 08:00-22:00,Western Union,Q861042
ab6c8f4351b60d9f998ce745e7dbdde6,western_union,OXXO LA VILLA CENTRO CLA,,Villa De Alvarez,COLIMA,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/colima/villa-de-alvarez/ab6c8f4351b60d9f998ce745e7dbdde6,Mo-Su 08:00-22:00,Western Union,Q861042
e8f6f9b01f2d3889c5e18c1fa0932288,western_union,OXXO LA VILLA CENTRO CLA,,Villa De Alvarez,COLIMA,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/colima/villa-de-alvarez/e8f6f9b01f2d3889c5e18c1fa0932288,Mo-Su 08:00-22:00,Western Union,Q861042
e5e151651055dd0ffd2954f7794caec7,western_union,EKT 600 VILLA DE ALVAREZ NINOS HEROES,,Villa De Alvarez,COLIMA,,MX,+52 55 1720 8177,https://location.westernunion.com/mx/colima/villa-de-alvarez/e5e151651055dd0ffd2954f7794caec7,Mo-Su 09:00-21:00,Western Union,Q861042
