Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,ECATEPEC DE MORELOS,ESTADO DE MEXICO,,MX,,,,,
,visa,,,ECATEPEC DE MORELOS,ESTADO DE MEXICO,,MX,,,,,
62195be617af2f8493575f5d8ac44337,western_union,OXXO LA PURISIMA MEX,,Ecatepec De Morelos,ESTADO DE MEXICO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/estado-de-mexico/ecatepec-de-morelos/62195be617af2f8493575f5d8ac44337,Mo-Su 08:00-22:00,Western Union,Q861042
0bfc19829d617f921202ec077e886600,western_union,OXXO LA PURISIMA MEX,,Ecatepec De Morelos,ESTADO DE MEXICO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/estado-de-mexico/ecatepec-de-morelos/0bfc19829d617f921202ec077e886600,Mo-Su 08:00-22:00,Western Union,Q861042
751cc6de709e808eb385e7ee7d659182,western_union,OXXO LA PURISIMA MEX,,Ecatepec De Morelos,ESTADO DE MEXICO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/estado-de-mexico/ecatepec-de-morelos/751cc6de709e808eb385e7ee7d659182,Mo-Su 08:00-22:00,Western Union,Q861042
5af6e4f9870a4a384c03e1c296f6c0a1,western_union,OXXO EMILIANO CARRANZA MEX,,Ecatepec De Morelos,ESTADO DE MEXICO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/estado-de-mexico/ecatepec-de-morelos/5af6e4f9870a4a384c03e1c296f6c0a1,Mo-Su 08:00-22:00,Western Union,Q861042
3a5330ed983ee6eb714ae3f9215c38cd,western_union,OXXO EMILIANO CARRANZA MEX,,Ecatepec De Morelos,ESTADO DE MEXICO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/estado-de-mexico/ecatepec-de-morelos/3a5330ed983ee6eb714ae3f9215c38cd,Mo-Su 08:00-22:00,Western Union,Q861042
8a9ee4af423ea2611a92f6ed9926f714,western_union,BANCOPPEL 476 SENDERO,,Ecatepec De Morelos,ESTADO DE MEXICO,,MX,+52 775 112 2972,https://location.westernunion.com/mx/estado-de-mexico/ecatepec-de-morelos/8a9ee4af423ea2611a92f6ed9926f714,Mo-Sa 11:00-21:20; Su 11:00-21:30,Western Union,Q861042
9a762f3bc5eb6644e177e3a1f639d025,western_union,BANCOPPEL 476 SENDERO,,Ecatepec De Morelos,ESTADO DE MEXICO,,MX,+52 775 112 2972,https://location.westernunion.com/mx/estado-de-mexico/ecatepec-de-morelos/9a762f3bc5eb6644e177e3a1f639d025,Mo-Sa 11:00-21:20; Su 11:00-21:30,Western Union,Q861042
9edbfbaca766ba23b9ba9a4df0cf973c,western_union,BANCOPPEL 476 SENDERO,,Ecatepec De Morelos,ESTADO DE MEXICO,,MX,+52 81 8389 3400,https://location.westernunion.com/mx/estado-de-mexico/ecatepec-de-morelos/9edbfbaca766ba23b9ba9a4df0cf973c,Mo-Sa 11:00-21:20; Su 11:00-21:30,Western Union,Q861042
f2a3623eefedaf78543941f7c8a6ef21,western_union,SORIANA SENDERO ECATEPEC 244,,Ecatepec De Morelos,ESTADO DE MEXICO,,MX,(+52) 81-1112009,https://location.westernunion.com/mx/estado-de-mexico/ecatepec-de-morelos/f2a3623eefedaf78543941f7c8a6ef21,Mo-Su 08:00-23:00,Western Union,Q861042
3ec9fc68975c48df183288ed77ed1932,western_union,SORIANA SENDERO ECATEPEC 244,,Ecatepec De Morelos,ESTADO DE MEXICO,,MX,(+52) 81-1112009,https://location.westernunion.com/mx/estado-de-mexico/ecatepec-de-morelos/3ec9fc68975c48df183288ed77ed1932,Mo-Su 08:00-23:00,Western Union,Q861042
8a285e7e394334c5ab19b92ee8de3f41,western_union,SORIANA SENDERO ECATEPEC 244,,Ecatepec De Morelos,ESTADO DE MEXICO,,MX,(+52) 81-1112009,https://location.westernunion.com/mx/estado-de-mexico/ecatepec-de-morelos/8a285e7e394334c5ab19b92ee8de3f41,Mo-Su 08:00-23:00,Western Union,Q861042
