Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72135958,moneygram,COPPEL TRANSMISORES - LEON - ECHEVESTE,,LEON,GJ,,MX,+52 411 775 2991,,Mo-Sa 10:30-21:00; Su 10:00-15:00,MoneyGram,Q1944412
72492895,moneygram,BANCO AZTECA MEXICO - LEON DE LOS ALDAMA,,LEON DE LOS ALDAMA,GJ,,MX,+52 55 1720 8177,,Mo-Su 09:00-21:00,MoneyGram,Q1944412
72493548,moneygram,DINERO EXPRESS - LEON DE LOS ALDAMA - ME,,LEON DE LOS ALDAMA,GJ,,MX,+52 55 1720 8177,,Mo-Su 09:00-21:00,MoneyGram,Q1944412
70392735,moneygram,FARMACIAS GUADALAJARA - ECHEVESTE,,LEON,GJ,,MX,+52 713 278 5436,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
70394429,moneygram,FARMACIAS GUADALAJARA - LEON GUANAJUATO,,LEON,GJ,,MX,+52 713 278 5436,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
70742495,moneygram,MUEBLES AMERICA - #3263 - LEON DE LOS AL,,LEON DE LOS ALDAMA,GJ,,MX,5212011000,,Mo-Su 09:30-20:30,MoneyGram,Q1944412
71005283,moneygram,FARMACIAS GUADALAJARA - #1632 - LEON - L,,LEON,GJ,,MX,+52 800 555 6555,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
43918557,moneygram,BODEGA LEON ECHEVESTE,,LEON,GJ,,MX,+52 477 735 3930,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
71385725,moneygram,OXXO - DCTO. ECHEVESTE BJX,,LEON,GJ,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71264833,moneygram,OXXO - ECHEVESTE BJX,,LEON,GJ,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71385880,moneygram,OXXO - PEDRE. ECHEVESTE BJX,,LEON,GJ,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71265612,moneygram,OXXO - RIVERA DE LA PRESA BJX,,LEON,GJ,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71266459,moneygram,OXXO - TRANSPORTISTAS BJX,,LEON,GJ,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71767291,moneygram,CADENA COMERCIAL OXXO SA DE CV - #10GTO5,,LEON,GJ,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
