Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
GS0049019,mercedes_benz,"Ramsa León, S.A. de C.V.",,"León, Guanajuato",Guanajuato,,MX,+52 477 779 7580,https://www.mercedes-benz-starbajio.com.mx/,,Mercedes-Benz,Q36008
0000006513,sams_club_mx,"Sam's Club León, Gto.",,León,Guanajuato,,MX,+52 477 781 1463,https://www.sams.com.mx/clubes/0000006513,,Sam's Club,Q1972120
,visa,,,LEON,GUANAJUATO,,MX,,,,,
,visa,,,LEON,GUANAJUATO,,MX,,,,,
,visa,,,LEON DE LOS ALDAMA,GUANAJUATO,,MX,,,,,
,visa,,,LEON,GUANAJUATO,,MX,,,,,
,visa,,,LEON,GUANAJUATO,,MX,,,,,
,visa,,,LEON,GUANAJUATO,,MX,,,,,
,visa,,,LEON,GUANAJUATO,,MX,,,,,
,visa,,,LEON,GUANAJUATO,,MX,,,,,
,visa,,,LEON DE LOS ALDAMA,GUANAJUATO,,MX,,,,,
,visa,,,LEON,GUANAJUATO,,MX,,,,,
,visa,,,LEON DE LOS ALDAMA,GUANAJUATO,,MX,,,,,
,visa,,,LEÓN,GUANAJUATO,,MX,,,,,
,visa,,,LEON,GUANAJUATO,,MX,,,,,
,visa,,,LEON,GUANAJUATO,,MX,,,,,
,visa,,,LEON,GUANAJUATO,,MX,,,,,
,visa,,,LEON,GUANAJUATO,,MX,,,,,
2afdabac95ee593439681c5b04ab7139,western_union,OXXO PARAISOS BJX,,Leon,GUANAJUATO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/guanajuato/leon/2afdabac95ee593439681c5b04ab7139,Mo-Su 08:00-22:00,Western Union,Q861042
8f84da7576b3f423e2f7164b662d363b,western_union,OXXO PARAISOS BJX,,Leon,GUANAJUATO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/guanajuato/leon/8f84da7576b3f423e2f7164b662d363b,Mo-Su 08:00-22:00,Western Union,Q861042
4420622e924e2a923529b6cc69fb9bd0,western_union,OXXO PARAISOS BJX,,Leon,GUANAJUATO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/guanajuato/leon/4420622e924e2a923529b6cc69fb9bd0,Mo-Su 08:00-22:00,Western Union,Q861042
818a727aa47a8cc62251010a4a000885,western_union,OXXO PASEO DEL SOL BJX,,Leon,GUANAJUATO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/guanajuato/leon/818a727aa47a8cc62251010a4a000885,Mo-Su 08:00-22:00,Western Union,Q861042
d7ce202bc1e0f4ba54902c55cd0b303d,western_union,OXXO PASEO DEL SOL BJX,,Leon,GUANAJUATO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/guanajuato/leon/d7ce202bc1e0f4ba54902c55cd0b303d,Mo-Su 08:00-22:00,Western Union,Q861042
516ec7249b4a7d3aa7ffb9b0da37b20f,western_union,OXXO ROCA BJX,,Leon,GUANAJUATO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/guanajuato/leon/516ec7249b4a7d3aa7ffb9b0da37b20f,Mo-Su 08:00-22:00,Western Union,Q861042
2c7305c0913544ecd45d849527fecbb0,western_union,OXXO ROCA BJX,,Leon,GUANAJUATO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/guanajuato/leon/2c7305c0913544ecd45d849527fecbb0,Mo-Su 08:00-22:00,Western Union,Q861042
922e51d90beb0f6a24a25f1a724abc1b,western_union,OXXO ROCA BJX,,Leon,GUANAJUATO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/guanajuato/leon/922e51d90beb0f6a24a25f1a724abc1b,Mo-Su 08:00-22:00,Western Union,Q861042
823b83c4aff04fdb96596d0cbcd04dcd,western_union,SORIANA LEON INSURGENTES 999,,Leon,GUANAJUATO,,MX,+52 800 555 6555,https://location.westernunion.com/mx/guanajuato/leon/823b83c4aff04fdb96596d0cbcd04dcd,Mo-Su 08:00-22:00,Western Union,Q861042
bbf1321d75538a53cb902c1aae7effd8,western_union,SORIANA LEON INSURGENTES 999,,Leon,GUANAJUATO,,MX,+52 800 555 6555,https://location.westernunion.com/mx/guanajuato/leon/bbf1321d75538a53cb902c1aae7effd8,Mo-Su 08:00-22:00,Western Union,Q861042
8bec1a24befcf359652a8976f9161763,western_union,SORIANA LEON INSURGENTES 999,,Leon,GUANAJUATO,,MX,+52 800 555 6555,https://location.westernunion.com/mx/guanajuato/leon/8bec1a24befcf359652a8976f9161763,Mo-Su 08:00-22:00,Western Union,Q861042
fc34553720613e213ae5b80c3b77883c,western_union,WALMART EXPRESS LAS TORRES 1100,,Leon,GUANAJUATO,,MX,+52 800 833 4700,https://location.westernunion.com/mx/guanajuato/leon/fc34553720613e213ae5b80c3b77883c,Mo-Su 07:00-23:00,Western Union,Q861042
