Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
1876,first_cash,First Cash Pawn,,Tulancingo,Hidalgo,,MX,+52 775 112 0394,,,First Cash Pawn,
458,nissan_europe,TULANCINGO,,Tulancingo de Bravo,HIDALGO,,MX,+52 775 753 3668,https://www.nissantulancingo.com.mx,,Nissan,Q20165
,visa,,,TULANCINGO,HIDALGO,,MX,,,,,
,visa,,,TULANCINGO,HIDALGO,,MX,,,,,
,visa,,,TULANCINGO DE BRAVO,HIDALGO,,MX,,,,,
,visa,,,TULANCINGO,HIDALGO,,MX,,,,,
6c73a2951eebc7288561817e754a3432,western_union,OXXO CRUCERO JUAREZ PAC,,Tulancingo,HIDALGO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/hidalgo/tulancingo/6c73a2951eebc7288561817e754a3432,Mo-Su 08:00-22:00,Western Union,Q861042
05e1d6577f07fd73c2cccde6f93457f5,western_union,OXXO CRUCERO JUAREZ PAC,,Tulancingo,HIDALGO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/hidalgo/tulancingo/05e1d6577f07fd73c2cccde6f93457f5,Mo-Su 08:00-22:00,Western Union,Q861042
0307f6ff6e8a44b6ce6d14c0d698ed0b,western_union,OXXO CRUCERO JUAREZ PAC,,Tulancingo,HIDALGO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/hidalgo/tulancingo/0307f6ff6e8a44b6ce6d14c0d698ed0b,Mo-Su 08:00-22:00,Western Union,Q861042
3282fff8100c729452566eff75156178,western_union,EKT 9664 21 DE MARZO,,Tulancingo,HIDALGO,,MX,+52 55 1720 8177,https://location.westernunion.com/mx/hidalgo/tulancingo/3282fff8100c729452566eff75156178,Mo-Su 09:00-21:00,Western Union,Q861042
8644aecac5002874b4ba24adedc36f8f,western_union,EKT 9664 21 DE MARZO,,Tulancingo,HIDALGO,,MX,+52 55 1720 8177,https://location.westernunion.com/mx/hidalgo/tulancingo/8644aecac5002874b4ba24adedc36f8f,Mo-Su 09:00-21:00,Western Union,Q861042
6835df126ae1864538ab3d57ed36b63d,western_union,OXXO NAYARIT PAC,,Tulancingo,HIDALGO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/hidalgo/tulancingo/6835df126ae1864538ab3d57ed36b63d,Mo-Su 08:00-22:00,Western Union,Q861042
34937a74b60c43ea1c95889923ed3276,western_union,OXXO NAYARIT PAC,,Tulancingo,HIDALGO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/hidalgo/tulancingo/34937a74b60c43ea1c95889923ed3276,Mo-Su 08:00-22:00,Western Union,Q861042
1eb3420c5bafd32edfbb184d737a41fc,western_union,OXXO NAYARIT PAC,,Tulancingo,HIDALGO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/hidalgo/tulancingo/1eb3420c5bafd32edfbb184d737a41fc,Mo-Su 08:00-22:00,Western Union,Q861042
f6fff591aaacaeb99030d16e6c43a415,western_union,BANCOPPEL 6621 TULANCINGO DE BRAVO,,Tulancingo,HIDALGO,,MX,+52 667 758 9999,https://location.westernunion.com/mx/hidalgo/tulancingo/f6fff591aaacaeb99030d16e6c43a415,Mo-Su 10:00-20:00,Western Union,Q861042
5e015f5fdcb3618c095112cfbc54c5b5,western_union,BANCOPPEL 6621 TULANCINGO DE BRAVO,,Tulancingo,HIDALGO,,MX,+52 667 758 9999,https://location.westernunion.com/mx/hidalgo/tulancingo/5e015f5fdcb3618c095112cfbc54c5b5,Mo-Su 10:00-20:00,Western Union,Q861042
90084889bcf726e348fca29a13b1141f,western_union,BANCOPPEL 6621 TULANCINGO DE BRAVO,,Tulancingo,HIDALGO,,MX,+52 667 758 9999,https://location.westernunion.com/mx/hidalgo/tulancingo/90084889bcf726e348fca29a13b1141f,Mo-Su 10:00-20:00,Western Union,Q861042
b719311e554e8a5fbc0f60f4773cfdc1,western_union,EKT 9664 21 DE MARZO,,Tulancingo,HIDALGO,,MX,+52 55 1720 8177,https://location.westernunion.com/mx/hidalgo/tulancingo/b719311e554e8a5fbc0f60f4773cfdc1,Mo-Su 09:00-21:00,Western Union,Q861042
