Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,OJUELOS,JALISCO,,MX,,,,,
,visa,,,OJUELOS DE JALISCO,JALISCO,,MX,,,,,
,visa,,,OJUELOS DE JALISCO,JALISCO,,MX,,,,,
db7dbef4117cbd51af625708b952249c,western_union,BANSEC,,Ojuelos,JALISCO,,MX,+52 81 2133 2160,https://location.westernunion.com/mx/jalisco/ojuelos/db7dbef4117cbd51af625708b952249c,Mo-Fr 08:00-17:00; Sa 08:00-13:00,Western Union,Q861042
3534ffbec94c10e8fad52c6136eb563c,western_union,BANSEC,,Ojuelos,JALISCO,,MX,+52 81 2133 2160,https://location.westernunion.com/mx/jalisco/ojuelos/3534ffbec94c10e8fad52c6136eb563c,Mo-Fr 08:00-17:00; Sa 08:00-13:00,Western Union,Q861042
8fdf286f1977f90230ac0706c6c4532e,western_union,BANSEC,,Ojuelos,JALISCO,,MX,+52 81 2133 2160,https://location.westernunion.com/mx/jalisco/ojuelos/8fdf286f1977f90230ac0706c6c4532e,Mo-Fr 08:00-17:00; Sa 08:00-13:00,Western Union,Q861042
e729234ec549cc79e1d3bad21710486c,western_union,FARMACIAS STA MARIA OJUELOS TD,,Ojuelos,JALISCO,,MX,+52 496 851 0717,https://location.westernunion.com/mx/jalisco/ojuelos/e729234ec549cc79e1d3bad21710486c,Mo-Su 08:00-23:00,Western Union,Q861042
fd91f81bf29c95a6b4936c3836e9ef51,western_union,FARMACIA SAN MIGUEL 1 AP CASH,,Ojuelos,JALISCO,,MX,+52 496 129 7958,https://location.westernunion.com/mx/jalisco/ojuelos/fd91f81bf29c95a6b4936c3836e9ef51,Mo-Su 08:00-21:00,Western Union,Q861042
284683f54c718b03e880d82bb77b783a,western_union,FARMACIA SAN MIGUEL 1 AP CASH,,Ojuelos,JALISCO,,MX,+52 496 129 7958,https://location.westernunion.com/mx/jalisco/ojuelos/284683f54c718b03e880d82bb77b783a,Mo-Su 08:00-21:00,Western Union,Q861042
d8e12801b5b9e3d37838f922ad350dbd,western_union,FARMACIA SAN MIGUEL 1 AP CASH,,Ojuelos,JALISCO,,MX,+52 496 129 7958,https://location.westernunion.com/mx/jalisco/ojuelos/d8e12801b5b9e3d37838f922ad350dbd,Mo-Su 08:00-21:00,Western Union,Q861042
8a79dd83aedcaa806ba90ff3c4b3db1a,western_union,FARMACIAS STA MARIA OJUELOS TD,,Ojuelos,JALISCO,,MX,+52 496 851 0717,https://location.westernunion.com/mx/jalisco/ojuelos/8a79dd83aedcaa806ba90ff3c4b3db1a,Mo-Su 08:00-23:00,Western Union,Q861042
010cd41da1bf56cc68d048172d6e6951,western_union,FARMACIA SAN MIGUEL,,Ojuelos,JALISCO,,MX,+52 496 129 7958,https://location.westernunion.com/mx/jalisco/ojuelos/010cd41da1bf56cc68d048172d6e6951,Mo-Su 09:00-21:00,Western Union,Q861042
dff15dc18d01b1bdfc32bc0e8fc1c1ff,western_union,FARMACIA SAN MIGUEL,,Ojuelos,JALISCO,,MX,+52 496 129 7958,https://location.westernunion.com/mx/jalisco/ojuelos/dff15dc18d01b1bdfc32bc0e8fc1c1ff,Mo-Su 09:00-21:00,Western Union,Q861042
f9ac7146977662d2c69bbb7fbbb42bb5,western_union,FARMACIA SAN MIGUEL,,Ojuelos,JALISCO,,MX,+52 496 129 7958,https://location.westernunion.com/mx/jalisco/ojuelos/f9ac7146977662d2c69bbb7fbbb42bb5,Mo-Su 09:00-21:00,Western Union,Q861042
7f66319984eb8e2c29617abe3e4e4a48,western_union,OXXO LOPEZ RAYON SLP,,Ojuelos,JALISCO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/jalisco/ojuelos/7f66319984eb8e2c29617abe3e4e4a48,Mo-Su 08:00-22:00,Western Union,Q861042
ae51bb3e40accd21e18fa632e1e9031e,western_union,OXXO LOPEZ RAYON SLP,,Ojuelos,JALISCO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/jalisco/ojuelos/ae51bb3e40accd21e18fa632e1e9031e,Mo-Su 08:00-22:00,Western Union,Q861042
ed61de206acc0fbf4e5d85fc6e6847d5,western_union,OXXO LOPEZ RAYON SLP,,Ojuelos,JALISCO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/jalisco/ojuelos/ed61de206acc0fbf4e5d85fc6e6847d5,Mo-Su 08:00-22:00,Western Union,Q861042
31d8f1c96f7f66038752a1ebc82888c6,western_union,EL BODEGON OJUELOS,,Ojuelos,JALISCO,,MX,+52 496 688 0468,https://location.westernunion.com/mx/jalisco/ojuelos/31d8f1c96f7f66038752a1ebc82888c6,Mo-Sa 10:00-20:30; Su 10:00-14:00,Western Union,Q861042
cace95006c77b6848d00df8b4fda5b57,western_union,EL BODEGON OJUELOS,,Ojuelos,JALISCO,,MX,+52 496 688 0468,https://location.westernunion.com/mx/jalisco/ojuelos/cace95006c77b6848d00df8b4fda5b57,Mo-Sa 10:00-20:30; Su 10:00-14:00,Western Union,Q861042
90b80e9be5c23ece2a9f532396ed3ba3,western_union,EL BODEGON OJUELOS,,Ojuelos,JALISCO,,MX,+52 496 688 0468,https://location.westernunion.com/mx/jalisco/ojuelos/90b80e9be5c23ece2a9f532396ed3ba3,Mo-Sa 10:00-20:30; Su 10:00-14:00,Western Union,Q861042
d9a86f2c2b72b93ff11418a3d65b9a3d,western_union,TELECOMM 14063,,Ojuelos,JALISCO,,MX,+52 800 800 8930,https://location.westernunion.com/mx/jalisco/ojuelos/d9a86f2c2b72b93ff11418a3d65b9a3d,Mo-Su 09:00-21:00,Western Union,Q861042
3612074cfe7ddc31a781ace3821ad38a,western_union,TELECOMM 14063,,Ojuelos,JALISCO,,MX,+52 800 800 9889,https://location.westernunion.com/mx/jalisco/ojuelos/3612074cfe7ddc31a781ace3821ad38a,Mo-Fr 09:00-15:00,Western Union,Q861042
a08f801d40a530e9d17f7c234602b91d,western_union,TELECOMM 14063,,Ojuelos,JALISCO,,MX,+52 800 800 8930,https://location.westernunion.com/mx/jalisco/ojuelos/a08f801d40a530e9d17f7c234602b91d,Mo-Su 09:00-20:00,Western Union,Q861042
54a3e79a001b150962b2d28f7051a290,western_union,BANORTE 00871 OJUELOS,,Ojuelos,JALISCO,,MX,+52 800 833 4700,https://location.westernunion.com/mx/jalisco/ojuelos/54a3e79a001b150962b2d28f7051a290,Mo-Fr 09:00-17:00,Western Union,Q861042
827de3c5ff46617429ad69e3f30c29e4,western_union,BANORTE 00871 OJUELOS,,Ojuelos,JALISCO,,MX,+52 800 833 4700,https://location.westernunion.com/mx/jalisco/ojuelos/827de3c5ff46617429ad69e3f30c29e4,Mo-Su 09:00-20:00,Western Union,Q861042
fbd3ce5d387e06931785ec08b8bdc676,western_union,BANORTE 00871 OJUELOS,,Ojuelos,JALISCO,,MX,+52 800 833 4700,https://location.westernunion.com/mx/jalisco/ojuelos/fbd3ce5d387e06931785ec08b8bdc676,Mo-Fr 09:00-17:00,Western Union,Q861042
5805b758cd64bf79a7b9997a94f0f08b,western_union,ELEKTRA DEK 5170,,Ojuelos,JALISCO,,MX,+52 55 1720 8177,https://location.westernunion.com/mx/jalisco/ojuelos/5805b758cd64bf79a7b9997a94f0f08b,Mo-Su 09:00-21:00,Western Union,Q861042
e6f130fda9a250c82707eb9ccf26c8e8,western_union,ELEKTRA DEK 5170,,Ojuelos,JALISCO,,MX,+52 55 1720 8177,https://location.westernunion.com/mx/jalisco/ojuelos/e6f130fda9a250c82707eb9ccf26c8e8,Mo-Su 09:00-21:00,Western Union,Q861042
3ce4ff37f54dc6551f2da466b4bc2ca2,western_union,ELEKTRA DEK 5170,,Ojuelos,JALISCO,,MX,+52 55 1720 8177,https://location.westernunion.com/mx/jalisco/ojuelos/3ce4ff37f54dc6551f2da466b4bc2ca2,Mo-Su 09:00-21:00,Western Union,Q861042
c9190f4b0e413f83ead54030b4b27cd4,western_union,OXXO GAS OJUELOS SLP,,Ojuelos,JALISCO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/jalisco/ojuelos/c9190f4b0e413f83ead54030b4b27cd4,Mo-Su 08:00-22:00,Western Union,Q861042
f4a63cd71818207d730d21cec9ed4648,western_union,OXXO GAS OJUELOS SLP,,Ojuelos,JALISCO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/jalisco/ojuelos/f4a63cd71818207d730d21cec9ed4648,Mo-Su 08:00-22:00,Western Union,Q861042
51b5d61259ec3db1862a0b824326bf2b,western_union,OXXO GAS OJUELOS SLP,,Ojuelos,JALISCO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/jalisco/ojuelos/51b5d61259ec3db1862a0b824326bf2b,Mo-Su 08:00-22:00,Western Union,Q861042
6260927da89b4320862067028cfe9bb6,western_union,MATERIALES 4 CABALLOS IMX,,Ojuelos,JALISCO,,MX,+52 800 733 3300,https://location.westernunion.com/mx/jalisco/ojuelos/6260927da89b4320862067028cfe9bb6,Mo-Sa 08:00-17:00,Western Union,Q861042
