Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72805314,moneygram,FARMACIAS GUADALAJARA - #2189 - SAN FELI,,SAN FELIPE DEL PROGRESO,MX,,MX,+52 800 555 6559,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
72240539,moneygram,FARMACIAS DEL AHORRO - #1645 - SAN FELIP,,SAN FELIPE DEL PROGRESO,MX,,MX,5253224320,,Mo-Su 07:00-23:00,MoneyGram,Q1944412
72244836,moneygram,FARMACIAS DEL AHORRO - #2365 - SAN FELIP,,SAN FELIPE DEL PROGRESO,MX,,MX,5253224320,,Mo-Su 07:00-23:00,MoneyGram,Q1944412
68831033,moneygram,DINERO EXPRESS - #5839 - SAN FELIPE DEL,,SAN FELIPE DEL PROGRESO,MX,,MX,+52 55 1720 8141,,Mo-Su 09:00-21:00,MoneyGram,Q1944412
74731486,moneygram,24 - SAN FELIPE DEL PROGRESO,,SAN FELIPE DEL PROGRESO,MX,,MX,+52 800 733 3300,,Mo-Su 08:00-20:00,MoneyGram,Q1944412
71120090,moneygram,TELECOMM - #TELECOMM 15039 - SAN FELIPE,,SAN FELIPE DEL PROGRESO,MX,,MX,55118008334700,,Mo-Fr 09:00-15:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71145745,moneygram,ELEKTRA - #6325 - SAN FELIPE DEL PROGRES,,SAN FELIPE DEL PROGRESO,MX,,MX,+52 55 1720 7000,,Mo-Su 09:00-21:00,MoneyGram,Q1944412
71143598,moneygram,ELEKTRA - #5839 - SAN FELIPE DEL PROGRES,,SAN FELIPE DEL PROGRESO,MX,,MX,+52 55 1720 7000,,Mo-Su 09:00-21:00,MoneyGram,Q1944412
41340965,moneygram,BANORTE - #2428 - SAN FELIPE DEL PROGRES,,SAN FELIPE DEL PROGRESO,MX,,MX,+52 712 123 5363,,Mo-Fr 09:00-18:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66532389,moneygram,MI BODEGA TENERIA,,SAN FELIPE DEL PROGRESO,MX,,MX,552629600,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
68826569,moneygram,DINERO EXPRESS - #6325 - SAN FELIPE DEL,,SAN FELIPE DEL PROGRESO,MX,,MX,+52 55 1720 8141,,Mo-Su 09:00-21:00,MoneyGram,Q1944412
71362395,moneygram,OXXO - LA PAZ TLC,,SAN FELIPE DEL PROGRESO,MX,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71365758,moneygram,OXXO - SAN FELIPE DEL PROGRESO TLC,,SAN FELIPE DEL PROGRESO,MX,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71365813,moneygram,OXXO - SAN LUCAS TLC,,SAN FELIPE DEL PROGRESO,MX,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
