Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,CIUDAD HIDALGO,MICHOACAN,,MX,,,,,
,visa,,,CD. HIDALGO,MICHOACAN,,MX,,,,,
,visa,,,CIUDAD HIDALGO,MICHOACAN,,MX,,,,,
,visa,,,CIUDAD HIDALGO,MICHOACAN,,MX,,,,,
59648874ade2cf8ecb0b3f362c5ee276,western_union,OXXO TEJADA TLC,,Ciudad Hidalgo,MICHOACAN,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/michoacan/ciudad-hidalgo/59648874ade2cf8ecb0b3f362c5ee276,Mo-Su 08:00-22:00,Western Union,Q861042
1414fb86fd61acff64def57285a084d7,western_union,OXXO EST VALLE ORIENTETLC,,Ciudad Hidalgo,MICHOACAN,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/michoacan/ciudad-hidalgo/1414fb86fd61acff64def57285a084d7,Mo-Su 08:00-22:00,Western Union,Q861042
4a21db389d64b5a4a12dbfcfb684033d,western_union,OXXO EST VALLE ORIENTETLC,,Ciudad Hidalgo,MICHOACAN,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/michoacan/ciudad-hidalgo/4a21db389d64b5a4a12dbfcfb684033d,Mo-Su 08:00-22:00,Western Union,Q861042
c1a3cb5d2b1b551189e102ec2023573a,western_union,MONEY COOP CAJA MORELIA CIUDAD HIDALGO,,Ciudad Hidalgo,MICHOACAN,,MX,+52 81 2133 2160,https://location.westernunion.com/mx/michoacan/ciudad-hidalgo/c1a3cb5d2b1b551189e102ec2023573a,Mo-Sa 08:00-17:30,Western Union,Q861042
389520ec362f5f8616f678ef320ed297,western_union,MONEY COOP CAJA MORELIA CIUDAD HIDALGO,,Ciudad Hidalgo,MICHOACAN,,MX,+52 81 2133 2160,https://location.westernunion.com/mx/michoacan/ciudad-hidalgo/389520ec362f5f8616f678ef320ed297,Mo-Sa 08:00-17:30,Western Union,Q861042
ca6f1785aa46c08f70ae5c725853600a,western_union,CAJA MORELIA SUC CIUDAD HIDALGO,,Ciudad Hidalgo,MICHOACAN,,MX,+52 81 2133 2160,https://location.westernunion.com/mx/michoacan/ciudad-hidalgo/ca6f1785aa46c08f70ae5c725853600a,Mo-Sa 08:00-17:30,Western Union,Q861042
bfafda1067341155d68cc2c7fecd16b5,western_union,PAGOS Y SERVICIOS VIRREY CD HIDALGO,,Ciudad Hidalgo,MICHOACAN,,MX,+52 786 154 1787,https://location.westernunion.com/mx/michoacan/ciudad-hidalgo/bfafda1067341155d68cc2c7fecd16b5,Mo-Sa 09:00-19:00,Western Union,Q861042
e267555bb6767c7762655ab573cb11b0,western_union,PAGOS Y SERVICIOS VIRREY CD HIDALGO,,Ciudad Hidalgo,MICHOACAN,,MX,+52 786 154 1787,https://location.westernunion.com/mx/michoacan/ciudad-hidalgo/e267555bb6767c7762655ab573cb11b0,Mo-Sa 09:00-19:00,Western Union,Q861042
edac15726715b23410bb01fcf2cc58e7,western_union,PAGOS Y SERVICIOS VIRREY CD HIDALGO,,Ciudad Hidalgo,MICHOACAN,,MX,+52 786 154 1787,https://location.westernunion.com/mx/michoacan/ciudad-hidalgo/edac15726715b23410bb01fcf2cc58e7,Mo-Sa 09:00-19:00,Western Union,Q861042
