City,Place Name,Zipcode,Name
Peribán de Ramos,anytime_fitness,,unknown,Anytime Fitness
Morelia,audi,Periférico Paseo de la República No. 3203 3203 58270 Morelia,unknown,Audi Center Morelia
Morelia,bmw_group,,unknown,Talismán Automotriz Talismán Automotriz S.A. de C.V. Talismán Automotriz
Zamora,bp,,unknown,BP
Morelia,hm,,unknown,"Paseo Altozano, Av. Montaña Monarca Norte #1000"
LAZARO CARDENAS ,nissan_europe,,unknown,LÁZARO CÁRDENAS
Morelia,nissan_europe,,unknown,MORELIA CHAPULTEPEC
Zamora ,nissan_europe,,unknown,ZAMORA
La Piedad,nissan_europe,,unknown,LA PIEDAD
Zitácuaro,nissan_europe,,unknown,ZITÁCUARO
Uruapan,nissan_europe,,unknown,URUAPAN
Apatzingán,nissan_europe,,unknown,APATZINGAN
Apatzingán,vertiche_mx,AV. Constitución de 1814 Norte Núm. Ext. 146,unknown,APATZINGÁN
JIQUILPAN DE JUAREZ,visa,,unknown,unknown
CHARO,visa,,unknown,unknown
TLALPUJAHUA,visa,,unknown,unknown
ZAMORA,visa,,unknown,unknown
OCAMPO,visa,,unknown,unknown
ZITACUARO,visa,,unknown,unknown
HEROICA ZITACUARO,visa,,unknown,unknown
H. ZITACUARO,visa,,unknown,unknown
MARAVATIO DE OCAMPO,visa,,unknown,unknown
TUXPAN,visa,,unknown,unknown
HIDALGO,visa,,unknown,unknown
CD. HIDALGO,visa,,unknown,unknown
CIUDAD HIDALGO,visa,,unknown,unknown
TUZANTLA,visa,,unknown,unknown
ZINAPECUARO DE FIGUEROA,visa,,unknown,unknown
ZINAPECUARO,visa,,unknown,unknown
ZINAPECUARO DE FIGUE,visa,,unknown,unknown
HUETAMO DE NUÑEZ,visa,,unknown,unknown
HUETAMO,visa,,unknown,unknown
HUETAMO DE NUNEZ,visa,,unknown,unknown
SANTA ANA MAYA,visa,,unknown,unknown
MORELIA,visa,,unknown,unknown
ALVARO OBREGON,visa,,unknown,unknown
TARIMBARO,visa,,unknown,unknown
CUITZEO,visa,,unknown,unknown
URIANGATO,visa,,unknown,unknown
LOS REYES,visa,,unknown,unknown
MICHOACAN,visa,,unknown,unknown
HUANDACAREO,visa,,unknown,unknown
MICHOACAN DE OCAMPO,visa,,unknown,unknown
LAGUNILLAS,visa,,unknown,unknown
PURUANDIRO,visa,,unknown,unknown
TACAMBARO DE CODALLOS,visa,,unknown,unknown
TACAMBARO,visa,,unknown,unknown
QUIROGA,visa,,unknown,unknown
JOSE SIXTO VERDUZCO,visa,,unknown,unknown
MORELOS,visa,,unknown,unknown
LAZARO CARDENAS,visa,,unknown,unknown
PATZCUARO,visa,,unknown,unknown
