Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72143911,moneygram,CADENA COMERCIAL OXXO SA DE CV - #10MON5,,APODACA,NL,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
72858109,moneygram,CADENA COMERCIAL OXXO SA DE CV - #10MON5,,APODACA,NL,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
73885427,moneygram,BODEGA AURRERA EXPRESS - #3472 - APODACA,,APODACA,NL,,MX,+52 55 5358 1111,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
74343366,moneygram,MERCO MIXCOAC - #6988 - APODACA - MERCO,,APODACA,NL,,MX,+52 81 8625 8650,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
70390588,moneygram,FARMACIAS GUADALAJARA - APODACA NUEVO L,,APODACA,NL,,MX,+52 713 278 5436,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
71314945,moneygram,OXXO - DULCES NOMBRES MTY,,APODACA,NL,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71323279,moneygram,OXXO - LOS SUIZOS MTY,,APODACA,NL,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71319872,moneygram,OXXO - MISION SAN PABLO MTY,,APODACA,NL,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71316338,moneygram,OXXO - NUEVA MIXCOAC II,,APODACA,NL,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71317942,moneygram,OXXO - R.DE LOSCRISTALESMTY,,APODACA,NL,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
