Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,RUIZ,NAYARIT,,MX,,,,,
5868f136374f63a666fc11ea53c1a9b2,western_union,PAPELERIA Y MERCERIA DON PANCHITO IMX,,Ruiz,NAYARIT,,MX,+52 800 733 3300,https://location.westernunion.com/mx/nayarit/ruiz/5868f136374f63a666fc11ea53c1a9b2,Mo-Su 08:00-16:00,Western Union,Q861042
b5dd30b390311d216e77b0a9727e6c9d,western_union,OXXO TEPIC RUIZ MERCADO GDL,,Ruiz,NAYARIT,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/nayarit/ruiz/b5dd30b390311d216e77b0a9727e6c9d,Mo-Su 08:00-22:00,Western Union,Q861042
4953d8a124234ee0265b4d66b6388f5c,western_union,OXXO TEPIC RUIZ MERCADO GDL,,Ruiz,NAYARIT,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/nayarit/ruiz/4953d8a124234ee0265b4d66b6388f5c,Mo-Su 08:00-22:00,Western Union,Q861042
a20646104c37ef7799f218895dc32255,western_union,AURRERA RUIZ 1437,,Ruiz,NAYARIT,,MX,+52 800 833 4700,https://location.westernunion.com/mx/nayarit/ruiz/a20646104c37ef7799f218895dc32255,Mo-Su 07:00-23:00,Western Union,Q861042
30f595d8315d0e06e38016cc161adb3e,western_union,AURRERA RUIZ 1437,,Ruiz,NAYARIT,,MX,+52 800 833 4700,https://location.westernunion.com/mx/nayarit/ruiz/30f595d8315d0e06e38016cc161adb3e,Mo-Su 07:00-23:00,Western Union,Q861042
11696e477f603e08bd9c1da941a65e13,western_union,AURRERA RUIZ 1437,,Ruiz,NAYARIT,,MX,+52 800 833 4700,https://location.westernunion.com/mx/nayarit/ruiz/11696e477f603e08bd9c1da941a65e13,Mo-Su 07:00-23:00,Western Union,Q861042
901ea62a3abaaf35cfa14deb4b1dd62d,western_union,OXXO TEPIC RUIZ MERCADO GDL,,Ruiz,NAYARIT,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/nayarit/ruiz/901ea62a3abaaf35cfa14deb4b1dd62d,Mo-Su 08:00-22:00,Western Union,Q861042
b320ce0261a3b2910ee9bdc2bccae201,western_union,BANCOPPEL 1170 PUEBLA,,Ruiz,NAYARIT,,MX,(+52) 667-589999,https://location.westernunion.com/mx/nayarit/ruiz/b320ce0261a3b2910ee9bdc2bccae201,Mo-Su 08:30-21:00,Western Union,Q861042
57d8807b45bdb3215528c57e22662bd9,western_union,BANCOPPEL 1170 PUEBLA,,Ruiz,NAYARIT,,MX,(+52) 667-589999,https://location.westernunion.com/mx/nayarit/ruiz/57d8807b45bdb3215528c57e22662bd9,Mo-Su 08:30-21:00,Western Union,Q861042
d7fe1a557b5b795041dc3255014985f2,western_union,BANCOPPEL 1170 PUEBLA,,Ruiz,NAYARIT,,MX,(+52) 667-589999,https://location.westernunion.com/mx/nayarit/ruiz/d7fe1a557b5b795041dc3255014985f2,Mo-Su 08:30-21:00,Western Union,Q861042
00cb0b3fd77ca7adc65b5072ef120af9,western_union,PAPELERIA Y MERCERIA DON PANCHITO IMX,,Ruiz,NAYARIT,,MX,+52 800 733 3300,https://location.westernunion.com/mx/nayarit/ruiz/00cb0b3fd77ca7adc65b5072ef120af9,Mo-Su 08:00-16:00,Western Union,Q861042
