Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
MEXA18510,audi,Audi Center Calzada del Valle,"Calzada del Valle Oriente No. 340 340, 66220 San Pedro Garza Garcia",San Pedro Garza Garcia,Nuevo Leon,,MX,+52 81 1257 0777,,,Audi,Q23317
MEXA18530,audi,Audi Center San Pedro,"Avenida José Vasconcelos No. 1552 - 2 1552 - 2, 66220 San Pedro Garza Garcia",San Pedro Garza Garcia,Nuevo Leon,,MX,+52 81 1492 4080,,,Audi,Q23317
63353,botteg_aveneta,Monterrey - El Palacio de Hierro,,Monterrey,Nuevo Leon,,MX,+52 81 1522 5739,https://www.bottegaveneta.com/de-de/storelocator/monterrey-elpalaciodehierro,Mo-Su 11:00-21:00,BottegAveneta,Q894874
18183,citi,SAB CF VALLE NL,,San Pedro Garza Garc,NUEVO LEON,,MX,+52 800 110 3990,,,Citibank,Q857063
20764,citi,CF VALLE 3,,San Pedro Garza Garc,NUEVO LEON,,MX,+52 800 110 3990,,,Citibank,Q857063
18827,citi,SAB CENTRITO 1,,San Pedro Garza Garc,NUEVO LEON,,MX,+52 800 110 3990,,,Citibank,Q857063
19303,citi,SAB DUENDES 1,,San Pedro Garza Garc,NUEVO LEON,,MX,+52 800 110 3990,,,Citibank,Q857063
19191,citi,CITIBANK VASCONCELOS,,San Pedro Garza G,NUEVO LEON,,MX,+52 800 110 3990,,,Citibank,Q857063
20733,citi,HEB SAN PEDRO,,San Pedro Garza Garc,NUEVO LEON,,MX,+52 800 110 3990,,,Citibank,Q857063
18726,citi,CF SAN PEDRO 1,,San Pedro Garza Garc,NUEVO LEON,,MX,+52 800 110 3990,,,Citibank,Q857063
20703,citi,SORIANA H. LOBO,,San Pedro Garza Garc,NUEVO LEON,,MX,+52 800 110 3990,,,Citibank,Q857063
,visa,,,MONTERREY,NUEVO LEON,,MX,,,,,
,visa,,,SAN PEDRO GARZA GARCIA,NUEVO LEON,,MX,,,,,
