Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,CALPAN,PUEBLA,,MX,,,,,
48db98de28a8e8a5feddc9b41be6e15c,western_union,AURRERA CALPAN SAN ANDRES 5198,,San Andres Calpan,PUEBLA,,MX,+52 800 833 4700,https://location.westernunion.com/mx/puebla/san-andres-calpan/48db98de28a8e8a5feddc9b41be6e15c,Mo-Su 08:00-22:00,Western Union,Q861042
92988383369b8c0187a6635790708bf3,western_union,AURRERA CALPAN SAN ANDRES 5198,,San Andres Calpan,PUEBLA,,MX,+52 800 833 4700,https://location.westernunion.com/mx/puebla/san-andres-calpan/92988383369b8c0187a6635790708bf3,Mo-Su 08:00-22:00,Western Union,Q861042
b23406c7a51230722b515495e30c6d0c,western_union,OXXO CALPAN PBF,,San Andres Calpan,PUEBLA,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/puebla/san-andres-calpan/b23406c7a51230722b515495e30c6d0c,Mo-Su 08:00-22:00,Western Union,Q861042
8a75f8d197f8697f100fb2b00b73dd7f,western_union,OXXO CALPAN PBF,,San Andres Calpan,PUEBLA,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/puebla/san-andres-calpan/8a75f8d197f8697f100fb2b00b73dd7f,Mo-Su 08:00-22:00,Western Union,Q861042
f49891a9f4b33d813bc3c796dd8fead0,western_union,OXXO CALPAN PBF,,San Andres Calpan,PUEBLA,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/puebla/san-andres-calpan/f49891a9f4b33d813bc3c796dd8fead0,Mo-Su 08:00-22:00,Western Union,Q861042
da6b0386bfd65dd2c43c57e5c530a0b1,western_union,VIC PRONTO 3 AP CASH,,San Andres Calpan,PUEBLA,,MX,+52 222 482 2990,https://location.westernunion.com/mx/puebla/san-andres-calpan/da6b0386bfd65dd2c43c57e5c530a0b1,Mo-Fr 09:00-18:00; Sa 09:00-16:00,Western Union,Q861042
e571dd0be1ec4961c3c00622979eaeb3,western_union,VIC PRONTO 3 AP CASH,,San Andres Calpan,PUEBLA,,MX,+52 222 482 2990,https://location.westernunion.com/mx/puebla/san-andres-calpan/e571dd0be1ec4961c3c00622979eaeb3,Mo-Fr 09:00-18:00; Sa 09:00-16:00,Western Union,Q861042
d27c69f8c98fcebee4d03e26bc81071e,western_union,VIC PRONTO 3 AP CASH,,San Andres Calpan,PUEBLA,,MX,+52 222 482 2990,https://location.westernunion.com/mx/puebla/san-andres-calpan/d27c69f8c98fcebee4d03e26bc81071e,Mo-Fr 09:00-18:00; Sa 09:00-16:00,Western Union,Q861042
f3eb5898eaf1dd41aede72e961825ccb,western_union,VIC PRONTO 4 AP CASH,,San Andres Calpan,PUEBLA,,MX,+52 222 482 3564,https://location.westernunion.com/mx/puebla/san-andres-calpan/f3eb5898eaf1dd41aede72e961825ccb,Mo-Fr 09:00-18:00; Sa 09:00-16:00,Western Union,Q861042
4e10900c0df7e131ad0be3097eb22aee,western_union,VIC PRONTO 4 AP CASH,,San Andres Calpan,PUEBLA,,MX,+52 222 482 3564,https://location.westernunion.com/mx/puebla/san-andres-calpan/4e10900c0df7e131ad0be3097eb22aee,Mo-Fr 09:00-18:00; Sa 09:00-16:00,Western Union,Q861042
56d44ef0a795401113fe0e4605acc0cd,western_union,VIC PRONTO 4 AP CASH,,San Andres Calpan,PUEBLA,,MX,+52 222 482 3564,https://location.westernunion.com/mx/puebla/san-andres-calpan/56d44ef0a795401113fe0e4605acc0cd,Mo-Fr 09:00-18:00; Sa 09:00-16:00,Western Union,Q861042
