Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,QUERETARO,QUERETARO,,MX,,,,,
7210e3b3809072b5ffead63e878925da,western_union,OXXO LA LAJA QRF,,Queretaro,QUERETARO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/queretaro/queretaro/7210e3b3809072b5ffead63e878925da,Mo-Su 08:00-22:00,Western Union,Q861042
486389e404c6857d393ea50a19b17155,western_union,OXXO LA LAJA QRF,,Queretaro,QUERETARO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/queretaro/queretaro/486389e404c6857d393ea50a19b17155,Mo-Su 08:00-22:00,Western Union,Q861042
afa5fd972199407949e322d35e250f6a,western_union,OXXO LA LAJA QRF,,Queretaro,QUERETARO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/queretaro/queretaro/afa5fd972199407949e322d35e250f6a,Mo-Su 08:00-22:00,Western Union,Q861042
1c763a2d5e141cb1e72c3d26e4af7303,western_union,SUPER Q MANSIONES DEL VALLE,,Queretaro,QUERETARO,,MX,+52 442 196 8597,https://location.westernunion.com/mx/queretaro/queretaro/1c763a2d5e141cb1e72c3d26e4af7303,Mo-Su 08:00-24:00,Western Union,Q861042
cfea2efef37ba4ff07b1dd4bfb7bf33f,western_union,SUPER Q MANSIONES DEL VALLE,,Queretaro,QUERETARO,,MX,+52 442 196 8597,https://location.westernunion.com/mx/queretaro/queretaro/cfea2efef37ba4ff07b1dd4bfb7bf33f,Mo-Su 08:00-24:00,Western Union,Q861042
387d293980bf509f375a9cf9d6930aaf,western_union,OXXO GUADALUPE QRF,,Queretaro,QUERETARO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/queretaro/queretaro/387d293980bf509f375a9cf9d6930aaf,Mo-Su 06:00-22:00,Western Union,Q861042
dfeb86aeab4d455340434ad4c93c266d,western_union,OXXO GUADALUPE QRF,,Queretaro,QUERETARO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/queretaro/queretaro/dfeb86aeab4d455340434ad4c93c266d,Mo-Su 06:00-22:00,Western Union,Q861042
6c227a081cb334e74fce1c42335a5729,western_union,OXXO GUADALUPE QRF,,Queretaro,QUERETARO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/queretaro/queretaro/6c227a081cb334e74fce1c42335a5729,Mo-Su 06:00-22:00,Western Union,Q861042
92c806c84e649c281e8c9cc92f325a56,western_union,SUPER Q T260   MANSIONES DEL VALLE II,,Queretaro,QUERETARO,,MX,+52 81 2133 2160,https://location.westernunion.com/mx/queretaro/queretaro/92c806c84e649c281e8c9cc92f325a56,Mo-Su 08:00-20:00,Western Union,Q861042
e9d0d3b9884faa32fab448a2c1119266,western_union,SUPER Q T260   MANSIONES DEL VALLE II,,Queretaro,QUERETARO,,MX,+52 81 2133 2160,https://location.westernunion.com/mx/queretaro/queretaro/e9d0d3b9884faa32fab448a2c1119266,Mo-Su 08:00-20:00,Western Union,Q861042
aeba6681f8d37b2e65a567644ae8b31e,western_union,OXXO MANSIONES QRF,,Queretaro,QUERETARO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/queretaro/queretaro/aeba6681f8d37b2e65a567644ae8b31e,Mo-Su 08:00-22:00,Western Union,Q861042
0217e4a8849b7beae40fbe41d53d0674,western_union,OXXO MANSIONES QRF,,Queretaro,QUERETARO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/queretaro/queretaro/0217e4a8849b7beae40fbe41d53d0674,Mo-Su 08:00-22:00,Western Union,Q861042
83a7c6543eb19d09ea4a38dec725e3b8,western_union,OXXO MANSIONES QRF,,Queretaro,QUERETARO,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/queretaro/queretaro/83a7c6543eb19d09ea4a38dec725e3b8,Mo-Su 08:00-22:00,Western Union,Q861042
