Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72118784,moneygram,COPPEL TRANSMISORES - CULIACAN - MATAMOR,,CULIACAN,SI,,MX,+52 667 724 8296,,Mo-Sa 09:00-19:30; Su 09:00-18:00,MoneyGram,Q1944412
72276888,moneygram,CADENA COMERCIAL OXXO SA DE CV - #10DCU5,,ELDORADO,SI,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
72360707,moneygram,BANCO AZTECA MEXICO - CULIACAN - MEGA EL,,CULIACAN,SI,,MX,+52 55 1720 8177,,Mo-Su 09:00-21:00,MoneyGram,Q1944412
72360736,moneygram,DINERO EXPRESS - CULIACAN - MEGA ELEKTRA,,CULIACAN,SI,,MX,+52 55 1720 8177,,Mo-Su 09:00-21:00,MoneyGram,Q1944412
69455609,moneygram,LEY - #1137 - EXPRESS SANALONA,,CULIACAN,SI,,MX,+52 667 762 5230,,Mo 07:00-22:00; Tu-Su 07:00-23:00,MoneyGram,Q1944412
69454451,moneygram,LEY - #1225 - SUPER INGENIO EL DORADO,,CULIACAN,SI,,MX,+52 667 724 2452,,Mo-Su 07:00-23:00,MoneyGram,Q1944412
68818289,moneygram,DINERO EXPRESS - #6812 - CULIACAN - BANC,,CULIACAN,SI,,MX,+52 55 1720 8141,,Mo-Su 09:00-21:00,MoneyGram,Q1944412
70400520,moneygram,FARMACIAS GUADALAJARA - EL DORADO SINAL,,CULIACAN,SI,,MX,+52 713 278 5436,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
71146171,moneygram,ELEKTRA - #6812 - CULIACAN - DAZ EL DORA,,CULIACAN,SI,,MX,+52 55 1720 7000,,Mo-Su 07:30-21:00,MoneyGram,Q1944412
41339866,moneygram,BANORTE - #8014 - CULIACAN EL DORADO,,CULIACAN,SI,,MX,+52 667 726 0009,,Mo-Fr 09:00-20:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71258690,moneygram,OXXO - EL DORADO CUL,,ELDORADO,SI,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71258179,moneygram,OXXO - INGENIO CUL,,ELDORADO,SI,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71259398,moneygram,OXXO - LAS PALMERAS CUL,,ELDORADO,SI,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71260426,moneygram,OXXO - SONORA CUL,,ELDORADO,SI,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71912169,moneygram,SORIANA - #519 - CULIACAN - DORADO,,CULIACAN,SI,,MX,+52 800 555 6555,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
