Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,MAZATLAN,SINALOA,,MX,,,,,
,visa,,,CULIACAN,SINALOA,,MX,,,,,
,visa,,,CULIACAN,SINALOA,,MX,,,,,
,visa,,,CULIACAN ROSALES,SINALOA,,MX,,,,,
,visa,,,CULIACAN,SINALOA,,MX,,,,,
09b23d611bea7ca0945fabe35309be27,western_union,OXXO AZTLAN DCU,,Culiacan,SINALOA,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/sinaloa/culiacan/09b23d611bea7ca0945fabe35309be27,Mo-Su 08:00-22:00,Western Union,Q861042
e0b1c55d74ed8fbab9eadbfaec490940,western_union,OXXO AZTLAN DCU,,Culiacan,SINALOA,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/sinaloa/culiacan/e0b1c55d74ed8fbab9eadbfaec490940,Mo-Su 08:00-22:00,Western Union,Q861042
49f1fd8f49b9cb9d0eb7cc9230b71d77,western_union,OXXO AZTLAN DCU,,Culiacan,SINALOA,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/sinaloa/culiacan/49f1fd8f49b9cb9d0eb7cc9230b71d77,Mo-Su 08:00-22:00,Western Union,Q861042
4dc93a61aeb0c2491e6b14965f6e2eb5,western_union,OXXO BENJAMIN HILL CUL,,Culiacan,SINALOA,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/sinaloa/culiacan/4dc93a61aeb0c2491e6b14965f6e2eb5,Mo-Su 08:00-22:00,Western Union,Q861042
8710b1bb0351b8c840de14cf7e5b7455,western_union,OXXO BENJAMIN HILL CUL,,Culiacan,SINALOA,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/sinaloa/culiacan/8710b1bb0351b8c840de14cf7e5b7455,Mo-Su 08:00-22:00,Western Union,Q861042
37998ad9db86b02528018566e11b26ca,western_union,OXXO ANCONA CUL,,Culiacan,SINALOA,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/sinaloa/culiacan/37998ad9db86b02528018566e11b26ca,Mo-Su 08:00-22:00,Western Union,Q861042
c36f6b7061388be583cfb91baf0bf723,western_union,OXXO ANCONA CUL,,Culiacan,SINALOA,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/sinaloa/culiacan/c36f6b7061388be583cfb91baf0bf723,Mo-Su 08:00-22:00,Western Union,Q861042
