Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
18988,citi,TALAMANTE,,Navojoa,SONORA,,MX,+52 800 110 3990,,,Citibank,Q857063
18221,citi,NAVOJOA 3,,Navojoa,SONORA,,MX,+52 800 110 3990,,,Citibank,Q857063
368,nissan_europe,NAVOJOA,,Navojoa,SONORA,,MX,+52 642 425 8200,https://www.nissannavojoa.com.mx,,Nissan,Q20165
0000006298,sams_club_mx,"Sam's Club Navojoa, Son.",,Navojoa,Sonora,,MX,+52 642 421 2188,https://www.sams.com.mx/clubes/0000006298,,Sam's Club,Q1972120
,visa,,,NAVOJOA,SONORA,,MX,,,,,
,visa,,,NAVOJOA,SONORA,,MX,,,,,
,visa,,,NAVOJOA,SONORA,,MX,,,,,
,visa,,,NAVOJOA,SONORA,,MX,,,,,
,visa,,,NAVOJOA,SONORA,,MX,,,,,
38c00da550700c39a18b3eb7b69a4429,western_union,SUBURBIA 682 NAVOJOA,,Navojoa,SONORA,,MX,+52 800 733 3300,https://location.westernunion.com/mx/sonora/navojoa/38c00da550700c39a18b3eb7b69a4429,Mo-Su 11:00-21:00,Western Union,Q861042
bd5fbdddb501d2699eaa4f1d9e6faf2a,western_union,SUBURBIA 682 NAVOJOA,,Navojoa,SONORA,,MX,+52 800 733 3300,https://location.westernunion.com/mx/sonora/navojoa/bd5fbdddb501d2699eaa4f1d9e6faf2a,Mo-Su 11:00-21:00,Western Union,Q861042
7d51c1ac43d7f656d665ae3672060c71,western_union,SUBURBIA 682 NAVOJOA,,Navojoa,SONORA,,MX,+52 800 733 3300,https://location.westernunion.com/mx/sonora/navojoa/7d51c1ac43d7f656d665ae3672060c71,Mo-Su 11:00-21:00,Western Union,Q861042
