Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
453,nissan_europe,MATAMOROS,,Matamoros,TAMAULIPAS,,MX,+52 868 810 7250,https://www.nissanmatamoros.com.mx,,Nissan,Q20165
,visa,,,MATAMOROS,TAMAULIPAS,,MX,,,,,
,visa,,,MATAMOROS,TAMAULIPAS,,MX,,,,,
,visa,,,MATAMOROS,TAMAULIPAS,,MX,,,,,
,visa,,,MATAMOROS,TAMAULIPAS,,MX,,,,,
15c886ad307d7824a410ae4e9bea342a,western_union,WALMART MATAMOROS 3719,,Matamoros,TAMAULIPAS,,MX,+52 800 833 4700,https://location.westernunion.com/mx/tamaulipas/matamoros/15c886ad307d7824a410ae4e9bea342a,Mo-Su 07:00-23:00,Western Union,Q861042
f733e0d2a76741361a19dc303abdcfb0,western_union,WALMART MATAMOROS 3719,,Matamoros,TAMAULIPAS,,MX,+52 800 833 4700,https://location.westernunion.com/mx/tamaulipas/matamoros/f733e0d2a76741361a19dc303abdcfb0,Mo-Su 07:00-23:00,Western Union,Q861042
f1891c20749e6cade0165ab89fce2a37,western_union,WALMART MATAMOROS 3719,,Matamoros,TAMAULIPAS,,MX,+52 800 833 4700,https://location.westernunion.com/mx/tamaulipas/matamoros/f1891c20749e6cade0165ab89fce2a37,Mo-Su 07:00-23:00,Western Union,Q861042
7df57c124cf0b7d3741fbfdc5fa0cd3f,western_union,OXXO MEXICALI MAF,,Matamoros,TAMAULIPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/tamaulipas/matamoros/7df57c124cf0b7d3741fbfdc5fa0cd3f,Mo-Su 08:00-22:00,Western Union,Q861042
255eae8f156e0fef1ee37b637cefd244,western_union,OXXO MEXICALI MAF,,Matamoros,TAMAULIPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/tamaulipas/matamoros/255eae8f156e0fef1ee37b637cefd244,Mo-Su 08:00-22:00,Western Union,Q861042
03b197151e5358b3a903913538df9f7b,western_union,OXXO MEXICALI MAF,,Matamoros,TAMAULIPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/tamaulipas/matamoros/03b197151e5358b3a903913538df9f7b,Mo-Su 08:00-22:00,Western Union,Q861042
6ecab15ff7118661935ff4a734b69c3d,western_union,OXXO MARIANO MATAMOROS MAF,,Matamoros,TAMAULIPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/tamaulipas/matamoros/6ecab15ff7118661935ff4a734b69c3d,Mo-Su 06:00-22:00,Western Union,Q861042
bfcb9675970a0d8e3c9f644e173013ce,western_union,OXXO MARIANO MATAMOROS MAF,,Matamoros,TAMAULIPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/tamaulipas/matamoros/bfcb9675970a0d8e3c9f644e173013ce,Mo-Su 06:00-22:00,Western Union,Q861042
1ac5e8b9268e90fe57e6488af5623373,western_union,7ELEVEN PASEO DEL BOSQUE Y NARANJOS 1775,,Matamoros,TAMAULIPAS,,MX,+52 800 833 4700,https://location.westernunion.com/mx/tamaulipas/matamoros/1ac5e8b9268e90fe57e6488af5623373,Mo-Su 06:00-22:00,Western Union,Q861042
46fa7488b8984d14af1b24a0807bf2c1,western_union,7ELEVEN PASEO DEL BOSQUE Y NARANJOS 1775,,Matamoros,TAMAULIPAS,,MX,+52 800 833 4700,https://location.westernunion.com/mx/tamaulipas/matamoros/46fa7488b8984d14af1b24a0807bf2c1,Mo-Su 06:00-22:00,Western Union,Q861042
9c8df84bd8b405797ff385fb894fa4dc,western_union,7ELEVEN PASEO DEL BOSQUE Y NARANJOS 1775,,Matamoros,TAMAULIPAS,,MX,+52 800 833 4700,https://location.westernunion.com/mx/tamaulipas/matamoros/9c8df84bd8b405797ff385fb894fa4dc,Mo-Su 06:00-22:00,Western Union,Q861042
d16aa01b16f895cf14d02ad72f8a23b2,western_union,OXXO EL ROBLE MAF,,Matamoros,TAMAULIPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/tamaulipas/matamoros/d16aa01b16f895cf14d02ad72f8a23b2,Mo-Su 08:00-22:00,Western Union,Q861042
c70a291d541f81a5cb02e01b1ab6c792,western_union,OXXO EL ROBLE MAF,,Matamoros,TAMAULIPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/tamaulipas/matamoros/c70a291d541f81a5cb02e01b1ab6c792,Mo-Su 08:00-22:00,Western Union,Q861042
be7895889bf10bb5b2c06a0cf8abf1a3,western_union,OXXO EL ROBLE MAF,,Matamoros,TAMAULIPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/tamaulipas/matamoros/be7895889bf10bb5b2c06a0cf8abf1a3,Mo-Su 08:00-22:00,Western Union,Q861042
579deeb07c0a7b99bdb9609b6daa6488,western_union,7ELEVEN PLAN DE AYUTLA 1407,,Matamoros,TAMAULIPAS,,MX,+52 800 833 4700,https://location.westernunion.com/mx/tamaulipas/matamoros/579deeb07c0a7b99bdb9609b6daa6488,Mo-Su 06:00-22:00,Western Union,Q861042
4f8fb5de64806acc1100633c54adc8b2,western_union,7ELEVEN PLAN DE AYUTLA 1407,,Matamoros,TAMAULIPAS,,MX,+52 800 833 4700,https://location.westernunion.com/mx/tamaulipas/matamoros/4f8fb5de64806acc1100633c54adc8b2,Mo-Su 06:00-22:00,Western Union,Q861042
5292a689a6e85efa0193878762d0d31e,western_union,OXXO VALLE ALTO MAF,,Matamoros,TAMAULIPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/tamaulipas/matamoros/5292a689a6e85efa0193878762d0d31e,Mo-Su 08:00-22:00,Western Union,Q861042
436868528c52bee33182437c9201edee,western_union,OXXO VALLE ALTO MAF,,Matamoros,TAMAULIPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/tamaulipas/matamoros/436868528c52bee33182437c9201edee,Mo-Su 08:00-22:00,Western Union,Q861042
93b34fa7bb87d89268919303a63c5e38,western_union,OXXO VALLE ALTO MAF,,Matamoros,TAMAULIPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/tamaulipas/matamoros/93b34fa7bb87d89268919303a63c5e38,Mo-Su 08:00-22:00,Western Union,Q861042
3acdda921a3d2d836add9f4a4385a82a,western_union,OXXO MARIANO MATAMOROS MAF,,Matamoros,TAMAULIPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/tamaulipas/matamoros/3acdda921a3d2d836add9f4a4385a82a,Mo-Su 06:00-22:00,Western Union,Q861042
943d23d58c7733e6541947eca0e820b3,western_union,OXXO PASEORESIDENCIAL MAF,,Matamoros,TAMAULIPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/tamaulipas/matamoros/943d23d58c7733e6541947eca0e820b3,Mo-Su 08:00-22:00,Western Union,Q861042
ba400d8e3f5d49ce8e2ef11d392ddcc1,western_union,OXXO PASEORESIDENCIAL MAF,,Matamoros,TAMAULIPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/tamaulipas/matamoros/ba400d8e3f5d49ce8e2ef11d392ddcc1,Mo-Su 08:00-22:00,Western Union,Q861042
877b38d32f4773ceace8684da6fbbc09,western_union,OXXO PASEORESIDENCIAL MAF,,Matamoros,TAMAULIPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/tamaulipas/matamoros/877b38d32f4773ceace8684da6fbbc09,Mo-Su 08:00-22:00,Western Union,Q861042
bf3877443508ac68a114274cb9bebc3c,western_union,OXXO TLAXCALA MAF,,Matamoros,TAMAULIPAS,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/tamaulipas/matamoros/bf3877443508ac68a114274cb9bebc3c,Mo-Su 08:00-22:00,Western Union,Q861042
