Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72163438,moneygram,COPPEL TRANSMISORES - FORTIN DE LAS FLOR,,FORTIN DE LAS FLORES,VC,,MX,+52 271 713 3067,,Mo-Sa 10:00-20:30; Su 10:00-16:00,MoneyGram,Q1944412
72191112,moneygram,SUPER MASS 1 - FORTIN - SUPER MASS 1,,FORTIN,VC,,MX,+52 800 733 3300,,Mo-Fr 09:00-17:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
74012082,moneygram,CADENA COMERCIAL OXXO SA DE CV - #10VCZ5,,FORTIN,VC,,MX,5283892121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
69657588,moneygram,CAJA ZONGOLICA - FORTIN,,FORTIN DE LAS FLORES,VC,,MX,+52 271 713 1309,,Mo-Fr 08:30-15:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70391008,moneygram,FARMACIAS GUADALAJARA - FORTIN DE LAS FL,,FORTIN,VC,,MX,+52 713 278 5436,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
68811095,moneygram,DINERO EXPRESS - #5689 - FORTIN DE LAS F,,FORTIN DE LAS FLORES,VC,,MX,+52 55 1720 8141,,Mo-Su 09:00-21:00,MoneyGram,Q1944412
71127873,moneygram,TELECOMM - #TELECOMM 30036 - FORTIN - FO,,FORTIN,VC,,MX,55118008334700,,Mo-Fr 09:00-15:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71143129,moneygram,ELEKTRA - #5689 - FORTIN - DAZ FORTIN,,FORTIN,VC,,MX,+52 55 1720 7000,,Mo-Su 07:30-21:00,MoneyGram,Q1944412
40776527,moneygram,WAL-MART CORDOBA - #3909,,CORDOBA,VC,,MX,+52 271 716 2129,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
67107548,moneygram,MI BODEGA FORTIN DE LAS FLORES - FORTIN,,FORTIN,VC,,MX,+52 55 3618 2000,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
71374286,moneygram,OXXO - FORTIN VER,,FORTIN DE LAS FLORES,VC,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71374024,moneygram,OXXO - MONTESALAS JAL,,FORTIN,VC,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
