Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
1232,first_cash,First Cash Pawn,,Veracruz,Veracruz,,MX,+52 229 155 7443,,,First Cash Pawn,
,visa,,,VERACRUZ,VERACRUZ,,MX,,,,,
,visa,,,VERACRUZ,VERACRUZ,,MX,,,,,
,visa,,,VERACRUZ,VERACRUZ,,MX,,,,,
,visa,,,VERACRUZ,VERACRUZ,,MX,,,,,
,visa,,,VERACRUZ,VERACRUZ,,MX,,,,,
b196e830c0bc99f3c6805ff0e6dd573e,western_union,OXXO XANA VER,,Veracruz,VERACRUZ,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/veracruz/veracruz/b196e830c0bc99f3c6805ff0e6dd573e,Mo-Su 08:00-22:00,Western Union,Q861042
fb600f3112da6b65bdf9b6eac4bee546,western_union,OXXO XANA VER,,Veracruz,VERACRUZ,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/veracruz/veracruz/fb600f3112da6b65bdf9b6eac4bee546,Mo-Su 08:00-22:00,Western Union,Q861042
49e90506b5883312fbb191bcb204e9a3,western_union,OXXO XANA VER,,Veracruz,VERACRUZ,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/veracruz/veracruz/49e90506b5883312fbb191bcb204e9a3,Mo-Su 08:00-22:00,Western Union,Q861042
23cb8f4c7dee27636fecaca54f730aa9,western_union,OXXO ANGEL SARMIENTO VER,,Veracruz,VERACRUZ,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/veracruz/veracruz/23cb8f4c7dee27636fecaca54f730aa9,Mo-Su 08:00-22:00,Western Union,Q861042
b32659706d748ac37c17334f73153409,western_union,OXXO ANGEL SARMIENTO VER,,Veracruz,VERACRUZ,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/veracruz/veracruz/b32659706d748ac37c17334f73153409,Mo-Su 08:00-22:00,Western Union,Q861042
d62bbec9dbfaea19d12e97d96fd262eb,western_union,OXXO ANGEL SARMIENTO VER,,Veracruz,VERACRUZ,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/veracruz/veracruz/d62bbec9dbfaea19d12e97d96fd262eb,Mo-Su 08:00-22:00,Western Union,Q861042
c027d84e15273f815dda55fcc5dbd12c,western_union,OXXO PUEBLOS MAGICOS II VER,,Veracruz,VERACRUZ,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/veracruz/veracruz/c027d84e15273f815dda55fcc5dbd12c,Mo-Su 06:00-22:00,Western Union,Q861042
59b8ecee4dbc7838cf2fe69e43a4d45d,western_union,OXXO PUEBLOS MAGICOS II VER,,Veracruz,VERACRUZ,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/veracruz/veracruz/59b8ecee4dbc7838cf2fe69e43a4d45d,Mo-Su 06:00-22:00,Western Union,Q861042
7aa6b0875ca5f03da70078fc39359b80,western_union,OXXO PUEBLOS MAGICOS II VER,,Veracruz,VERACRUZ,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/veracruz/veracruz/7aa6b0875ca5f03da70078fc39359b80,Mo-Su 06:00-22:00,Western Union,Q861042
2d459f7716557aa868749c363e68cde2,western_union,TIENDAS NETO XANA 1292,,Veracruz,VERACRUZ,,MX,+52 55 7945 4330,https://location.westernunion.com/mx/veracruz/veracruz/2d459f7716557aa868749c363e68cde2,Mo-Su 07:00-22:00,Western Union,Q861042
574821a246d2cd1ef128810eefae8e4d,western_union,TIENDAS NETO XANA 1292,,Veracruz,VERACRUZ,,MX,+52 55 7945 4330,https://location.westernunion.com/mx/veracruz/veracruz/574821a246d2cd1ef128810eefae8e4d,Mo-Su 07:00-22:00,Western Union,Q861042
2b4b9fb67a611dbf0e5b9755a6ea4559,western_union,TIENDAS NETO XANA 1292,,Veracruz,VERACRUZ,,MX,+52 55 7945 4330,https://location.westernunion.com/mx/veracruz/veracruz/2b4b9fb67a611dbf0e5b9755a6ea4559,Mo-Su 07:00-22:00,Western Union,Q861042
cd5190ef1c954a0e9135fa1a502223af,western_union,OXXO ALBATROS VER,,Veracruz,VERACRUZ,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/veracruz/veracruz/cd5190ef1c954a0e9135fa1a502223af,Mo-Su 08:00-22:00,Western Union,Q861042
5c6637ba32b797977194debf08c24f29,western_union,OXXO ALBATROS VER,,Veracruz,VERACRUZ,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/veracruz/veracruz/5c6637ba32b797977194debf08c24f29,Mo-Su 08:00-22:00,Western Union,Q861042
da9c86c9804b541273fee8998fb27990,western_union,OXXO ALBATROS VER,,Veracruz,VERACRUZ,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/veracruz/veracruz/da9c86c9804b541273fee8998fb27990,Mo-Su 08:00-22:00,Western Union,Q861042
491b0d04f44fe11a169b687e61803be9,western_union,OXXO PREDIO III VER,,Veracruz,VERACRUZ,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/veracruz/veracruz/491b0d04f44fe11a169b687e61803be9,Mo-Su 08:00-22:00,Western Union,Q861042
94579017ee98231c71e69558ce1418bb,western_union,OXXO PREDIO III VER,,Veracruz,VERACRUZ,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/veracruz/veracruz/94579017ee98231c71e69558ce1418bb,Mo-Su 08:00-22:00,Western Union,Q861042
c35562e9079eb4797206ab8e5fc9bed4,western_union,OXXO PREDIO III VER,,Veracruz,VERACRUZ,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/veracruz/veracruz/c35562e9079eb4797206ab8e5fc9bed4,Mo-Su 08:00-22:00,Western Union,Q861042
edffa7c92dddcf7e3e94b8950938133a,western_union,OXXO POCHOTA VER,,Veracruz,VERACRUZ,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/veracruz/veracruz/edffa7c92dddcf7e3e94b8950938133a,Mo-Su 08:00-22:00,Western Union,Q861042
f71363156c6a6a5e36f74dd9be015c84,western_union,OXXO POCHOTA VER,,Veracruz,VERACRUZ,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/veracruz/veracruz/f71363156c6a6a5e36f74dd9be015c84,Mo-Su 08:00-22:00,Western Union,Q861042
