Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,MERIDA,YUCATAN,,MX,,,,,
,visa,,,MERIDA,YUCATAN,,MX,,,,,
38a34c606d444e6c710f5b4265b3d057,western_union,OXXO SERAPIO RENDON MID,,Merida,YUCATAN,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/yucatan/merida/38a34c606d444e6c710f5b4265b3d057,Mo-Su 08:00-22:00,Western Union,Q861042
29a6aa943a97e8b2c9cee38da1efc904,western_union,OXXO SERAPIO RENDON MID,,Merida,YUCATAN,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/yucatan/merida/29a6aa943a97e8b2c9cee38da1efc904,Mo-Su 08:00-22:00,Western Union,Q861042
7abc4ce6acd4bf8d0cceaca30aa360be,western_union,OXXO SERAPIO RENDON MID,,Merida,YUCATAN,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/yucatan/merida/7abc4ce6acd4bf8d0cceaca30aa360be,Mo-Su 08:00-22:00,Western Union,Q861042
52078776f7d7cc6da520e9389811f6ad,western_union,OXXO VILLAMAGNA SUR MID,,Merida,YUCATAN,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/yucatan/merida/52078776f7d7cc6da520e9389811f6ad,Mo-Su 08:00-22:00,Western Union,Q861042
e49766962f0852caa377b414791d2e4e,western_union,OXXO VILLAMAGNA SUR MID,,Merida,YUCATAN,,MX,+52 81 8389 2121,https://location.westernunion.com/mx/yucatan/merida/e49766962f0852caa377b414791d2e4e,Mo-Su 08:00-22:00,Western Union,Q861042
2b22959639db44425300f34e5ce3850a,western_union,SUPER WILLYS 123 AP CASH,,Merida,YUCATAN,,MX,+52 999 932 4177,https://location.westernunion.com/mx/yucatan/merida/2b22959639db44425300f34e5ce3850a,Mo-Su 08:00-21:00,Western Union,Q861042
a2f2a39e0f9fc1737422a7a3f44c0f90,western_union,SUPER WILLYS 123 AP CASH,,Merida,YUCATAN,,MX,+52 999 932 4177,https://location.westernunion.com/mx/yucatan/merida/a2f2a39e0f9fc1737422a7a3f44c0f90,Mo-Su 08:00-21:00,Western Union,Q861042
fbe7471beb12ed27a9ca9a8c095a8d1f,western_union,SUPER WILLYS 123 AP CASH,,Merida,YUCATAN,,MX,+52 999 932 4177,https://location.westernunion.com/mx/yucatan/merida/fbe7471beb12ed27a9ca9a8c095a8d1f,Mo-Su 08:00-21:00,Western Union,Q861042
