Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72258796,moneygram,WALDOS - #6397 - CENTRO - OJO CALIENTE Z,,CENTRO,ZA,,MX,+52 55 5246 0700,,Mo-Su 09:00-21:00,MoneyGram,Q1944412
72794386,moneygram,CADENA COMERCIAL OXXO SA DE CV - #10GTO5,,OJOCALIENTE,ZA,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
68815211,moneygram,DINERO EXPRESS - #414 - OJOCALIENTE - BA,,OJOCALIENTE,ZA,,MX,+52 55 1720 8141,,Mo-Su 09:00-21:00,MoneyGram,Q1944412
71129295,moneygram,TELECOMM - #TELECOMM 32019 - OJOCALIENTE,,OJOCALIENTE,ZA,,MX,55118008334700,,Mo-Fr 09:00-14:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
41288797,moneygram,BANORTE - #837 - OJOCALIENTE,,OJOCALIENTE,ZA,,MX,+52 458 944 0140,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
43521274,moneygram,CAJA POPULAR MEX - #512 - OJOCALIENTE,,OJOCALIENTE,ZA,,MX,+52 458 944 0421,,Mo-Fr 09:00-16:00; Sa 09:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
71678050,moneygram,MUEBLES DIANA - #1674 - OJOCALIENTE - MU,,OJOCALIENTE,ZA,,MX,+52 458 944 1590,,Mo-Su 10:00-14:30,MoneyGram,Q1944412
71381392,moneygram,OXXO - ESTRADA ZCL,,OJOCALIENTE,ZA,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71381389,moneygram,OXXO - TISCARENO ZCL,,OJOCALIENTE,ZA,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
71912897,moneygram,SORIANA - #605 - OJOCALIENTE - OJO CALIE,,OJOCALIENTE,ZA,,MX,+52 800 555 6555,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
