Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
MEXMC,marriott,Mexico City Marriott Reforma Hotel,,Mexico City,,,MX,+52 55 1102 7030,https://www.marriott.com/MEXMC,,Marriott Hotels & Resorts,Q3918608
MEXXE,marriott,City Express by Marriott EBC Reforma,,Ciudad de Mexico,,,MX,+52 55 1102 0280,https://www.marriott.com/MEXXE,,City Express,Q109329542
MEXPG,marriott,City Express Plus by Marriott Reforma El Ángel,,Ciudad de México,,,MX,+52 55 5228 7800,https://www.marriott.com/MEXPG,,City Express,Q109329542
72277586,moneygram,CADENA COMERCIAL OXXO SA DE CV - #10MEX5,,CIUDAD DE MEXICO,,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
72422548,moneygram,CADENA COMERCIAL OXXO SA DE CV - #10MEX5,,CIUDAD DE MEXICO,,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
72236488,moneygram,FARMACIAS DEL AHORRO - #1102 - CUAUHTEMO,,CUAUHTEMOC,,,MX,5253224320,,Mo-Su 07:00-23:00,MoneyGram,Q1944412
72237908,moneygram,FARMACIAS DEL AHORRO - #1322 - CUAUHTEMO,,CUAUHTEMOC,,,MX,5253224320,,Mo-Su 07:00-23:00,MoneyGram,Q1944412
72241910,moneygram,FARMACIAS DEL AHORRO - #1935 - CUAUHTEMO,,CUAUHTEMOC,,,MX,5253224320,,Mo-Su 07:00-23:00,MoneyGram,Q1944412
72243840,moneygram,FARMACIAS DEL AHORRO - #2248 - CUAUHTEMO,,CUAUHTEMOC,,,MX,5253224320,,Mo-Su 07:00-23:00,MoneyGram,Q1944412
73552077,moneygram,BANORTE - #BANORTE-03778 - CUAUHTEMOC -,,CUAUHTEMOC,,,MX,+52 800 833 4700,,Mo-Fr 08:30-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73871143,moneygram,CADENA COMERCIAL OXXO SA DE CV - #10MEX5,,CIUDAD DE MEXICO,,,MX,+52 81 8389 2121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
74930753,moneygram,CADENA COMERCIAL OXXO - #10MEX50U25 - CI,,CIUDAD DE MEXICO,,,MX,83892121,,Mo-Su 03:00-24:00,MoneyGram,Q1944412
mxefbc180a,pandora,Acerca de Joyería Pandora Maxima Distincion @ Reforma PR,,Cuauhtemoc,,,MX,+52 55 5514 3492,https://stores.pandora.net/mx-cmx/cuauhtemoc/joyeria-pandora-mxefbc180a.html,Mo-Su 11:00-20:00,Pandora,Q2241604
N090542,united_colors_of_benetton,Benetton Ciudad De Mexico,,CIUDAD DE MEXICO,,,MX,+52 55 5207 3665,,Mo-Su 11:00-21:00,United Colors of Benetton,Q817139
,visa,,,D.F.,,,MX,,,,,
,visa,,,CUAUHTEMOC,,,MX,,,,,
,visa,,,D.F.,,,MX,,,,,
,visa,,,D.F.,,,MX,,,,,
,visa,,,D.F.,,,MX,,,,,
,visa,,,D.F.,,,MX,,,,,
,visa,,,CUAUHTEMOC,,,MX,,,,,
