Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://locations.michaelkors.com/malaysia/johor/johor-bahru/the-mall--mid-valley-southkey.html,michaelkors,Michael Kors Johor Bahru,,Johor Bahru,Johor,,MY,+60 7-336 2942,https://locations.michaelkors.com/malaysia/johor/johor-bahru/the-mall--mid-valley-southkey.html,Mo-Su 10:00-22:00,Michael Kors,Q19572998
https://locations.michaelkors.com/fr/malaysia/johor/johor-bahru/the-mall--mid-valley-southkey.html,michaelkors,Michael Kors Johor Bahru,,Johor Bahru,Johor,,MY,+60 7-336 2942,https://locations.michaelkors.com/fr/malaysia/johor/johor-bahru/the-mall--mid-valley-southkey.html,Mo-Su 10:00-22:00,Michael Kors,Q19572998
65222b0c-3b11-42ee-a99c-96304f1b5df3,nike,Nike Southkey,,Johor Bahru,Johor,,MY,+60 7-338 3543,https://www.nike.com/retail/s/nike-southkey,Mo-Su 10:00-22:00,Nike,Q483915
https://stores.superdry.com/#1020491829,superdry,Superdry SOGO Southkey,,Johor Bahru,Johor,,MY,,https://stores.superdry.com/my/johor-bahru/sogo-southkey,,Superdry,Q1684445
,visa,,,JOHOR BAHRU,JOHOR,,MY,,,,,
,visa,,,JOHOR BAHRU,JOHOR,,MY,,,,,
0bda0092673baa2d6444d6e45f583e27,western_union,SMJ MID VALLEY SOUTHKEY,,Johor Bahru,JOHOR,,MY,+60 18-969 8869,https://location.westernunion.com/my/johor/johor-bahru/0bda0092673baa2d6444d6e45f583e27,Mo-Su 10:00-22:00,Western Union,Q861042
c31ef3a238a2622d8d25c3525dc4d364,western_union,RHB TMN SENTOSA JBA,,Johor Bahru,JOHOR,,MY,+60 7-332 2248,https://location.westernunion.com/my/johor/johor-bahru/c31ef3a238a2622d8d25c3525dc4d364,Mo-Fr 09:15-16:15,Western Union,Q861042
c6bd76eb3c8b4accb0875b2708a532f9,western_union,POTENSI TEGUH SDN BHD JB,,Johor Bahru,JOHOR,,MY,+60 7-334 5831,https://location.westernunion.com/my/johor/johor-bahru/c6bd76eb3c8b4accb0875b2708a532f9,Mo-Su 08:00-23:30,Western Union,Q861042
b7d848f8aede34323d1bc0d5a42eb074,western_union,PBB AMAN SENTOSA,,Johor Bahru,JOHOR,,MY,+60 7-331 6521,https://location.westernunion.com/my/johor/johor-bahru/b7d848f8aede34323d1bc0d5a42eb074,Mo-Fr 09:30-16:00,Western Union,Q861042
a6bf1a0a96ee479c1879bfc488f056e5,western_union,PBB TAMAN SENTOSA,,Johor Bahru,JOHOR,,MY,+60 7-331 6521,https://location.westernunion.com/my/johor/johor-bahru/a6bf1a0a96ee479c1879bfc488f056e5,Mo-Fr 09:30-16:00,Western Union,Q861042
a24a1bb81c711b5710ee74bdbb4287ee,western_union,PENGURUP WANG KLUANG TMN SENTOSA JB,,Johor Bahru,JOHOR,,MY,+60 7-331 5646,https://location.westernunion.com/my/johor/johor-bahru/a24a1bb81c711b5710ee74bdbb4287ee,Mo-Su 10:00-20:00,Western Union,Q861042
