Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
13030086,shell,CHERAS LEISUREMALL,,KUALA LUMPUR,Kuala Lumpur,,MY,,https://find.shell.com/my/fuel/13030086-cheras-leisuremall,24/7,Shell,Q110716465
10208660,shell,SHELL TAMAN MAJU JAYA CHERAS,,KUALA LUMPUR,Kuala Lumpur,,MY,+60 3-9282 2541,https://find.shell.com/my/fuel/10208660-shell-taman-maju-jaya-cheras,,Shell,Q110716465
10311296,shell,SHELL MRT TAMAN MIDAH,,KUALA LUMPUR,Kuala Lumpur,,MY,+60 3-9131 4880,https://find.shell.com/my/fuel/10311296-shell-mrt-taman-midah,24/7,Shell,Q110716465
10208601,shell,SHELL TAMAN SERAYA,,KUALA LUMPUR,Kuala Lumpur,,MY,+60 17-384 7193,https://find.shell.com/my/fuel/10208601-shell-taman-seraya,24/7,Shell,Q110716465
,visa,,,CHERAS,KUALA LUMPUR,,MY,,,,,
,visa,,,CHERAS,KUALA LUMPUR,,MY,,,,,
,visa,,,KUALA LUMPUR,KUALA LUMPUR,,MY,,,,,
,visa,,,KUALA LUMPUR,KUALA LUMPUR,,MY,,,,,
f488c542bfbcd9ff9cd82e1895b03f6c,western_union,LULU MONEY ONE SHAMELIN,,Kuala Lumpur,KUALA LUMPUR,,MY,+60 10-266 1079,https://location.westernunion.com/my/kuala-lumpur/kuala-lumpur/f488c542bfbcd9ff9cd82e1895b03f6c,Mo-Su 09:45-22:30,Western Union,Q861042
850e2fdd6c02c5570f7c57dbcf12b9e0,western_union,POS TAMAN SERAYA 06053,,Kuala Lumpur,KUALA LUMPUR,,MY,+60 3-4293 2934,https://location.westernunion.com/my/kuala-lumpur/kuala-lumpur/850e2fdd6c02c5570f7c57dbcf12b9e0,Mo-Fr 08:30-17:30; Sa 08:30-13:00,Western Union,Q861042
df5e71493ebd18a82ce64c7b165679d1,western_union,RHBTAMAN SHAMELIN,,Cheras,KUALA LUMPUR,,MY,+60 3-9282 7385,https://location.westernunion.com/my/kuala-lumpur/cheras/df5e71493ebd18a82ce64c7b165679d1,Mo-Fr 09:15-16:15,Western Union,Q861042
0dde7edd4065efeaa56e381ea7486da8,western_union,PBB TAMAN CHERAS,,Kuala Lumpur,KUALA LUMPUR,,MY,+60 3-9130 7840,https://location.westernunion.com/my/kuala-lumpur/kuala-lumpur/0dde7edd4065efeaa56e381ea7486da8,Mo-Fr 09:30-16:00,Western Union,Q861042
63f3ced191a8010be7d3caaf9b056ac0,western_union,M156 BSN TAMAN SEGAR,,Cheras,KUALA LUMPUR,,MY,+60 3-9130 2324,https://location.westernunion.com/my/kuala-lumpur/cheras/63f3ced191a8010be7d3caaf9b056ac0,Mo-Fr 08:30-20:00,Western Union,Q861042
062b9bfaafc2dc064a6e1c61df846f77,western_union,TAJ MUHABATH SDN BHD CHERAS,,Kuala Lumpur,KUALA LUMPUR,,MY,(+60) 6391347787,https://location.westernunion.com/my/kuala-lumpur/kuala-lumpur/062b9bfaafc2dc064a6e1c61df846f77,Mo-Su 08:00-22:15,Western Union,Q861042
69089578781f5b54bf9458ef590ade90,western_union,ADIL TELADAN HQ   PANDAN CAPITAL MALL,,Kuala Lumpur,KUALA LUMPUR,,MY,+60 3-4280 1786,https://location.westernunion.com/my/kuala-lumpur/kuala-lumpur/69089578781f5b54bf9458ef590ade90,Mo-Su 11:00-22:00,Western Union,Q861042
