Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
71999616,moneygram,PRIME COMMERCIAL BANK LTD - #URNP2378 -,,GORKHA,,,NP,1620146,,Mo-Su 07:00-19:00,MoneyGram,Q1944412
72159662,moneygram,GORKHALI MONEY TRANSFER - PRITHIVI NARAY,,PRITHIVI NARAYAN MUNICIPALITY,,,NP,+977 64-420605,,Mo-Su 09:00-19:00,MoneyGram,Q1944412
72228632,moneygram,MUKTINATH BIKAS BANK LIMITED - #SRMBBL12,,GORKHA,,,NP,+977 64-420546,,Mo-Su 07:00-19:00,MoneyGram,Q1944412
72250040,moneygram,CIVIL BANK LIMITED - #SRCBL09 - DHARCHE,,GORKHA,,,NP,649849978657,,Mo-Su 07:00-19:00,MoneyGram,Q1944412
72291986,moneygram,KUMARI BANK LIMITED - GORKHA - GORKHA,,GORKHA,,,NP,+977 984-1534895,,Mo-Fr 10:00-18:00; Sa 10:00-17:00; Su 10:00-18:00,MoneyGram,Q1944412
72339576,moneygram,NMB BANK LIMITED - #SRNMB42 - GORKHA,,GORKHA,,,NP,+977 64-521540,,Mo-Su 07:00-19:00,MoneyGram,Q1944412
72371369,moneygram,GLOBAL IME BANK LIMITED - GORKHA - GORKH,,GORKHA,,,NP,649851249801,,Mo-Su 07:00-19:00,MoneyGram,Q1944412
72393952,moneygram,GLOBAL IME BANK LIMITED - GORKHA - SULIK,,GORKHA,,,NP,+977 985-5092000,,Mo-Su 07:00-19:00,MoneyGram,Q1944412
72428319,moneygram,NMB BANK LIMITED - #SRNMB70 - LAXMIBAZAR,,GORKHA,,,NP,+977 1-4246160,,Mo-Su 07:00-19:00,MoneyGram,Q1944412
72430352,moneygram,SIDDHARTHA BANK LIMITED - #SRSBL53 - GOR,,GORKHA,,,NP,+977 1-4442919,,Mo-Su 07:00-19:00,MoneyGram,Q1944412
72473157,moneygram,NIRDHAN UTTHAN LAGHUBITTA BITTIYA SANSTH,,GORKHA,,,NP,+977 64-691084,,Mo-Su 07:00-19:00,MoneyGram,Q1944412
72491278,moneygram,AGRICULTURAL DEVELOPMENT BANK LTD. - GOR,,GORKHA,,,NP,+977 64-421369,,Mo-Su 07:00-19:00,MoneyGram,Q1944412
72491922,moneygram,AGRICULTURAL DEVELOPMENT BANK LTD. - GOR,,GORKHA,,,NP,+977 64-420460,,Mo-Su 07:00-19:00,MoneyGram,Q1944412
72495559,moneygram,NIC ASIA BANK LIMITED - #SRNIC056 - PALU,,GORKHA,,,NP,+977 64-400028,,Mo-Su 07:00-19:00,MoneyGram,Q1944412
72628300,moneygram,GLOBAL IME LAGHUBITTA BITTIYA SANSTHA LT,,GORAKHA,,,NP,+977 64-421265,,Mo-Su 07:00-19:00,MoneyGram,Q1944412
72651209,moneygram,SADHANA LAGHUBITTA BITTIYA SANSTHA - #GM,,GORKHA,,,NP,+977 985-6000262,,Mo-Su 07:00-19:00,MoneyGram,Q1944412
72651212,moneygram,SADHANA LAGHUBITTA BITTIYA SANSTHA - #GM,,GORKHA,,,NP,+977 984-6252408,,Mo-Su 07:00-19:00,MoneyGram,Q1944412
72651225,moneygram,SADHANA LAGHUBITTA BITTIYA SANSTHA - #GM,,GORKHA,,,NP,+977 984-6739035,,Mo-Su 07:00-19:00,MoneyGram,Q1944412
72651238,moneygram,SADHANA LAGHUBITTA BITTIYA SANSTHA - #GM,,GORKHA,,,NP,+977 984-6004575,,Mo-Su 07:00-19:00,MoneyGram,Q1944412
