Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72224869,moneygram,SUMERU INVESTMENT & REMITTANCE PVT. LTD.,,DHAPAKHEL,,,NP,+977 1-5555550,,Mo-Su 09:00-19:00,MoneyGram,Q1944412
74693579,moneygram,SANIMA BANK LIMITED - MANGALBAZAR BRANCH,,LALITPUR,,,NP,+977 1-5524727,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74693498,moneygram,SANIMA BANK LIMITED - HARISIDDHI BRANCH,,LALITPUR,,,NP,+977 984-1756612,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74693553,moneygram,SANIMA BANK LIMITED - MAHALAXMI BRANCH,,LALITPUR,,,NP,+977 1-5709367,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74693605,moneygram,SANIMA BANK LIMITED - SANEPA BRANCH,,LALITPUR,,,NP,+977 1-5909013,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74693634,moneygram,SANIMA BANK LIMITED - THASIKHEL BRANCH,,LALITPUR,,,NP,+977 1-5193231,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74693469,moneygram,SANIMA BANK LIMITED - DHOLAHITI BRANCH,,LALITPUR,,,NP,+977 1-5573201,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74693414,moneygram,SANIMA BANK LIMITED - BALKUMARI BRANCH,,LALITPUR,,,NP,+977 1-5186634,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74790951,moneygram,NABIL BANK LIMITED - CHAPAGAUN BRANCH,,LALITPUR,,,NP,+977 985-1191500,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74791329,moneygram,NABIL BANK LIMITED - IMADOL BRANCH,,LALITPUR,,,NP,+977 1-4813113,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74790948,moneygram,NABIL BANK LIMITED - CHYASAL,,LALITPUR,,,NP,+977 985-1155880,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74791620,moneygram,NABIL BANK LIMITED - PRAYAG POKHARI BRAN,,LALITPUR,,,NP,+977 1-5204202,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74791659,moneygram,NABIL BANK LIMITED - BHAISEPATI BRANCH,,LALITPUR,,,NP,+977 1-5591469,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74791633,moneygram,NABIL BANK LIMITED - SANEPA BRANCH,,LALITPUR,,,NP,+977 1-5546010,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74790281,moneygram,NABIL BANK LIMITED - THAIBA BRANCH,,LALITPUR,,,NP,+977 1-5914100,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74790838,moneygram,NABIL BANK LIMITED - JAWALAKHEL,,LALITPUR,,,NP,+977 984-9403462,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74791662,moneygram,NABIL BANK LIMITED - KHOKANA BRANCH,,LALITPUR,,,NP,+977 1-5591644,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74790553,moneygram,NABIL BANK LIMITED - MANGAL BAZAR BRANCH,,LALITPUR,,,NP,+977 984-1633097,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74790210,moneygram,NABIL BANK LIMITED - LALITPUR BRANCH,,LALITPUR,,,NP,5542891,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74791646,moneygram,NABIL BANK LIMITED - KUMARIPATI 2 BRANCH,,LALITPUR,,,NP,+977 1-5553011,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74790867,moneygram,NABIL BANK LIMITED - GUSINGAL BRANCH,,LALITPUR,,,NP,+977 985-1067927,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74791219,moneygram,NABIL BANK LIMITED - GWARKO BRANCH,,LALITPUR,,,NP,+977 1-5541590,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74790786,moneygram,NABIL BANK LIMITED - BAGDOL,,LALITPUR,,,NP,+977 984-8424980,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74790223,moneygram,NABIL BANK LIMITED - SATDOBATO BRANCH,,LALITPUR,,,NP,5550332,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
