State,Place Name,City,Establishments
UNKNOWN,accor,unknown,45
UNKNOWN,adairs,unknown,7
AUK,adidas,Auckland,7
UNKNOWN,adidas,Christchurch,1
UNKNOWN,adidas,Auckland,2
UNKNOWN,aje,unknown,2
UNKNOWN,alamo,Queenstown,1
UNKNOWN,alamo,Wellington,1
UNKNOWN,alamo,Christchurch,1
UNKNOWN,alamo,Auckland,1
UNKNOWN,alamo,Nelson,1
UNKNOWN,alamo,Dunedin,1
CANTERBURY,anytime_fitness,"Cashmere, Christchurch",1
WAIKATO,anytime_fitness,"Rototuna, Hamilton",1
AUCKLAND,anytime_fitness,Auckland,14
HAWKESBAY,anytime_fitness,Hastings,1
AUCKLAND,anytime_fitness,"Ormiston, Auckland",1
CANTERBURY,anytime_fitness,"Hornby, Christchurch",1
WAIKATO,anytime_fitness,Hamilton,1
BOP,anytime_fitness,Rotorua,1
GISBORNE,anytime_fitness,Gisborne,1
TARANAKI,anytime_fitness,New Plymouth,1
CANTERBURY,anytime_fitness,"Hereford, Christchurch",1
HAWKESBAY,anytime_fitness,Napier,1
HAWKESBAY,anytime_fitness,Taradale,1
AUCKLAND,anytime_fitness,"Botany Downs, Auckland",1
WELLINGTON,anytime_fitness,Wellington,1
AUCKLAND,anytime_fitness,"Glendene, Auckland",1
WAIKATO,anytime_fitness,Taupo,1
CANTERBURY,anytime_fitness,Christchurch,4
AUCKLAND,anytime_fitness,"St Lukes, Auckland",1
CANTERBURY,anytime_fitness,Rangiora,1
WAIKATO,anytime_fitness,"Avalon, Hamilton",1
OTAGO,anytime_fitness,Dunedin,3
AUCKLAND,anytime_fitness,"Highland Park, Auckland",1
AUCKLAND,anytime_fitness,"Ponsonby, Auckland",1
AUCKLAND,anytime_fitness,Whangaparaoa,1
CANTERBURY,anytime_fitness,"Riccarton, Christchurch",1
AUCKLAND,anytime_fitness,"Browns Bay, Auckland",1
WAIKATO,anytime_fitness,Cambridge,1
AUCKLAND,anytime_fitness,"Ellerslie, Auckland",1
BOP,anytime_fitness,Tauranga,3
SOUTHISLAND,anytime_fitness,Invercargill,1
NORTHLAND,anytime_fitness,Whangarei,1
AUCKLAND,anytime_fitness,"New Lynn, Auckland",1
AUCKLAND,anytime_fitness,"Pukekohe, Auckland",1
AUCKLAND,anytime_fitness,"Henderson, Auckland",1
AUCKLAND,anytime_fitness,"Takanini, Auckland",1
CANTERBURY,anytime_fitness,"Shirley, Christchurch",1
WAIKATO,anytime_fitness,"5 Cross Roads, Hamilton",1
WELLINGTON,audi,Wellington,1
AUCKLAND,audi,Auckland,2
WAIKATO,audi,Hamilton,1
BAYOFPLENTY,audi,Tauranga,1
NORTHLAND,audi,Whangarei,2
WAIKATO,audi,Taupo,1
HAWKESBAY,audi,Napier,1
TARANAKI,audi,New Plymouth,1
MANAWATUWANGANUI,audi,Palmerston North,1
CANTERBURY,audi,Christchurch,1
OTAGO,audi,Dunedin,1
OTAGO,audi,Queenstown,1
