Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
L2NvbnRlbnQvZGFtL2psbC1jb20vbW9kZWxzL2xvY2F0aW9ucy9lbi9qbGwtYXVja2xhbmQ,jll,JLL Auckland,,Auckland,New Zealand,,NZ,+64 9 366 1666,https://www.jll.nz/en/locations/auckland-real-estate,,JLL,Q1703389
9400002,mcdonalds_qstore,QUEEN STREET,,AUCKLAND,NEW ZEALAND,,NZ,+64 9 309 4883,,Mo-Tu 07:00-22:00; We 07:00-00:00; Th-Sa 00:00-00:00; Su 00:00-22:00,McDonald's,Q38076
9400003,mcdonalds_qstore,LOWER HUTT,,LOWER HUTT,NEW ZEALAND,,NZ,+64 4 569 7142,,24/7,McDonald's,Q38076
9400004,mcdonalds_qstore,NEW LYNN,,NEW LYNN,NEW ZEALAND,,NZ,+64 9 827 3879,,24/7,McDonald's,Q38076
9400005,mcdonalds_qstore,MANNERS ST,,WELLINGTON,NEW ZEALAND,,NZ,+64 4 472 3498,,Mo-Su 10:00-24:00,McDonald's,Q38076
9400006,mcdonalds_qstore,WHANGANUI,,WHANGANUI,NEW ZEALAND,,NZ,+64 6 348 4537,,,McDonald's,Q38076
9400008,mcdonalds_qstore,NEW PLYMOUTH,,NEW PLYMOUTH,NEW ZEALAND,,NZ,+64 6 757 9936,,Mo-Su 06:00-23:00,McDonald's,Q38076
9400010,mcdonalds_qstore,TAURANGA,,TAURANGA,NEW ZEALAND,,NZ,+64 7 578 1216,,24/7,McDonald's,Q38076
9400012,mcdonalds_qstore,ROTORUA,,ROTORUA,NEW ZEALAND,,NZ,+64 7 350 3213,,,McDonald's,Q38076
9400013,mcdonalds_qstore,WEST CITY,,HENDERSON,NEW ZEALAND,,NZ,+64 9 836 2446,,Mo-Su 09:00-17:00,McDonald's,Q38076
9400014,mcdonalds_qstore,ST LUKES Foodcourt,,MT ALBERT,NEW ZEALAND,,NZ,+64 9 846 5160,,Mo-We 08:00-18:00; Th-Fr 08:00-21:00; Sa 08:00-19:00; Su 08:30-18:00,McDonald's,Q38076
9400015,mcdonalds_qstore,UPPER HUTT,,UPPER HUTT,NEW ZEALAND,,NZ,+64 4 528 4067,,,McDonald's,Q38076
9400018,mcdonalds_qstore,MANGERE,,MANGERE,NEW ZEALAND,,NZ,+64 9 275 3086,,24/7,McDonald's,Q38076
9400019,mcdonalds_qstore,WHANGAREI,,WHANGAREI,NEW ZEALAND,,NZ,+64 9 430 2527,,Mo-We 06:00-22:00; Th-Sa 06:00-23:00; Su 06:00-22:00,McDonald's,Q38076
9400022,mcdonalds_qstore,MERIVALE,,MERIVALE,NEW ZEALAND,,NZ,+64 3 355 7643,,Mo-Su 06:00-24:00,McDonald's,Q38076
9400023,mcdonalds_qstore,HASTINGS,,HASTINGS,NEW ZEALAND,,NZ,+64 6 878 3041,,,McDonald's,Q38076
9400024,mcdonalds_qstore,MANUKAU CITY,,MANUKAU CITY,NEW ZEALAND,,NZ,+64 9 261 0167,,Mo-Su 07:00-23:00,McDonald's,Q38076
9400025,mcdonalds_qstore,GISBORNE,,GISBORNE,NEW ZEALAND,,NZ,+64 6 867 9351,,,McDonald's,Q38076
9400026,mcdonalds_qstore,JOHNSONVILLE,,JOHNSONVILLE,NEW ZEALAND,,NZ,+64 4 461 7138,,,McDonald's,Q38076
9400027,mcdonalds_qstore,LINWOOD,,LINWOOD,NEW ZEALAND,,NZ,+64 3 389 1099,,Mo-Su 06:00-23:00,McDonald's,Q38076
9400028,mcdonalds_qstore,PARAPARAUMU,,PARAPARAUMU,NEW ZEALAND,,NZ,+64 4 297 2436,,Mo-Th 06:00-00:00; Fr-Sa 06:00-01:00; Su 06:00-00:00,McDonald's,Q38076
9400029,mcdonalds_qstore,RICCARTON,,RICCARTON,NEW ZEALAND,,NZ,+64 3 343 0549,,Mo-Su 06:00-24:00,McDonald's,Q38076
9400030,mcdonalds_qstore,NELSON,,NELSON,NEW ZEALAND,,NZ,+64 3 548 2888,,,McDonald's,Q38076
9400032,mcdonalds_qstore,NAPIER,,NAPIER,NEW ZEALAND,,NZ,+64 6 835 9055,,,McDonald's,Q38076
9400033,mcdonalds_qstore,ROYAL OAK,,MT ALBERT,NEW ZEALAND,,NZ,+64 9 624 2107,,,McDonald's,Q38076
9400035,mcdonalds_qstore,DUNEDIN,,DUNEDIN,NEW ZEALAND,,NZ,03-4790576 TAKE-OUT ONLY,,Mo-Su 07:00-19:00,McDonald's,Q38076
9400036,mcdonalds_qstore,LINCOLN RD,,HENDERSON,NEW ZEALAND,,NZ,+64 9 837 4454,,24/7,McDonald's,Q38076
9400038,mcdonalds_qstore,FRANKTON,,FRANKTON,NEW ZEALAND,,NZ,+64 7 847 2780,,24/7,McDonald's,Q38076
9400043,mcdonalds_qstore,LYNNMALL,,NEW LYNN,NEW ZEALAND,,NZ,+64 9 827 5594,,Mo-We 08:00-17:30; Th-Fr 08:00-21:00; Sa-Su 09:00-17:30,McDonald's,Q38076
9400044,mcdonalds_qstore,BELMONT,,BELMONT,NEW ZEALAND,,NZ,+64 9 445 7569,,Mo-Su 06:00-23:00,McDonald's,Q38076
9400045,mcdonalds_qstore,LAMBTON QUAY,,WELLINGTON,NEW ZEALAND,,NZ,+64 4 472 1808,,Mo-Su 07:00-21:00,McDonald's,Q38076
9400046,mcdonalds_qstore,MANUREWA,,MANUREWA,NEW ZEALAND,,NZ,+64 9 269 3781,,24/7,McDonald's,Q38076
9400047,mcdonalds_qstore,TE AWAMUTU,,TE AWAMUTU,NEW ZEALAND,,NZ,+64 7 870 2044,,,McDonald's,Q38076
9400049,mcdonalds_qstore,TAUPO,,TAUPO,NEW ZEALAND,,NZ,+64 7 378 8679,,,McDonald's,Q38076
9400050,mcdonalds_qstore,PAPAKURA,,PAPAKURA,NEW ZEALAND,,NZ,+64 9 298 2600,,,McDonald's,Q38076
9400051,mcdonalds_qstore,PAKURANGA,,PAKURANGA,NEW ZEALAND,,NZ,+64 9 572 0110,,24/7,McDonald's,Q38076
9400052,mcdonalds_qstore,CHARTWELL SHOPPING CENTRE,,HAMILTON,NEW ZEALAND,,NZ,+64 7 853 2648,,Mo-We 09:00-18:00; Th-Fr 09:00-21:00; Sa 09:00-18:00; Su 10:00-17:00,McDonald's,Q38076
9400053,mcdonalds_qstore,THAMES,,THAMES,NEW ZEALAND,,NZ,+64 7 867 9043,,Mo-Th 06:30-23:00; Fr-Sa 06:30-24:00; Su 06:30-23:00,McDonald's,Q38076
9400054,mcdonalds_qstore,INVERCARGILL,,INVERCARGILL,NEW ZEALAND,,NZ,+64 3 214 3020,,Mo-We 06:00-00:00; Th-Sa 00:00-00:00; Su 06:00-00:00,McDonald's,Q38076
9400058,mcdonalds_qstore,MASTERTON,,MASTERTON,NEW ZEALAND,,NZ,+64 6 370 3335,,,McDonald's,Q38076
9400059,mcdonalds_qstore,TIMARU,,TIMARU,NEW ZEALAND,,NZ,+64 3 684 6595,,Mo-Tu 06:00-23:00; We-Th 06:00-24:00; Fr-Sa 00:00-00:00; Su 06:00-23:00,McDonald's,Q38076
9400061,mcdonalds_qstore,KAMO,,WHANGAREI,NEW ZEALAND,,NZ,+64 9 435 4133,,24/7,McDonald's,Q38076
9400066,mcdonalds_qstore,LEVIN,,LEVIN,NEW ZEALAND,,NZ,+64 6 367 8016,,,McDonald's,Q38076
9400068,mcdonalds_qstore,WHAKATANE,,WHAKATANE,NEW ZEALAND,,NZ,+64 7 308 9977,,,McDonald's,Q38076
9400069,mcdonalds_qstore,WAIRAU ROAD,,GLENFIELD,NEW ZEALAND,,NZ,+64 9 444 7608,,Mo-Tu 06:00-00:00; We-Su 00:00-00:00,McDonald's,Q38076
9400071,mcdonalds_qstore,OREWA,,OREWA,NEW ZEALAND,,NZ,+64 9 426 6000,,Mo-Su 07:00-22:00,McDonald's,Q38076
9400073,mcdonalds_qstore,MANUKAU MALL Foodcourt,,MANUKAU,NEW ZEALAND,,NZ,+64 9 261 0171,,Mo-We 08:00-18:00; Th-Fr 08:00-21:00; Sa 08:00-18:00; Su 09:00-15:30,McDonald's,Q38076
9400075,mcdonalds_qstore,PUKEKOHE,,"""PUKEKOHE, SOUTH AUCKLAND""",NEW ZEALAND,,NZ,+64 9 237 1566,,,McDonald's,Q38076
9400076,mcdonalds_qstore,BAYFAIR,,TAURANGA,NEW ZEALAND,,NZ,+64 7 575 0348,,Mo-We 07:30-18:15; Th-Fr 07:30-21:30; Sa-Su 07:30-18:15,McDonald's,Q38076
9400078,mcdonalds_qstore,BLENHEIM,,BLEHEIM,NEW ZEALAND,,NZ,+64 3 577 8030,,Mo-Th 06:00-22:00; Fr-Su 00:00-00:00,McDonald's,Q38076
9400080,mcdonalds_qstore,ASH STREET,,AVONDALE,NEW ZEALAND,,NZ,+64 9 820 4300,,24/7,McDonald's,Q38076
9400085,mcdonalds_qstore,HAMILTON EAST,,HAMILTON EAST,NEW ZEALAND,,NZ,+64 7 857 0035,,24/7,McDonald's,Q38076
9400086,mcdonalds_qstore,HORNBY,,HORNBY,NEW ZEALAND,,NZ,+64 3 349 2999,,Mo-Su 06:00-22:00,McDonald's,Q38076
9400088,mcdonalds_qstore,DUNEDIN NORTH,,DUNEDIN,NEW ZEALAND,,NZ,+64 3 477 7774,,,McDonald's,Q38076
9400089,mcdonalds_qstore,RICCARTON Foodcourt,,RICCARTON,NEW ZEALAND,,NZ,+64 3 343 1517,,Mo-Sa 09:00-17:00; Su 10:00-18:00,McDonald's,Q38076
9400091,mcdonalds_qstore,ASHBURTON,,ASHBURTON,NEW ZEALAND,,NZ,+64 3 307 6183,,,McDonald's,Q38076
9400093,mcdonalds_qstore,TE RAPA,,HAMILTON,NEW ZEALAND,,NZ,+64 7 849 9426,,24/7,McDonald's,Q38076
9400094,mcdonalds_qstore,WESTGATE,,WESTGATE,NEW ZEALAND,,NZ,+64 9 832 1600,,24/7,McDonald's,Q38076
9400102,mcdonalds_qstore,OAMARU,,OAMARU,NEW ZEALAND,,NZ,03-43331148,,Mo-Th 06:00-22:00; Fr-Sa 06:00-24:00; Su 06:00-22:00,McDonald's,Q38076
9400109,mcdonalds_qstore,SYDENHAM,,SYDENHAM,NEW ZEALAND,,NZ,+64 3 337 9217,,Mo-Su 06:00-23:00,McDonald's,Q38076
9400117,mcdonalds_qstore,HUNTLY,,HUNTLY,NEW ZEALAND,,NZ,+64 7 828 8211,,,McDonald's,Q38076
9400125,mcdonalds_qstore,ANDERSONS BAY,,DUNEDIN,NEW ZEALAND,,NZ,+64 3 455 5515,,,McDonald's,Q38076
9400133,mcdonalds_qstore,NEW PLYMOUTH Foodcourt,,NEW PLYMOUTH,NEW ZEALAND,,NZ,+64 6 759 4284,,Mo-Su 09:00-17:00,McDonald's,Q38076
9400139,mcdonalds_qstore,WELLSFORD,,WELLSFORD,NEW ZEALAND,,NZ,+64 9 423 9408,,Mo-Th 07:00-22:00; Fr 07:00-00:00; Sa 00:00-00:00; Su 00:00-22:00,McDonald's,Q38076
9400145,mcdonalds_qstore,HILLMORTON,,HILLMORTON,NEW ZEALAND,,NZ,+64 3 338 6360,,Mo-Su 05:00-00:00,McDonald's,Q38076
9400146,mcdonalds_qstore,GREY LYNN,,GREY LYNN,NEW ZEALAND,,NZ,+64 9 361 0020,,24/7,McDonald's,Q38076
9400147,mcdonalds_qstore,TOKOROA,,TOKOROA,NEW ZEALAND,,NZ,+64 7 886 6600,,Mo-Su 07:00-22:00,McDonald's,Q38076
9400156,mcdonalds_qstore,MANA,,MANA ESPLANADE,NEW ZEALAND,,NZ,+64 4 233 0909,,Mo-Th 06:00-23:00; Fr 06:00-00:00; Sa 00:00-00:00; Su 00:00-23:00,McDonald's,Q38076
9400157,mcdonalds_qstore,FEILDING,,FEILDING,NEW ZEALAND,,NZ,+64 6 323 3333,,Mo-Th 06:00-00:00; Fr-Sa 06:00-01:00; Su 06:00-00:00,McDonald's,Q38076
9400163,mcdonalds_qstore,TARADALE,,NAPIER,NEW ZEALAND,,NZ,+64 6 845 9292,,Mo-Th 06:00-24:00; Fr-Sa 00:00-00:00; Su 06:00-24:00,McDonald's,Q38076
9400166,mcdonalds_qstore,KAIKOHE,,KAIKOHE,NEW ZEALAND,,NZ,+64 9 405 3240,,Mo-Sa 06:00-23:00; Su 06:00-22:00,McDonald's,Q38076
9400168,mcdonalds_qstore,THE PALMS,,SHIRLEY,NEW ZEALAND,,NZ,+64 3 385 0383,,Mo-Su 08:30-18:30,McDonald's,Q38076
9400176,mcdonalds_qstore,KERIKERI,,KERIKERI,NEW ZEALAND,,NZ,+64 9 407 3460,,,McDonald's,Q38076
9400180,mcdonalds_qstore,SILVERSTREAM,,SILVERSTREAM,NEW ZEALAND,,NZ,+64 4 528 4071,,,McDonald's,Q38076
9400181,mcdonalds_qstore,PETONE,,PETONE,NEW ZEALAND,,NZ,+64 4 568 7797,,,McDonald's,Q38076
