Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
NZ477247,adidas,adidas Outlet Store Christchurch,,Christchurch,,,NZ,+64 3 349 5284,https://www.adidas.co.uk/storefront/NZ477247-christchurch-409-main-south-road-adidas-outlet-store-christchurch,,Adidas,Q3895
http://www.bridgestone.co.nz/stores/canterbury/bridgestone-tyre-centre-halswell-junction-road,bridgestone_select,Bridgestone Tyre Centre Halswell Junction Road,,Hornby South,,,NZ,+64 3 348 7054,https://www.bridgestone.co.nz/stores/canterbury/bridgestone-tyre-centre-halswell-junction-road/,Mo-Fr 08:00-17:00; Sa 09:00-24:00,Bridgestone Select Tyre & Auto,Q122420123
http://www.bridgestone.co.nz/stores/canterbury/bridgestone-tyre-centre-avon-city-ford,bridgestone_select,Bridgestone Tyre Centre Avon City Ford,,Sockburn,,,NZ,+64 3 341 3490,https://www.bridgestone.co.nz/stores/canterbury/bridgestone-tyre-centre-avon-city-ford/,Mo-Fr 08:00-17:00,Bridgestone Select Tyre & Auto,Q122420123
http://www.bridgestone.co.nz/stores/canterbury/bridgestone-select-hornby,bridgestone_select,Bridgestone Select Hornby,,Hornby,,,NZ,+64 3 349 5505,https://www.bridgestone.co.nz/stores/canterbury/bridgestone-select-hornby/,Mo-Fr 07:30-17:00,Bridgestone Select Tyre & Auto,Q122420123
51374,carpet_court_nz,Carpet Court Hornby Christchurch,Hornby Mega Centre,Christchurch,,,NZ,+64 3 349 2715,https://carpetcourt.nz/stores/carpet-court-christchurch-hornby/,,Carpet Court,Q117156437
Ford41871NZL,ford,AVON CITY FORD,,Christchurch Sth,,,NZ,+64 800 655 551,www.avoncityford.com/,Mo-Fr 08:00-17:30; Sa 09:00-17:00,Ford,Q44294
41870,just_group,Peter Alexander Hornby,"Shop T410, Hornby Dressmart, Hornby, Hornby, Christchurch, 8042, New Zealand","Hornby, Christchurch",,,NZ,+64 3 349 4107,https://justjeans.jgl.com.au/shop/stores/peteralexander-hornby,Mo-Su 10:00-17:00,Peter Alexander,Q118383240
42735,just_group,Just Jeans Hornby,"Sh 413 Dress Smart Dfo, 409 Main South Road, Hornby, 8042, New Zealand",Hornby,,,NZ,+64 3 349 9896,https://justjeans.jgl.com.au/shop/stores/justjeans-hornby,,Just Jeans,Q6316068
60529,man_truck_and_bus,Penske Christchurch,,Christchurch,,,NZ,+64 3 376 4305,,,MAN Truck & Bus,Q708667
8053,rebel_sport_nz,Rebel Sport Christchurch Hornby,,Christchurch,,,NZ,+64 3 349 0680,,Mo-Su 09:00-18:00,Rebel Sport,Q110190372
TC-817,retail_apparel_group,Tarocash Hornby,"Shop 305, Dress Smart, 409 Main South Road",Hornby,,,NZ,+64 3 595 1848,https://www.tarocash.com.au/nz/store/hornby,Mo-Su 10:00-17:00,Tarocash,Q7686519
JB-807,retail_apparel_group,Johnny Bigg Hornby,"Shop 1 Dress-Smart Outlet Centre, Hornby 409 Main S Rd","Hornby, Christchurch",,,NZ,+64 3 595 1847,https://www.johnnybigg.com.au/nz/store/hornby,Mo-Su 10:00-17:00,Johnny Bigg,Q113469024
bdb47d95-e609-4482-be5e-fc9f639143ef,scania,Scania NZ Ltd,,Christchurch,,,NZ,+64 3 669 6000,,Mo-Fr 06:00-17:00; Sa 07:30-12:00,Scania,Q219960
,visa,,,CHRISTCHURCH,,,NZ,,,,,
,visa,,,CHRISTCHURCH,,,NZ,,,,,
,visa,,,CHRISTCHURCH,,,NZ,,,,,
,visa,,,CHRISTCHURCH,,,NZ,,,,,
,visa,,,CHRISTCHURCH,,,NZ,,,,,
,visa,,,CHRISTCHURCH,,,NZ,,,,,
,visa,,,CHRISTCHURCH,,,NZ,,,,,
,visa,,,CHRISTCHURCH,,,NZ,,,,,
,visa,,,CHRISTCHURCH,,,NZ,,,,,
,visa,,,CHRISTCHURCH,,,NZ,,,,,
,visa,,,CHRISTCHURCH,,,NZ,,,,,
,visa,,,CHRISTCHURCH,,,NZ,,,,,
,visa,,,CHRISTCHURCH,,,NZ,,,,,
,visa,,,CHRISTCHURCH,,,NZ,,,,,
