Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
12636144,shell,SH LASERNA KALIBO AKLAN CITY,,KALIBO CITY,Aklan,,PH,+63 36 268 4572,https://find.shell.com/ph/fuel/12636144-sh-laserna-kalibo-aklan-city,,Shell,Q110716465
10022043,shell,SH QUEZON REYES KALIBO,,KALIBO,Aklan,,PH,+63 36 262 4077,https://find.shell.com/ph/fuel/10022043-sh-quezon-reyes-kalibo,,Shell,Q110716465
,visa,,,KALIBO,AKLAN,,PH,,,,,
,visa,,,KALIBO,AKLAN,,PH,,,,,
,visa,,,KALIBO,AKLAN,,PH,,,,,
0385f87cfaac28e1752aadd850247f57,western_union,CLH ANDAGAO KALIBO,,Kalibo,AKLAN,,PH,+63 2 7759 9800,https://location.westernunion.com/ph/aklan/kalibo/0385f87cfaac28e1752aadd850247f57,Mo-Sa 08:00-18:00,Western Union,Q861042
67f8df39a92463344f6324bfff478560,western_union,LBC EXPRESS INC,,Kalibo,AKLAN,,PH,(+63) 02-8585999,https://location.westernunion.com/ph/aklan/kalibo/67f8df39a92463344f6324bfff478560,Mo-Sa 08:00-18:00; Su 08:00-17:00,Western Union,Q861042
3b8b06a39d5f4d94aecb96c95c01bcd3,western_union,BDO AKLAN   CITYMALL KALIBO,,Kalibo,AKLAN,,PH,(+63) 02-6318000,https://location.westernunion.com/ph/aklan/kalibo/3b8b06a39d5f4d94aecb96c95c01bcd3,Mo-Sa 09:00-18:00,Western Union,Q861042
dac59adc5753ed93dbb9142dcad590c4,western_union,CHERRY KALIBO,,Kalibo,AKLAN,,PH,+63 2 8631 8000,https://location.westernunion.com/ph/aklan/kalibo/dac59adc5753ed93dbb9142dcad590c4,Mo-Su 08:00-20:00,Western Union,Q861042
6ae5722f2207acef469db1f90b380293,western_union,ALG JEWELRY AND PAWNSHOP,,Kalibo,AKLAN,,PH,(+63) 02-2508750,https://location.westernunion.com/ph/aklan/kalibo/6ae5722f2207acef469db1f90b380293,Mo-Su 08:00-18:00,Western Union,Q861042
ff22fcbcb45f9ddf48f4f6b48b57e64f,western_union,EBIZ KALIBO,,Kalibo,AKLAN,,PH,(+63) 02-0365007140,https://location.westernunion.com/ph/aklan/kalibo/ff22fcbcb45f9ddf48f4f6b48b57e64f,Mo-Su 08:00-17:00,Western Union,Q861042
00cca7006886521df04377f2e25300dd,western_union,USSC SERVICE STORE KALIBO ROXA,,Kalibo,AKLAN,,PH,(+63) 02-4492973,https://location.westernunion.com/ph/aklan/kalibo/00cca7006886521df04377f2e25300dd,Mo-Fr 08:00-18:00; Sa-Su 08:00-17:00,Western Union,Q861042
48327988b951189bb4eda62a71f1d25d,western_union,RD PAWNSHOP KALIBO 4,,Kalibo,AKLAN,,PH,+63 917 830 8709,https://location.westernunion.com/ph/aklan/kalibo/48327988b951189bb4eda62a71f1d25d,Mo-Sa 08:00-19:00; Su 09:00-17:00,Western Union,Q861042
68b9c2dd88494e236b5fcbb2f4ddd9db,western_union,CLH PASTRANA,,Kalibo,AKLAN,,PH,+63 2 7759 9800,https://location.westernunion.com/ph/aklan/kalibo/68b9c2dd88494e236b5fcbb2f4ddd9db,Mo-Su 08:00-19:00,Western Union,Q861042
af41c1278a5c8d43679359d34faabd75,western_union,PALAWAN PAWNSHOP KALIBO,,Kalibo,AKLAN,,PH,+63 36 434 8596,https://location.westernunion.com/ph/aklan/kalibo/af41c1278a5c8d43679359d34faabd75,Mo-Su 08:00-18:30,Western Union,Q861042
62078c4b704f275bb4adaaf2837a1be8,western_union,PALAWAN PAWNSHOP KALIBO SHOPPING,,Kalibo,AKLAN,,PH,(+63) 4348596,https://location.westernunion.com/ph/aklan/kalibo/62078c4b704f275bb4adaaf2837a1be8,Mo-Fr 08:00-18:00; Sa-Su 08:00-17:30,Western Union,Q861042
f14d33c39749905d1f0576a33afa490d,western_union,MLI OYOTORONG  KALIBO 2,,Kalibo,AKLAN,,PH,+63 32 345 6476,https://location.westernunion.com/ph/aklan/kalibo/f14d33c39749905d1f0576a33afa490d,Mo-Su 00:01-24:00,Western Union,Q861042
6aff20037ad4909d0fbbb920435fd896,western_union,USSC SERVICE STORE   KALIBO MABINI,,Kalibo,AKLAN,,PH,(+63) 02-4492973,https://location.westernunion.com/ph/aklan/kalibo/6aff20037ad4909d0fbbb920435fd896,Mo-We 08:30-19:30; Th-Su 08:30-20:00,Western Union,Q861042
4a88a2dff39cf9ee72e7b695d8b1ee6a,western_union,PALAWAN PAWNSHOP KALIBO 3,,Kalibo,AKLAN,,PH,(+63) 4348596,https://location.westernunion.com/ph/aklan/kalibo/4a88a2dff39cf9ee72e7b695d8b1ee6a,Mo-Fr 08:00-18:00; Sa-Su 08:00-17:30,Western Union,Q861042
0d999b39bc3d1ef015e7702e3af833a4,western_union,PALAWAN PAWNSHOP KALIBO II,,Kalibo,AKLAN,,PH,+63 36 434 8596,https://location.westernunion.com/ph/aklan/kalibo/0d999b39bc3d1ef015e7702e3af833a4,Mo-Fr 08:00-18:30; Sa-Su 08:00-17:30,Western Union,Q861042
4e1bbd4b195728397a0a1412bc112967,western_union,PALAWAN PAWNSHOP KALIBO OSMENA,,Kalibo Osmena,AKLAN,,PH,+63 36 434 8596,https://location.westernunion.com/ph/aklan/kalibo-osmena/4e1bbd4b195728397a0a1412bc112967,Mo-Fr 08:00-18:00; Sa-Su 08:00-17:30,Western Union,Q861042
188d058397eb0e4675b5f55b4f7259a6,western_union,FIRST IMPERIAL BUSINESS BANK  KALIBO,,Kalibo,AKLAN,,PH,(+63) 33-9398088656,https://location.westernunion.com/ph/aklan/kalibo/188d058397eb0e4675b5f55b4f7259a6,Mo-Fr 08:30-16:00,Western Union,Q861042
af7f6ae6b92d8623da978d533459474e,western_union,ALG JEWELRY AND PAWNSHOP,,Kalibo,AKLAN,,PH,(+63) 02-2508750,https://location.westernunion.com/ph/aklan/kalibo/af7f6ae6b92d8623da978d533459474e,Mo-Su 08:00-18:00,Western Union,Q861042
93bcf2e847161809c62865449e15b887,western_union,PRODUCERS BANK KALIBO,,Kalibo,AKLAN,,PH,+63 36 500 7835,https://location.westernunion.com/ph/aklan/kalibo/93bcf2e847161809c62865449e15b887,Mo-Sa 09:00-17:00,Western Union,Q861042
b4832eaa9b60a8018da40ee619ea2483,western_union,CLH NEW BUSWANG KALIBO,,Kalibo,AKLAN,,PH,+63 2 7759 9800,https://location.westernunion.com/ph/aklan/kalibo/b4832eaa9b60a8018da40ee619ea2483,Mo-Sa 08:00-18:00,Western Union,Q861042
3a7ee18a0b0a5fc61645f4325fa8b559,western_union,H VILLARICA PAWNSHOP INC AKLAN 1,,Kalibo,AKLAN,,PH,(+63) 02-5556012,https://location.westernunion.com/ph/aklan/kalibo/3a7ee18a0b0a5fc61645f4325fa8b559,Mo-Su 08:00-18:00,Western Union,Q861042
27ce608329737b64a2499e6a2f5a2410,western_union,ALG PAWNSHOP GAISANO,,Kalibo,AKLAN,,PH,(+63) 02-2508750,https://location.westernunion.com/ph/aklan/kalibo/27ce608329737b64a2499e6a2f5a2410,Mo-Sa 08:00-17:30; Su 08:00-16:00,Western Union,Q861042
8b83860df6875fb3f1cabc70799f2511,western_union,CLH TOTING REYES,,Kalibo,AKLAN,,PH,+63 2 7759 9800,https://location.westernunion.com/ph/aklan/kalibo/8b83860df6875fb3f1cabc70799f2511,Mo-Sa 08:00-19:00; Su 08:00-17:00,Western Union,Q861042
d382036ee7ff3a28d9ad9e4e61621991,western_union,MLI QUEZON AVENUE KALIBO 4,,Kalibo,AKLAN,,PH,+63 32 345 6476,https://location.westernunion.com/ph/aklan/kalibo/d382036ee7ff3a28d9ad9e4e61621991,Mo-Su 07:00-18:00,Western Union,Q861042
ca23df5e34145e318592b3695cb40253,western_union,CLH OSMENA AVE.,,Kalibo,AKLAN,,PH,(+0063) 77599800,https://location.westernunion.com/ph/aklan/kalibo/ca23df5e34145e318592b3695cb40253,Mo-Sa 08:00-19:00,Western Union,Q861042
6d3eb3f2e2c6626ac664b882685ceb41,western_union,PALAWAN PAWNSHOP KALIBO 5,,Kalibo,AKLAN,,PH,+63 36 434 8596,https://location.westernunion.com/ph/aklan/kalibo/6d3eb3f2e2c6626ac664b882685ceb41,Mo-Fr 08:00-18:00; Sa-Su 08:00-17:30,Western Union,Q861042
f9c4a894836c75ce161ebfcd58380722,western_union,LBC EXPRESS INC,,Kalibo,AKLAN,,PH,(+63) 02-8585999,https://location.westernunion.com/ph/aklan/kalibo/f9c4a894836c75ce161ebfcd58380722,Mo-Su 08:00-20:00,Western Union,Q861042
043c4d772ee36f7e520153cf11d00b5f,western_union,MLI NEW WASHINGTON,,Kalibo,AKLAN,,PH,+63 32 345 6476,https://location.westernunion.com/ph/aklan/kalibo/043c4d772ee36f7e520153cf11d00b5f,Mo-Su 07:00-18:00,Western Union,Q861042
c83b80bc5a8250eea255c6198809c81a,western_union,ALG JEWELRY AND PAWNSHOP,,Kalibo,AKLAN,,PH,(+63) 02-2508750,https://location.westernunion.com/ph/aklan/kalibo/c83b80bc5a8250eea255c6198809c81a,Mo-Su 08:00-18:00,Western Union,Q861042
aa05712be777951184c066a79cf2464f,western_union,ALG JEWELRY AND PAWNSHOP,,Kalibo,AKLAN,,PH,(+63) 02-2508750,https://location.westernunion.com/ph/aklan/kalibo/aa05712be777951184c066a79cf2464f,Mo-Su 08:00-18:00,Western Union,Q861042
e86f9d272e6c79134898de658fe0ca79,western_union,BDO AKLAN  KALIBO,,Kalibo,AKLAN,,PH,(+63) 02-6318000,https://location.westernunion.com/ph/aklan/kalibo/e86f9d272e6c79134898de658fe0ca79,Mo-Fr 08:30-17:30,Western Union,Q861042
