Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
12701655,shell,SH VALDEFUENTE CABANATUAN,,CABANATUAN CITY,Nueva Ecija,,PH,28788888,https://find.shell.com/ph/fuel/12701655-sh-valdefuente-cabanatuan,24/7,Shell,Q110716465
10021484,shell,SH MHARLIKA DEL PILAR CAB,,CABANATUAN CITY,Nueva Ecija,,PH,+63 44 806 2412,https://find.shell.com/ph/fuel/10021484-sh-mharlika-del-pilar-cab,24/7,Shell,Q110716465
12757576,shell,SH EMILIO VERGARA CABANATUAN,,CABANATUAN,Nueva Ecija,,PH,+63 2 8878 8888,https://find.shell.com/ph/fuel/12757576-sh-emilio-vergara-cabanatuan,24/7,Shell,Q110716465
10021512,shell,SH MAHRLIKA CABANATUAN NE,,CABANATUAN CITY,Nueva Ecija,,PH,+63 44 806 2413,https://find.shell.com/ph/fuel/10021512-sh-mahrlika-cabanatuan-ne,24/7,Shell,Q110716465
12681029,shell,SH SUMACAB CABANATUAN,,SUMACAB ESTE CABANTUAN CITY,Nueva Ecija,,PH,28788888,https://find.shell.com/ph/fuel/12681029-sh-sumacab-cabanatuan,24/7,Shell,Q110716465
,visa,,,CABANATUAN CITY,NUEVA ECIJA,,PH,,,,,
,visa,,,CABANATUAN,NUEVA ECIJA,,PH,,,,,
,visa,,,CABANATUAN,NUEVA ECIJA,,PH,,,,,
,visa,,,CABANATUAN,NUEVA ECIJA,,PH,,,,,
,visa,,,CABANATUAN CITY,NUEVA ECIJA,,PH,,,,,
113895b4bc27c49a409433d06961e619,western_union,PALAWAN PAWNSHOP ROBINSON MAHARLIKA HWY,,Cabanatuan,NUEVA ECIJA,,PH,+63 44 434 8596,https://location.westernunion.com/ph/nueva-ecija/cabanatuan/113895b4bc27c49a409433d06961e619,Mo-Su 08:00-17:30,Western Union,Q861042
aa44596ed530972623276c2bcf01c1cc,western_union,ROBINSONS SUPERMARKET CORP CABANATUAN,,Cabanatuan,NUEVA ECIJA,,PH,+63 44 246 5007,https://location.westernunion.com/ph/nueva-ecija/cabanatuan/aa44596ed530972623276c2bcf01c1cc,Mo-Su 10:00-21:00,Western Union,Q861042
cfa5df41393a678cdddaffba57d57305,western_union,MLI NE PACIFIC MALL,,Cabanatuan,NUEVA ECIJA,,PH,+63 32 345 6476,https://location.westernunion.com/ph/nueva-ecija/cabanatuan/cfa5df41393a678cdddaffba57d57305,Mo-Sa 10:00-20:00; Su 09:00-20:00,Western Union,Q861042
d6f0812ba232d3a6ec6cf734eb69c5b8,western_union,ROBINSONS BANK CABANATUAN BR,,Cabanatuan,NUEVA ECIJA,,PH,+63 44 600 2430,https://location.westernunion.com/ph/nueva-ecija/cabanatuan/d6f0812ba232d3a6ec6cf734eb69c5b8,Mo-Fr 10:00-16:00; Sa 10:00-15:00,Western Union,Q861042
4ad3f03b98af75d20356d7158006808a,western_union,HL VILLARICA PAWNSHOP INC CABANATUAN HWY,,Cabanatuan,NUEVA ECIJA,,PH,(+063) 966-7958436,https://location.westernunion.com/ph/nueva-ecija/cabanatuan/4ad3f03b98af75d20356d7158006808a,Mo-Sa 08:00-18:00; Su 08:00-17:00,Western Union,Q861042
95181075dbaca87386b4ece7e09c120f,western_union,LBC EXPRESS INC,,Cabanatuan,NUEVA ECIJA,,PH,(+63) 02-8585999,https://location.westernunion.com/ph/nueva-ecija/cabanatuan/95181075dbaca87386b4ece7e09c120f,Mo-Sa 10:00-20:00; Su 09:00-20:00,Western Union,Q861042
18ba2e0d69eb3d0ad46b2555d2fe09b7,western_union,CLH NE PACIFIC MALL,,Cabanatuan City,NUEVA ECIJA,,PH,+63 2 7759 9800,https://location.westernunion.com/ph/nueva-ecija/cabanatuan-city/18ba2e0d69eb3d0ad46b2555d2fe09b7,Mo-Th 08:00-20:00; Fr 20:00-20:00; Sa 08:00-20:00; Su 08:00-17:00,Western Union,Q861042
