Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
698e8c8a61b08a7a27ee8caf0d0a5b5d,western_union,PRODUCERS BANK MANAOAG,,Manaoag,PANGASINAN,,PH,+63 75 529 1088,https://location.westernunion.com/ph/pangasinan/manaoag/698e8c8a61b08a7a27ee8caf0d0a5b5d,Mo-Sa 09:00-17:00,Western Union,Q861042
e53fcc15525252aa1e979ff45582a415,western_union,LBC EXPRESS INC,,Manaoag,PANGASINAN,,PH,(+63) 02-8585999,https://location.westernunion.com/ph/pangasinan/manaoag/e53fcc15525252aa1e979ff45582a415,Mo-Fr 08:00-18:00; Sa-Su 08:00-17:00,Western Union,Q861042
0a5e5b7116e0e9e7256cd51c7bd192ab,western_union,BDO NETWORK BANK PANGASINAN-MANAOAG,,Manaoag,PANGASINAN,,PH,(+63) 75-822337700,https://location.westernunion.com/ph/pangasinan/manaoag/0a5e5b7116e0e9e7256cd51c7bd192ab,Mo-Fr 08:30-17:00,Western Union,Q861042
80dce7f817b324edb594f274a86f959e,western_union,PS CBE ESTRADA PAWNSHOP INC  MANAOAG,,Manaoag,PANGASINAN,,PH,+63 933 851 4022,https://location.westernunion.com/ph/pangasinan/manaoag/80dce7f817b324edb594f274a86f959e,Mo-Su 08:00-17:00,Western Union,Q861042
f99e2e7774ed4d8358229d9a21c3ed18,western_union,PALAWAN PAWNSHOP MANAOAG,,Manaoag,PANGASINAN,,PH,+63 75 434 8596,https://location.westernunion.com/ph/pangasinan/manaoag/f99e2e7774ed4d8358229d9a21c3ed18,Mo-Su 08:00-17:30,Western Union,Q861042
9134aad1a77211f60ba369a4683c57b6,western_union,CLH MANAOAG,,Manaoag,PANGASINAN,,PH,+63 2 7759 9800,https://location.westernunion.com/ph/pangasinan/manaoag/9134aad1a77211f60ba369a4683c57b6,Mo-Th 07:00-18:00; Fr 18:00-18:00; Sa 07:00-18:00; Su 08:00-17:00,Western Union,Q861042
615490ab2d79c0fc11d8931cc92f2f48,western_union,HRV VILLARICA PAWNSHOP INC MANAOAG 1,,Manaoag,PANGASINAN,,PH,(+63) 02-5556012,https://location.westernunion.com/ph/pangasinan/manaoag/615490ab2d79c0fc11d8931cc92f2f48,Mo-Fr 08:00-18:00; Sa 07:30-17:30; Su 08:00-17:00,Western Union,Q861042
d92fd5ba37700258f576f5918756ace1,western_union,CLH MANAOAG   MARKET SITE,,Manaoag,PANGASINAN,,PH,+63 2 7759 9800,https://location.westernunion.com/ph/pangasinan/manaoag/d92fd5ba37700258f576f5918756ace1,Mo-Th 07:00-18:00; Fr 18:00-18:00; Sa 07:00-18:00; Su 08:00-17:00,Western Union,Q861042
4d4b59de418c3854147dc50d820bcb73,western_union,MLI MANAOAG PANGASINAN,,Manaoag,PANGASINAN,,PH,+63 32 345 6476,https://location.westernunion.com/ph/pangasinan/manaoag/4d4b59de418c3854147dc50d820bcb73,Mo-Su 07:00-18:00,Western Union,Q861042
c1da309733e79503b3be4f90004a1d4f,western_union,PFSI PANGASINAN-MANAOAG-RIZAL,,Manaoag,PANGASINAN,,PH,+63 83 434 8596,https://location.westernunion.com/ph/pangasinan/manaoag/c1da309733e79503b3be4f90004a1d4f,Mo-Su 08:00-17:30,Western Union,Q861042
84616e344c8c439c1b0cfdf2d57aa13c,western_union,SWIFT MNEY MSTRS INC MANAOAG PANGASINAN,,Manaoag,PANGASINAN,,PH,+63 917 865 5602,https://location.westernunion.com/ph/pangasinan/manaoag/84616e344c8c439c1b0cfdf2d57aa13c,Mo-Su 08:00-18:00,Western Union,Q861042
afde804acaebcc3fdf84c0a5871f865f,western_union,USSC SERVICE STORE MANAOAG,,Manaoag,PANGASINAN,,PH,(+63) 02-4492973,https://location.westernunion.com/ph/pangasinan/manaoag/afde804acaebcc3fdf84c0a5871f865f,Mo-Su 08:00-18:00,Western Union,Q861042
037bfe07b597656474105af7ce3f7b27,western_union,H VILLARICA PAWNSHOP INC MANAOAG 2,,Manaoag,PANGASINAN,,PH,(+63) 02-5556012,https://location.westernunion.com/ph/pangasinan/manaoag/037bfe07b597656474105af7ce3f7b27,Mo-Su 08:00-18:00,Western Union,Q861042
