Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
PH0613,hm,H&M SM Dasmariñas,,Cavite,,,PH,+63 46 435 2622,,Mo-Su 10:00-21:00,H&M,Q188326
22060,little_free_library,"ARJUN ANSAY #22060 Dasmarinas City, Cavite",,"Dasmarinas City, Cavite",,,PH,,,,Little Free Library,Q6650101
68309390,moneygram,METROBANK - DASMARINAS-CAVITE,,DASMARINAS,,,PH,28700700,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68311825,moneygram,METROBANK - DASMARINAS-SALAWAG,,DASMARINAS,,,PH,28700700,,Mo-Fr 09:00-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72138696,moneygram,ONB - #4505 - ONB CAVITE-DASMARINAS CITY,,DASMARINAS CITY,,,PH,7026350,,Mo-Sa 08:30-17:30; Su 00:00-24:00,MoneyGram,Q1944412
72255799,moneygram,RD PAWNSHOP INC. - #1764 - DASMARINAS -,,DASMARINAS,,,PH,+63 917 847 8712,,Mo-Sa 08:00-18:00; Su 09:00-17:00,MoneyGram,Q1944412
72255809,moneygram,RD PAWNSHOP INC. - #1765 - DASMARINAS -,,DASMARINAS,,,PH,+63 917 832 2381,,Mo-Sa 08:00-18:00; Su 09:00-17:00,MoneyGram,Q1944412
72288737,moneygram,RD PAWNSHOP INC. - #1939 - CAVITE DASMA,,DASMARINAS,,,PH,+63 997 653 1190,,Mo-Sa 08:00-18:00; Su 09:00-17:00,MoneyGram,Q1944412
68564591,moneygram,BDO - #863 - SM CITY DASMARINAS B,,DASMARINAS,,,PH,27026000,,Mo-Sa 09:30-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72573646,moneygram,USSC - #30211 - CAVITE - DASMARINAS AYAL,,DASMARINAS,,,PH,+63 46 506 6497,,Mo-Su 09:30-21:00,MoneyGram,Q1944412
72573659,moneygram,USSC - #30212 - CAVITE - DASMARINAS CENT,,DASMARINAS,,,PH,+63 46 424 0649,,Mo-Su 09:30-21:30,MoneyGram,Q1944412
72573662,moneygram,USSC - #30213 - CAVITE - DASMARINAS CONG,,DASMARINAS,,,PH,+63 46 484 0908,,Mo-Su 07:45-19:00,MoneyGram,Q1944412
72573675,moneygram,USSC - #30214 - CAVITE - DASMARINAS DON,,DASMARINAS,,,PH,+63 46 416 6090,,Mo-Su 07:30-20:00,MoneyGram,Q1944412
72573688,moneygram,USSC - #30215 - CAVITE - DASMARINAS PALI,,DASMARINAS,,,PH,+63 46 541 0385,,Mo-Su 07:30-19:00,MoneyGram,Q1944412
72573633,moneygram,USSC - #30210 - CAVITE - DASMARINAS PURE,,DASMARINAS,,,PH,+63 46 506 9940,,Mo-Su 07:30-20:00,MoneyGram,Q1944412
72573691,moneygram,USSC - #30216 - CAVITE - DASMARINAS ROBI,,DASMARINAS,,,PH,+63 46 416 2452,,Mo-Su 09:30-21:00,MoneyGram,Q1944412
72573701,moneygram,USSC - #30217 - CAVITE - DASMARINAS SALA,,DASMARINAS,,,PH,+63 46 489 5991,,Mo-Su 07:30-19:00,MoneyGram,Q1944412
72573714,moneygram,USSC - #30218 - CAVITE - DASMARINAS SN A,,DASMARINAS,,,PH,+63 46 506 3004,,Mo-Su 07:30-19:00,MoneyGram,Q1944412
72863851,moneygram,RYANNE FRANZ PAWNSHOP PALIPARAN - #78045,,DASMARINAS,,,PH,0469392364644,,Mo-Su 08:00-19:00,MoneyGram,Q1944412
72863864,moneygram,RYANNE FRANZ PAWNSHOP SALITRAN - #78026,,DASMARINAS,,,PH,0469652370214,,Mo-Su 08:00-19:00,MoneyGram,Q1944412
73522751,moneygram,RD PAWNSHOP INC - DASMARINAS,,DASMARINAS,,,PH,+63 916 586 2366,,Mo-Sa 08:00-18:00; Su 09:00-17:00,MoneyGram,Q1944412
73523365,moneygram,RD PAWNSHOP INC - DASMARINAS 5,,DASMARINAS,,,PH,+63 915 308 4806,,Mo-Sa 08:00-18:00; Su 09:00-17:00,MoneyGram,Q1944412
73660778,moneygram,RD PAWNSHOP INC - CAVITE LUZVIMINDA,,CAVITE,,,PH,+63 905 563 4907,,Mo-Sa 08:00-18:00; Su 09:00-17:00,MoneyGram,Q1944412
73660451,moneygram,RD PAWNSHOP INC - CAVITE SAN DIONISIO,,DASMARINAS,,,PH,+63 906 338 2183,,Mo-Sa 08:00-18:00; Su 09:00-17:00,MoneyGram,Q1944412
69471269,moneygram,BDO - #1041 - CAVITE - DASMARINAS SALAWA,,DASMARI?AS,,,PH,2702600,,Mo-Sa 08:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73858933,moneygram,RD PAWNSHOP INC - LANGKAAN,,DASMARINAS,,,PH,+63 915 109 5059,,Mo-Sa 08:00-17:30; Su 09:00-17:00,MoneyGram,Q1944412
73872508,moneygram,HRV VILLARICA PAWNSHOP - #PSH089 - HRV V,,DASMARINAS,,,PH,87026350,,Mo-Sa 07:00-19:00; Su 08:00-17:00,MoneyGram,Q1944412
73872003,moneygram,HRV VILLARICA PAWNSHOP - #PSH146 - HRV V,,DASMARINAS,,,PH,87026350,,Mo-Sa 07:00-19:00; Su 08:00-17:00,MoneyGram,Q1944412
73902711,moneygram,H VILLARICA PAWNSHOP - #PSF107 - H VILLA,,DASMARINAS,,,PH,87026350,,Mo-Fr 07:30-18:00; Sa 07:30-17:00; Su 00:00-24:00,MoneyGram,Q1944412
73900700,moneygram,VILLARICA PAWNSHOP - #PSE043 - VILLARICA,,DASMARINAS,,,PH,87026350,,Mo-Sa 07:00-19:00; Su 08:00-17:00,MoneyGram,Q1944412
66793021,moneygram,BANK OF COMMERCE,,DASMARINAS CITY,,,PH,+63 46 416 5997,,Mo-Fr 09:00-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72785751,moneygram,TAMBUNTING SINCE 1906 - B PALIPARAN,,DASMARINAS,,,PH,85516032,,Mo-Su 07:30-22:00,MoneyGram,Q1944412
72785764,moneygram,TAMBUNTING SINCE 1906 - B PLACIDO,,DASMARINAS,,,PH,85516032,,Mo-Su 07:30-22:00,MoneyGram,Q1944412
73958202,moneygram,PALAWAN PAWNSHOP - #GGQ - DASMARINAS - P,,DASMARINAS,,,PH,+63 48 433 4110,,Mo-Su 08:00-17:30,MoneyGram,Q1944412
73958228,moneygram,PALAWAN PAWNSHOP - #GII - DASMARINAS - P,,DASMARINAS,,,PH,+63 48 433 4110,,Mo-Su 08:00-17:30,MoneyGram,Q1944412
71707905,moneygram,CEBUANA LHUILLIER - #61609 - DASMARINAS,,DASMARINAS,,,PH,27799802,,Mo-Su 10:00-21:00,MoneyGram,Q1944412
68468613,moneygram,CEBUANA LHUILLIER - #90174 - CLSC The Di,,DASMARINAS,,,PH,27283826,,Mo-Su 10:00-21:00,MoneyGram,Q1944412
70171697,moneygram,CEBUANA LHUILLIER - CLH AGUINALDO SALITR,,DASMARINAS,,,PH,27799800,,Mo-Su 08:00-17:00,MoneyGram,Q1944412
70166165,moneygram,CEBUANA LHUILLIER - CLH DASMA 4,,DASMARINAS,,,PH,27799800,,Mo-Su 08:00-17:00,MoneyGram,Q1944412
70171419,moneygram,CEBUANA LHUILLIER - CLH DASMA 5,,DASMARINAS,,,PH,27799800,,Mo-Su 08:30-17:30,MoneyGram,Q1944412
70164413,moneygram,CEBUANA LHUILLIER - CLH DASMARINAS 1,,DASMARINAS,,,PH,27799800,,24/7,MoneyGram,Q1944412
70156515,moneygram,CEBUANA LHUILLIER - CLH DASMARINAS 2,,DASMARINAS,,,PH,27799800,,Mo-Su 08:30-17:30,MoneyGram,Q1944412
70164426,moneygram,CEBUANA LHUILLIER - CLH DBB-E,,DASMARINAS,,,PH,27799800,,Mo-Su 07:30-19:30,MoneyGram,Q1944412
70164510,moneygram,CEBUANA LHUILLIER - CLH DBBC,,DASMARINAS,,,PH,27799800,,Mo-Su 08:00-19:30,MoneyGram,Q1944412
70164439,moneygram,CEBUANA LHUILLIER - CLH DELA SALLE,,DASMARINAS,,,PH,27799800,,Mo-Su 08:00-17:00,MoneyGram,Q1944412
70157491,moneygram,CEBUANA LHUILLIER - CLH KADIWA,,DASMARINAS,,,PH,27799800,,Mo-Su 08:00-17:00,MoneyGram,Q1944412
70171228,moneygram,CEBUANA LHUILLIER - CLH LANGKAAN,,DASMARINAS,,,PH,27799800,,Mo-Su 08:00-17:00,MoneyGram,Q1944412
70171066,moneygram,CEBUANA LHUILLIER - CLH PALA - PALA 2,,DASMARINAS,,,PH,27799800,,Mo-Su 08:00-17:00,MoneyGram,Q1944412
70156531,moneygram,CEBUANA LHUILLIER - CLH PALIPARAN,,DASMARINAS,,,PH,27799800,,Mo-Su 08:00-20:00,MoneyGram,Q1944412
70171794,moneygram,CEBUANA LHUILLIER - CLH PERA PADALA - FC,,DASMARINAS,,,PH,27799800,,Mo-Su 07:30-18:30,MoneyGram,Q1944412
70157336,moneygram,CEBUANA LHUILLIER - CLH SALAWAG 1,,DASMARINAS,,,PH,27799800,,Mo-Su 07:30-19:00,MoneyGram,Q1944412
70159774,moneygram,CEBUANA LHUILLIER - CLH SALAWAG 2,,DASMARINAS,,,PH,27799800,,Mo-Su 08:00-19:00,MoneyGram,Q1944412
70164471,moneygram,CEBUANA LHUILLIER - CLH SALITRAN,,DASMARINAS,,,PH,27799800,,Mo-Su 08:30-17:30,MoneyGram,Q1944412
