Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
10041021,shell,FIVE STAR FILLING STATION FBD,,FAISALABAD,Punjab,,PK,+92 41 8864770,https://find.shell.com/pk/fuel/10041021-five-star-filling-station-fbd,24/7,Shell,Q110716465
10041001,shell,MILLAT PETROLEUM SERVICE,,FAISALABAD,Punjab,,PK,+92 41 8766340,https://find.shell.com/pk/fuel/10041001-millat-petroleum-service,,Shell,Q110716465
10040910,shell,HP - CRESCENT PETROLEUM SERVICE FSD,,FAISALABAD,Punjab,,PK,+92 41 8786565,https://find.shell.com/pk/fuel/10040910-hp-crescent-petroleum-service-fsd,24/7,Shell,Q110716465
10048276,shell,CITY PETROLEUM COMPANY,,FAISALABAD,Punjab,,PK,+92 41 2634414,https://find.shell.com/pk/fuel/10048276-city-petroleum-company,,Shell,Q110716465
10050896,shell,GULBERG FILLING STATION,,FAISALABAD,Punjab,,PK,+92 41 2632823,https://find.shell.com/pk/fuel/10050896-gulberg-filling-station,,Shell,Q110716465
13055703,shell,ROYALTON FILLING STATION,,FAISALABAD,Punjab,,PK,+92 300 8659886,https://find.shell.com/pk/fuel/13055703-royalton-filling-station,24/7,Shell,Q110716465
10041092,shell,HP - SPL GHANTA GHAR FILLING STATIO,,FAISALABAD,Punjab,,PK,+92 41 2654496,https://find.shell.com/pk/fuel/10041092-hp-spl-ghanta-ghar-filling-statio,24/7,Shell,Q110716465
10041040,shell,HP - SPL LYALLPUR FILLING STATION,,FAISALABAD,Punjab,,PK,+92 41 2616500,https://find.shell.com/pk/fuel/10041040-hp-spl-lyallpur-filling-station,24/7,Shell,Q110716465
10040960,shell,HP - BLUE SKY PETROLEUM SERVICE,,FAISALABAD,Punjab,,PK,+92 41 8554171,https://find.shell.com/pk/fuel/10040960-hp-blue-sky-petroleum-service,24/7,Shell,Q110716465
10040916,shell,HP - MODERN PETROLEUM,,FAISALABAD,Punjab,,PK,+92 41 2640534,https://find.shell.com/pk/fuel/10040916-hp-modern-petroleum,24/7,Shell,Q110716465
10040959,shell,HP - SHELL KOH E NOOR,,FAISALABAD,Punjab,,PK,+92 41 4855553,https://find.shell.com/pk/fuel/10040959-hp-shell-koh-e-noor,24/7,Shell,Q110716465
12789488,shell,SPL SAMUNDARI ROAD FILLING STATION,,FAISALABAD,Punjab,,PK,+92 300 5179486,https://find.shell.com/pk/fuel/12789488-spl-samundari-road-filling-station,24/7,Shell,Q110716465
10040931,shell,HP - SPL D GROUND FILLING STATION,,FAISALABAD,Punjab,,PK,+92 300 5179486,https://find.shell.com/pk/fuel/10040931-hp-spl-d-ground-filling-station,24/7,Shell,Q110716465
12532515,shell,HP- HC - MANTHAR PETROLEUM SERVICE,,FAISALABAD,Punjab,,PK,+92 41 8777799,https://find.shell.com/pk/fuel/12532515-hp-hc-manthar-petroleum-service,,Shell,Q110716465
10040933,shell,PAINSARA FILLING STATION,,FAISALABAD,Punjab,,PK,+92 41 2557042,https://find.shell.com/pk/fuel/10040933-painsara-filling-station,24/7,Shell,Q110716465
12382761,shell,HP - KHURRIANWALA FUEL STATION,,FAISALABAD,Punjab,,PK,+92 300 7906266,https://find.shell.com/pk/fuel/12382761-hp-khurrianwala-fuel-station,,Shell,Q110716465
10040958,shell,AL MEHMOOD FILLING STATION,,JARANWALA,Punjab,,PK,+92 41 4313287,https://find.shell.com/pk/fuel/10040958-al-mehmood-filling-station,24/7,Shell,Q110716465
