Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72069600,moneygram,PAKISTAN CURRENCY EXCHANGE CO PRIVATE LI,,LAHORE,,,PK,+92 42 35131606,,Mo-Sa 08:00-23:00; Su 08:00-24:00,MoneyGram,Q1944412
72069794,moneygram,PAKISTAN CURRENCY EXCHANGE CO PRIVATE LI,,LAHORE,,,PK,+92 42 35221552,,Mo-Su 08:00-23:00,MoneyGram,Q1944412
73621034,moneygram,BANK AL HABIB LIMITED - #364 - LAHORE -,,LAHORE,,,PK,+92 42 35916667,,Mo-Fr 08:00-18:00; Sa 08:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
65749704,moneygram,MCB BANK LIMITED - #0177,,LAHORE,,,PK,0427635439,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65749717,moneygram,MCB BANK LIMITED - #0180,,LAHORE,,,PK,0427724223,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65749720,moneygram,MCB BANK LIMITED - #0184,,LAHORE,,,PK,0426364697,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65749733,moneygram,MCB BANK LIMITED - #0185,,LAHORE,,,PK,0426368089,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65755442,moneygram,MCB BANK LIMITED - #0186,,LAHORE,,,PK,0427243890,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65762778,moneygram,MCB BANK LIMITED - #0187,,LAHORE,,,PK,0427727456,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65755497,moneygram,MCB BANK LIMITED - #0199,,PATTOKI,,,PK,+92 49 4420836,,Mo-Th 08:00-13:45; Fr 08:00-12:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
