Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,BOLESLAWIEC,DOLNOSLASKIE,,PL,,,,,
,visa,,,BOLESLAWIEC,DOLNOSLASKIE,,PL,,,,,
,visa,,,BOLESLAWIEC,DOLNOSLASKIE,,PL,,,,,
,visa,,,BOLESLAWIEC,DOLNOSLASKIE,,PL,,,,,
,visa,,,BOLESLAWIEC,DOLNOSLASKIE,,PL,,,,,
,visa,,,BOLESLAWIEC,DOLNOSLASKIE,,PL,,,,,
,visa,,,BOLESLAWIEC,DOLNOSLASKIE,,PL,,,,,
,visa,,,BOLESLAWIEC,DOLNOSLASKIE,,PL,,,,,
,visa,,,BOLESLAWIEC,DOLNOSLASKIE,,PL,,,,,
,visa,,,BOLESLAWIEC,DOLNOSLASKIE,,PL,,,,,
,visa,,,BOLESLAWIEC,DOLNOSLASKIE,,PL,,,,,
,visa,,,LIPIANY,DOLNOSLASKIE,,PL,,,,,
a5d862390b26197beec9b797eb5bea2b,western_union,STEFCZYK FINANSE,,Boleslawiec,DOLNOSLASKIE,,PL,+48 75 644 74 10,https://location.westernunion.com/pl/dolnoslaskie/boleslawiec/a5d862390b26197beec9b797eb5bea2b,Mo-Fr 09:00-16:00,Western Union,Q861042
