Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,BUKOWINA TATRZANSKA,MALOPOLSKIE,,PL,,,,,
,visa,,,BUKOWINA TATRZANSKA,MALOPOLSKIE,,PL,,,,,
,visa,,,BUKOWINA TATRZANSKA,MALOPOLSKIE,,PL,,,,,
,visa,,,BUKOWINA TATRZANSKA,MALOPOLSKIE,,PL,,,,,
,visa,,,BUKOWINA TATRZANSKA,MALOPOLSKIE,,PL,,,,,
,visa,,,BUKOWINA TATRZANSKA,MALOPOLSKIE,,PL,,,,,
,visa,,,BUKOWINA TATRZANSKA,MALOPOLSKIE,,PL,,,,,
,visa,,,BUKOWINA TATRZANSKA,MALOPOLSKIE,,PL,,,,,
6fddd5466b118dd78e87f61cb263a3eb,western_union,KANTOR UBEZPIECZENIA,,Bialka Tatrzanska,MALOPOLSKIE,,PL,+48 880 320 400,https://location.westernunion.com/pl/malopolskie/bialka-tatrzanska/6fddd5466b118dd78e87f61cb263a3eb,Mo-Sa 08:00-16:00,Western Union,Q861042
9d0c189db79eaf43193d8fd950af456c,western_union,BANK SPOLDZIELCZY ZIEM GORSKICH KARPATIA,,Bialka Tatrzanska,MALOPOLSKIE,,PL,+48 801 120 224,https://location.westernunion.com/pl/malopolskie/bialka-tatrzanska/9d0c189db79eaf43193d8fd950af456c,Mo-Fr 08:00-15:30,Western Union,Q861042
a1a3521d4e3aba1f0edac3bcf9964663,western_union,BANK SPOLDZIELCZY ZIEM GORSKIC,,Bialka Tatrzanska,MALOPOLSKIE,,PL,(+48) 801-20224,https://location.westernunion.com/pl/malopolskie/bialka-tatrzanska/a1a3521d4e3aba1f0edac3bcf9964663,Mo-Fr 08:00-15:30,Western Union,Q861042
