Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
PL001165,aldi_nord_pl,ALDI,,Jelenia Góra,Dolnośląskie,,PL,+48 800 118 118,,Mo-Sa 07:00-22:00,ALDI,Q41171373
JGO01APP,paczkomat_inpost_pl,Przy outlecie i lombardzie.,,Jelenia Góra,dolnośląskie,,PL,,https://inpost.pl/paczkomat-jelenia-gora-jgo01app-wolnosci-paczkomaty-dolnoslaskie,24/7,Paczkomat,Q110970254
JGO04ML,paczkomat_inpost_pl,Przy sklepie Żabka,,Jelenia Góra,dolnośląskie,,PL,,https://inpost.pl/paczkomat-jelenia-gora-jgo04ml-wolnosci-paczkomaty-dolnoslaskie,24/7,Paczkomat,Q110970254
JGO07M,paczkomat_inpost_pl,Przy składzie węgla,,Jelenia Góra,dolnośląskie,,PL,,https://inpost.pl/paczkomat-jelenia-gora-jgo07m-lubanska-paczkomaty-dolnoslaskie,24/7,Paczkomat,Q110970254
JGO11M,paczkomat_inpost_pl,Przy sklepie Lidl,,Jelenia Góra,dolnośląskie,,PL,,https://inpost.pl/paczkomat-jelenia-gora-jgo11m-cieplicka-paczkomaty-dolnoslaskie,24/7,Paczkomat,Q110970254
JGO18M,paczkomat_inpost_pl,Za stacją Orlen po prawej stronie przy parkingu,,Jelenia Góra,dolnośląskie,,PL,,https://inpost.pl/paczkomat-jelenia-gora-jgo18m-wolnosci-paczkomaty-dolnoslaskie,24/7,Paczkomat,Q110970254
JGO20M,paczkomat_inpost_pl,"Po prawej stronie od wejścia, przy parkingu.",,Jelenia Góra,dolnośląskie,,PL,,https://inpost.pl/paczkomat-jelenia-gora-jgo20m-cieplicka-paczkomaty-dolnoslaskie,24/7,Paczkomat,Q110970254
JGO24M,paczkomat_inpost_pl,Po lewej stronie od sklepu.,,Jelenia Góra,dolnośląskie,,PL,,https://inpost.pl/paczkomat-jelenia-gora-jgo24m-wojewodzka-paczkomaty-dolnoslaskie,24/7,Paczkomat,Q110970254
JGO27M,paczkomat_inpost_pl,"Przed sklepem, obok parkingu.",,Jelenia Góra,dolnośląskie,,PL,,https://inpost.pl/paczkomat-jelenia-gora-jgo27m-dolnoslaska-paczkomaty-dolnoslaskie,24/7,Paczkomat,Q110970254
JGO32M,paczkomat_inpost_pl,Niedaleko sklepu Społem.,,Jelenia Góra,dolnośląskie,,PL,,https://inpost.pl/paczkomat-jelenia-gora-jgo32m-xx-lecia-paczkomaty-dolnoslaskie,24/7,Paczkomat,Q110970254
JGO33M,paczkomat_inpost_pl,Przy sklepie spożywczym na osiedlu.,,Jelenia Góra,dolnośląskie,,PL,,https://inpost.pl/paczkomat-jelenia-gora-jgo33m-bohaterow-wrzesnia-1939-paczkomaty-dolnoslaskie,24/7,Paczkomat,Q110970254
WJZ01M,paczkomat_inpost_pl,Po prawej stronie od wejścia.,,Wojcieszyce,dolnośląskie,,PL,,https://inpost.pl/paczkomat-wojcieszyce-wjz01m-wojcieszyce-paczkomaty-dolnoslaskie,24/7,Paczkomat,Q110970254
243623,poczta_polska_pl,UP Jelenia Góra 9,,Jelenia Góra,DOLNOŚLĄSKIE,,PL,+48 885 900 706;+48 75 755 16 60;+48 885 951 702,,,Poczta Polska,Q168833
,visa,,,JELENIA GORA,DOLNOŚLĄSKIE,,PL,,,,,
