Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
12364,abc_pl,abc,,Wronowy,kujawsko-pomorskie,,PL,,,,abc,Q11683985
14291,abc_pl,abc,,Ostrowo,kujawsko-pomorskie,,PL,,,,abc,Q11683985
124,dr_max,"Apteka Dr.Max, Raj 2, Strzelno",,Strzelno,Kujawsko-Pomorskie,,PL,+48 52 318 10 40,https://www.drmax.pl/apteki/strzelno-raj-2,,Dr. Max,Q56317371
3454,orlen,4485 ORLEN - Żegotki,,Busewo,Kujawsko-Pomorskie,,PL,+48 24 256 17 56,,24/7,Orlen,Q971649
MQI01M,paczkomat_inpost_pl,Posesja prywatna,,Markowice,kujawsko-pomorskie,,PL,,https://inpost.pl/paczkomat-markowice-mqi01m-markowice-paczkomaty-kujawsko-pomorskie,24/7,Paczkomat,Q110970254
STL01HP,paczkomat_inpost_pl,w sklepie Duży Ben,,Strzelno,kujawsko-pomorskie,,PL,,https://inpost.pl/paczkomat-strzelno-stl01hp-raj-paczkomaty-kujawsko-pomorskie,Mo-Sa 09:00-21:00,Paczkomat,Q110970254
STL01M,paczkomat_inpost_pl,Na parkingu Twój Market,,Strzelno,kujawsko-pomorskie,,PL,,https://inpost.pl/paczkomat-strzelno-stl01m-kosciuszki-paczkomaty-kujawsko-pomorskie,24/7,Paczkomat,Q110970254
STL01N,paczkomat_inpost_pl,Przy markecie Twój Market,,Strzelno,kujawsko-pomorskie,,PL,,https://inpost.pl/paczkomat-strzelno-stl01n-powstania-wielkopolskiego-paczkomaty-kujawsko-pomorskie,24/7,Paczkomat,Q110970254
STL02M,paczkomat_inpost_pl,Przy Minimarkecie,,Strzelno,kujawsko-pomorskie,,PL,,https://inpost.pl/paczkomat-strzelno-stl02m-kasprowicza-paczkomaty-kujawsko-pomorskie,24/7,Paczkomat,Q110970254
STL03M,paczkomat_inpost_pl,przy Chińskim Markecie,,Strzelno,kujawsko-pomorskie,,PL,,https://inpost.pl/paczkomat-strzelno-stl03m-michelsona-paczkomaty-kujawsko-pomorskie,24/7,Paczkomat,Q110970254
267481,poczta_polska_pl,UP Strzelno,,Strzelno,KUJAWSKO-POMORSKIE,,PL,+48 52 318 94 95;+48 52 318 94 97,,,Poczta Polska,Q168833
951a892b72f8dd3b4177e82b42762054,western_union,BS STRZELNO O STRZELNO,,Strzelno,KUJAWSKO POMORSKIE,,PL,+48 801 402 404,https://location.westernunion.com/pl/kujawsko-pomorskie/strzelno/951a892b72f8dd3b4177e82b42762054,Mo-Fr 07:15-17:00,Western Union,Q861042
