Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://www.credit-agricole.pl/kontakt/oddzial/21075-parczew-koscielna,credit_agricole_pl,"Credit Agricole Kościelna 1/1, Parczew",,Parczew,lubelskie,,PL,19 019,https://www.credit-agricole.pl/kontakt/oddzial/21075-parczew-koscielna,Mo-Tu 08:30-16:00; We 09:30-17:00; Th-Fr 08:30-16:00,Credit Agricole,Q590952
877,dr_max,"Apteka Dr.Max, Warszawska 14, Parczew",,Parczew,Lubelskie,,PL,+48 83 355 18 42,https://www.drmax.pl/apteki/parczew-warszawska-14,,Dr. Max,Q56317371
14371,groszek_pl,Groszek,,Parczew,lubelskie,,PL,,,,Groszek,Q9280965
14230,groszek_pl,Groszek,,Przewłoka,lubelskie,,PL,,,,Groszek,Q9280965
PAC01A,paczkomat_inpost_pl,Przy Galerii Fabel,,Parczew,lubelskie,,PL,,https://inpost.pl/paczkomat-parczew-pac01a-al-zwyciestwa-paczkomaty-lubelskie,24/7,Paczkomat,Q110970254
PAC01M,paczkomat_inpost_pl,Parking z boku sklepu,,Parczew,lubelskie,,PL,,https://inpost.pl/paczkomat-parczew-pac01m-wyszynskiego-paczkomaty-lubelskie,24/7,Paczkomat,Q110970254
PAC02M,paczkomat_inpost_pl,Przy wjeździe do Parku Handlowego obok PSB  Mrówka,,Parczew,lubelskie,,PL,,https://inpost.pl/paczkomat-parczew-pac02m-jana-pawla-ii-paczkomaty-lubelskie,24/7,Paczkomat,Q110970254
PAC03M,paczkomat_inpost_pl,Przy parkingu,,Parczew,lubelskie,,PL,,https://inpost.pl/paczkomat-parczew-pac03m-harcerska-paczkomaty-lubelskie,24/7,Paczkomat,Q110970254
PAC04M,paczkomat_inpost_pl,Parking przed sklepem,,Parczew,lubelskie,,PL,,https://inpost.pl/paczkomat-parczew-pac04m-kolejowa-paczkomaty-lubelskie,24/7,Paczkomat,Q110970254
PAC05M,paczkomat_inpost_pl,Myjnia AB24,,Parczew,lubelskie,,PL,,https://inpost.pl/paczkomat-parczew-pac05m-wlodawska-paczkomaty-lubelskie,24/7,Paczkomat,Q110970254
PAC06M,paczkomat_inpost_pl,Parking przed sklepem,,Parczew,lubelskie,,PL,,https://inpost.pl/paczkomat-parczew-pac06m-1-maja-paczkomaty-lubelskie,24/7,Paczkomat,Q110970254
POP-PAC5,paczkomat_inpost_pl,EPAKA,,Parczew,lubelskie,,PL,,https://inpost.pl/paczkomat-parczew-pop-pac5-1-maja-paczkomaty-lubelskie,Mo-Fr 08:00-18:00,Paczkomat,Q110970254
POP-PAC7,paczkomat_inpost_pl,GAZPAR,,Parczew,lubelskie,,PL,,https://inpost.pl/paczkomat-parczew-pop-pac7-polna-paczkomaty-lubelskie,Mo-Fr 08:00-20:00; Sa 08:00-19:00,Paczkomat,Q110970254
WQK01M,paczkomat_inpost_pl,z boku sklepu,,Przewłoka,lubelskie,,PL,,https://inpost.pl/paczkomat-przewloka-wqk01m-przewloka-paczkomaty-lubelskie,24/7,Paczkomat,Q110970254
430,play_pl,Salon Play,Pl. Wolności 33,Parczew,lubelskie,,PL,+48 533 677 553,,Mo-Fr 09:00-17:00; Sa 09:00-14:00,Play,Q7202998
293797,poczta_polska_pl,AP Parczew,,Parczew,LUBELSKIE,,PL,+48 607 767 156,,,Poczta Polska,Q168833
258668,poczta_polska_pl,UP Parczew,,Parczew,LUBELSKIE,,PL,+48 83 354 24 59;+48 83 354 20 82,,,Poczta Polska,Q168833
,visa,,,SIEMIEŃ,LUBELSKIE,,PL,,,,,
,visa,,,PARCZEW,LUBELSKIE,,PL,,,,,
,visa,,,PARCZEW,LUBELSKIE,,PL,,,,,
,visa,,,PARCZEW,LUBELSKIE,,PL,,,,,
,visa,,,PARCZEW,LUBELSKIE,,PL,,,,,
eb5427d47514cfe2de0de5dc4672950b,western_union,SKOK WISLA,,Parczew,LUBELSKIE,,PL,+48 83 343 16 97,https://location.westernunion.com/pl/lubelskie/parczew/eb5427d47514cfe2de0de5dc4672950b,Mo-Fr 08:00-15:30,Western Union,Q861042
b93e5dc79516203d17ce8fcf695e0610,western_union,SKOK IM ZYGMUNTA CHMIELEWSKIEGO,,Parczew,LUBELSKIE,,PL,+48 83 355 13 53,https://location.westernunion.com/pl/lubelskie/parczew/b93e5dc79516203d17ce8fcf695e0610,Mo-Fr 08:00-16:00,Western Union,Q861042
