Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
4497,abc_pl,abc,,Brwinów,mazowieckie,,PL,,,,abc,Q11683985
3995,abc_pl,abc,,Brwinów,mazowieckie,,PL,,,,abc,Q11683985
15075,abc_pl,abc,,Brwinów,mazowieckie,,PL,,,,abc,Q11683985
11870,groszek_pl,Groszek,,Brwinów,mazowieckie,,PL,,,,Groszek,Q9280965
365,mcdonalds_pl,McDonald's,,Brwinów,Mazowieckie,,PL,+48 696 079 472,https://mcdonalds.pl/restauracje/mazowieckie/brwinow/brwinow-kotowice-50-a,Mo-Su 05:00-24:00,McDonald's,Q38076
366,mcdonalds_pl,McDonald's,,Brwinów,Mazowieckie,,PL,+48 696 080 339,https://mcdonalds.pl/restauracje/mazowieckie/brwinow/brwinow-kotowice-52-a,Mo-Su 06:00-23:00,McDonald's,Q38076
BRW01A,paczkomat_inpost_pl,Miedzy budynkami Kościuszki 1e a Kościuszki 1,,Brwinów,mazowieckie,,PL,,https://inpost.pl/paczkomat-brwinow-brw01a-tadeusza-kosciuszki-paczkomaty-mazowieckie,24/7,Paczkomat,Q110970254
BRW01AP,paczkomat_inpost_pl,Przy sklepie Netto,,Brwinów,mazowieckie,,PL,,https://inpost.pl/paczkomat-brwinow-brw01ap-powstancow-warszawy-paczkomaty-mazowieckie,24/7,Paczkomat,Q110970254
BRW01M,paczkomat_inpost_pl,Na parkingu za sklepem PSS Społem Brwinów,,Brwinów,mazowieckie,,PL,,https://inpost.pl/paczkomat-brwinow-brw01m-pszczelinska-paczkomaty-mazowieckie,24/7,Paczkomat,Q110970254
BRW01N,paczkomat_inpost_pl,Przy galerii Brwinów,,Brwinów,mazowieckie,,PL,,https://inpost.pl/paczkomat-brwinow-brw01n-grodziska-paczkomaty-mazowieckie,24/7,Paczkomat,Q110970254
BRW02M,paczkomat_inpost_pl,Na parkingu stacji benzynowej BP,,Brwinów,mazowieckie,,PL,,https://inpost.pl/paczkomat-brwinow-brw02m-obwodnica-paczkomaty-mazowieckie,24/7,Paczkomat,Q110970254
BRW03M,paczkomat_inpost_pl,Na parkingu przy sklepie,,Brwinów,mazowieckie,,PL,,https://inpost.pl/paczkomat-brwinow-brw03m-sochaczewska-paczkomaty-mazowieckie,24/7,Paczkomat,Q110970254
BRW04M,paczkomat_inpost_pl,Na działce Pszczelińska 25,,Brwinów,mazowieckie,,PL,,https://inpost.pl/paczkomat-brwinow-brw04m-pszczelinska-paczkomaty-mazowieckie,24/7,Paczkomat,Q110970254
BRW05M,paczkomat_inpost_pl,Market Dino,,Brwinów,mazowieckie,,PL,,https://inpost.pl/paczkomat-brwinow-brw05m-jozefa-pilsudskiego-paczkomaty-mazowieckie,24/7,Paczkomat,Q110970254
BRW06M,paczkomat_inpost_pl,Przy wejściu do spółdzielni mieszkaniowej osiedla,,Brwinów,mazowieckie,,PL,,https://inpost.pl/paczkomat-brwinow-brw06m-tadeusza-kosciuszki-paczkomaty-mazowieckie,24/7,Paczkomat,Q110970254
BRW07M,paczkomat_inpost_pl,Przy płocie,,Brwinów,mazowieckie,,PL,,https://inpost.pl/paczkomat-brwinow-brw07m-czubinska-paczkomaty-mazowieckie,24/7,Paczkomat,Q110970254
BRW08M,paczkomat_inpost_pl,Przy sklepie spożywczym U Edzi,,Brwinów,mazowieckie,,PL,,https://inpost.pl/paczkomat-brwinow-brw08m-wilsona-paczkomaty-mazowieckie,24/7,Paczkomat,Q110970254
DOE01M,paczkomat_inpost_pl,Przy myjni samochodowej  Silver,,Domaniew,mazowieckie,,PL,,https://inpost.pl/paczkomat-domaniew-doe01m-basniowa-paczkomaty-mazowieckie,24/7,Paczkomat,Q110970254
POP-BRW3,paczkomat_inpost_pl,MELBA,,Brwinów,mazowieckie,,PL,,https://inpost.pl/paczkomat-brwinow-pop-brw3-rynek-paczkomaty-mazowieckie,Mo-Fr 10:00-18:00; Sa 10:00-15:00,Paczkomat,Q110970254
POP-DMN1,paczkomat_inpost_pl,FURGONETKA - SKLEP OGRODNICZY ,,Domaniew,mazowieckie,,PL,,https://inpost.pl/paczkomat-domaniew-pop-dmn1-basniowa-paczkomaty-mazowieckie,Mo-Fr 10:00-18:00; Sa 10:00-15:00,Paczkomat,Q110970254
233771,poczta_polska_pl,UP Brwinów,,Brwinów,MAZOWIECKIE,,PL,+48 22 729 53 08,,,Poczta Polska,Q168833
,visa,,,BRWINOW,MAZOWIECKIE,,PL,,,,,
,visa,,,BRWINOW,MAZOWIECKIE,,PL,,,,,
,visa,,,BRWINOW,MAZOWIECKIE,,PL,,,,,
,visa,,,BRWINOW,MAZOWIECKIE,,PL,,,,,
,visa,,,BRWINOW,MAZOWIECKIE,,PL,,,,,
,visa,,,BRWINOW,MAZOWIECKIE,,PL,,,,,
,visa,,,BRWINOW,MAZOWIECKIE,,PL,,,,,
1a9f9d45b8e7b3931e117b13858889b5,western_union,BANK SPOLDZIELCZY W BIALEJ RAWSKIEJ,,Brwinow,MAZOWIECKIE,,PL,+48 801 120 224,https://location.westernunion.com/pl/mazowieckie/brwinow/1a9f9d45b8e7b3931e117b13858889b5,Mo-Fr 09:00-16:30; Sa 07:45-14:00,Western Union,Q861042
