Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
12270,abc_pl,abc,,Limanowa,małopolskie,,PL,,,,abc,Q11683985
203,bricomarche_pl,Bricomarché Limanowa,,Limanowa,małopolskie,,PL,+48 18 332 78 50,https://www.bricomarche.pl/sklep/bricomarche-limanowa,,Bricomarché,Q2925147
https://www.credit-agricole.pl/kontakt/oddzial/2043-limanowa-rynek,credit_agricole_pl,"Credit Agricole Rynek 9, Limanowa",,Limanowa,małopolskie,,PL,19 019,https://www.credit-agricole.pl/kontakt/oddzial/2043-limanowa-rynek,Mo-Fr 09:00-16:00,Credit Agricole,Q590952
7071,groszek_pl,Groszek,,Limanowa,małopolskie,,PL,,,,Groszek,Q9280965
KQY01M,paczkomat_inpost_pl,Na parkingu - po lewej stronie od wejścia,,Koszary,małopolskie,,PL,,https://inpost.pl/paczkomat-koszary-kqy01m-koszary-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
LIM01APP,paczkomat_inpost_pl,Parking przy sklepie,,Limanowa,małopolskie,,PL,,https://inpost.pl/paczkomat-limanowa-lim01app-jozefa-marka-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
LIM01M,paczkomat_inpost_pl,Przy wjeździe na stację paliw Orlen,,Limanowa,małopolskie,,PL,,https://inpost.pl/paczkomat-limanowa-lim01m-tarnowska-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
LIM01N,paczkomat_inpost_pl,Stacja paliw Ecco Oil,,Limanowa,małopolskie,,PL,,https://inpost.pl/paczkomat-limanowa-lim01n-targowa-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
LIM02M,paczkomat_inpost_pl,Po lewej stronie myjni samochodowej,,Limanowa,małopolskie,,PL,,https://inpost.pl/paczkomat-limanowa-lim02m-zygmunta-augusta-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
LIM02N,paczkomat_inpost_pl,Przy sklepie Delikatesy Centrum,,Limanowa,małopolskie,,PL,,https://inpost.pl/paczkomat-limanowa-lim02n-pilsudskiego-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
LIM03M,paczkomat_inpost_pl,Na parkingu stacji paliw,,Limanowa,małopolskie,,PL,,https://inpost.pl/paczkomat-limanowa-lim03m-jana-pawla-ii-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
LIM04M,paczkomat_inpost_pl,Przed wejściem do Marketu PROFIT,,Limanowa,małopolskie,,PL,,https://inpost.pl/paczkomat-limanowa-lim04m-jabloniecka-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
LIM05M,paczkomat_inpost_pl,Paczkomat znajduje się na parkingu od ulicy Reymonta,,Limanowa,małopolskie,,PL,,https://inpost.pl/paczkomat-limanowa-lim05m-koszarska-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
LIM06M,paczkomat_inpost_pl,Stacja benzynowa - po prawej stronie od wejścia,,Limanowa,małopolskie,,PL,,https://inpost.pl/paczkomat-limanowa-lim06m-zygmunta-augusta-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
LIM07M,paczkomat_inpost_pl,Po lewej stronie od wejścia - przy parkingu,,Limanowa,małopolskie,,PL,,https://inpost.pl/paczkomat-limanowa-lim07m-pilsudskiego-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
LIM08M,paczkomat_inpost_pl,Przy wjeździe na parking Galerii NOVA - od strony ul. Łazarskiego,,Limanowa,małopolskie,,PL,,https://inpost.pl/paczkomat-limanowa-lim08m-jozefa-marka-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
LIM09M,paczkomat_inpost_pl,Po prawej stronie wejścia do sklepu Lidl - przy zatoce parkingowej,,Limanowa,małopolskie,,PL,,https://inpost.pl/paczkomat-limanowa-lim09m-z-augusta-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
LIM10M,paczkomat_inpost_pl,Przy sklepie MIKA - od strony parkingu,,Limanowa,małopolskie,,PL,,https://inpost.pl/paczkomat-limanowa-lim10m-krakowska-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
MLNN01M,paczkomat_inpost_pl,Przy Lewiatanie,,Młynne,małopolskie,,PL,,https://inpost.pl/paczkomat-mlynne-mlnn01m-mlynne-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
MOD01M,paczkomat_inpost_pl,Przy Delikatesach Centrum,,Mordarka,małopolskie,,PL,,https://inpost.pl/paczkomat-mordarka-mod01m-mordarka-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
POP-LIM1,paczkomat_inpost_pl,USŁUGI FINANSOWE,,Limanowa,małopolskie,,PL,,https://inpost.pl/paczkomat-limanowa-pop-lim1-kosciuszki-paczkomaty-malopolskie,Mo-Fr 09:00-17:00,Paczkomat,Q110970254
POP-LIM5,paczkomat_inpost_pl,HAPPY PACK - DRIVER SHOP,,Limanowa,małopolskie,,PL,,https://inpost.pl/paczkomat-limanowa-pop-lim5-ogrodowa-paczkomaty-malopolskie,Mo-Fr 09:00-17:00; Sa 09:00-13:00,Paczkomat,Q110970254
PSB01M,paczkomat_inpost_pl,Po lewej stronie - przy parkingu sklepu,,Pasierbiec,małopolskie,,PL,,https://inpost.pl/paczkomat-pasierbiec-psb01m-pasierbiec-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
XSW01M,paczkomat_inpost_pl,Po prawej stronie sklepu - przy parkingu,,Stara Wieś,małopolskie,,PL,,https://inpost.pl/paczkomat-stara-wies-xsw01m-stara-wies-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
XSW02M,paczkomat_inpost_pl,Po prawej stronie parkingu przed sklepem,,Stara Wieś,małopolskie,,PL,,https://inpost.pl/paczkomat-stara-wies-xsw02m-stara-wies-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
XSW03M,paczkomat_inpost_pl,Myjnia Samoobsługowa,,Stara Wieś,małopolskie,,PL,,https://inpost.pl/paczkomat-stara-wies-xsw03m-stara-wies-paczkomaty-malopolskie,24/7,Paczkomat,Q110970254
281,play_pl,Salon Play,Ul. Rynek 23,Limanowa,małopolskie,,PL,+48 790 031 314,,Mo-Fr 09:00-17:00; Sa 09:00-13:00,Play,Q7202998
249995,poczta_polska_pl,UP Limanowa,,Limanowa,MAŁOPOLSKIE,,PL,+48 18 337 23 93,,,Poczta Polska,Q168833
,visa,,,LIMANOWA,MAŁOPOLSKIE,,PL,,,,,
,visa,,,LIMANOWA,MAŁOPOLSKIE,,PL,,,,,
,visa,,,LIMANOWA,MAŁOPOLSKIE,,PL,,,,,
,visa,,,LIMANOWA,MAŁOPOLSKIE,,PL,,,,,
,visa,,,LIMANOWA,MAŁOPOLSKIE,,PL,,,,,
