Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
8090,abc_pl,abc,,Żukowo,pomorskie,,PL,,,,abc,Q11683985
BOK01B,paczkomat_inpost_pl,posesja prywatna,,Borkowo,pomorskie,,PL,,https://inpost.pl/paczkomat-borkowo-bok01b-szeroka-paczkomaty-pomorskie,24/7,Paczkomat,Q110970254
GNZ01M,paczkomat_inpost_pl,Przy sklepie spożywczym,,Glincz,pomorskie,,PL,,https://inpost.pl/paczkomat-glincz-gnz01m-brzozowa-paczkomaty-pomorskie,24/7,Paczkomat,Q110970254
MWQ01M,paczkomat_inpost_pl,Przy Stacji Paliw,,Małkowo,pomorskie,,PL,,https://inpost.pl/paczkomat-malkowo-mwq01m-gdynska-paczkomaty-pomorskie,24/7,Paczkomat,Q110970254
PEP01A,paczkomat_inpost_pl,za sklepem Justynka,,Pępowo,pomorskie,,PL,,https://inpost.pl/paczkomat-pepowo-pep01a-gdanska-paczkomaty-pomorskie,24/7,Paczkomat,Q110970254
POP-PEP2,paczkomat_inpost_pl,DOR AUTO,,Pępowo,pomorskie,,PL,,https://inpost.pl/paczkomat-pepowo-pop-pep2-gdanska-paczkomaty-pomorskie,Mo-Fr 08:00-17:00; Sa 08:00-14:00,Paczkomat,Q110970254
POP-PEP3,paczkomat_inpost_pl,SERWIS KOMPUTEROWY,,Pępowo,pomorskie,,PL,,https://inpost.pl/paczkomat-pepowo-pop-pep3-gdanska-paczkomaty-pomorskie,Mo-Fr 09:00-17:00,Paczkomat,Q110970254
POP-SKU4,paczkomat_inpost_pl,HAPPY PACK - TĘCZOWY BUKIET,,Skrzeszewo Żukowskie,pomorskie,,PL,,https://inpost.pl/paczkomat-skrzeszewo-zukowskie-pop-sku4-gdanska-paczkomaty-pomorskie,Mo-Fr 09:00-18:00; Sa 10:00-15:00,Paczkomat,Q110970254
POP-ZUK1,paczkomat_inpost_pl,EPAKA,,Żukowo,pomorskie,,PL,,https://inpost.pl/paczkomat-zukowo-pop-zuk1-armii-krajowej-paczkomaty-pomorskie,Mo-Fr 09:00-18:00,Paczkomat,Q110970254
PPW01M,paczkomat_inpost_pl,Przy budynku usługowym,,Pępowo,pomorskie,,PL,,https://inpost.pl/paczkomat-pepowo-ppw01m-armii-krajowej-paczkomaty-pomorskie,24/7,Paczkomat,Q110970254
SEV01G,paczkomat_inpost_pl,przy sklepie,,Skrzeszewo,pomorskie,,PL,,https://inpost.pl/paczkomat-skrzeszewo-sev01g-szkolna-paczkomaty-pomorskie,24/7,Paczkomat,Q110970254
ZUK01A,paczkomat_inpost_pl,Stacja paliw Oktan,,Żukowo,pomorskie,,PL,,https://inpost.pl/paczkomat-zukowo-zuk01a-armii-krajowej-paczkomaty-pomorskie,24/7,Paczkomat,Q110970254
ZUK01APP,paczkomat_inpost_pl,przy sklepie spożywczym,,Lniska,pomorskie,,PL,,https://inpost.pl/paczkomat-lniska-zuk01app-lniska-paczkomaty-pomorskie,24/7,Paczkomat,Q110970254
ZUK01M,paczkomat_inpost_pl,budynek biurowy,,Żukowo,pomorskie,,PL,,https://inpost.pl/paczkomat-zukowo-zuk01m-fredry-paczkomaty-pomorskie,24/7,Paczkomat,Q110970254
ZUK01N,paczkomat_inpost_pl,Przy sklepie Żabka,,Żukowo,pomorskie,,PL,,https://inpost.pl/paczkomat-zukowo-zuk01n-gdanska-paczkomaty-pomorskie,24/7,Paczkomat,Q110970254
ZUK02A,paczkomat_inpost_pl,Przy sklepie Lidl,,Żukowo,pomorskie,,PL,,https://inpost.pl/paczkomat-zukowo-zuk02a-gdanska-paczkomaty-pomorskie,24/7,Paczkomat,Q110970254
ZUK02M,paczkomat_inpost_pl,Przy sklepie spożywczym,,Żukowo,pomorskie,,PL,,https://inpost.pl/paczkomat-zukowo-zuk02m-mickiewicza-paczkomaty-pomorskie,24/7,Paczkomat,Q110970254
ZUK02N,paczkomat_inpost_pl,Przy stacji paliw Generon,,Żukowo,pomorskie,,PL,,https://inpost.pl/paczkomat-zukowo-zuk02n-gdanska-paczkomaty-pomorskie,24/7,Paczkomat,Q110970254
ZUK03M,paczkomat_inpost_pl,Market Dino,,Żukowo,pomorskie,,PL,,https://inpost.pl/paczkomat-zukowo-zuk03m-do-raduni-paczkomaty-pomorskie,24/7,Paczkomat,Q110970254
277988,poczta_polska_pl,UP Żukowo k. Kartuz,,Żukowo,POMORSKIE,,PL,+48 58 681 85 13;+48 58 681 85 41;+48 887 332 791,,,Poczta Polska,Q168833
8021064bc915534c3bae9b4d5da7cf7d,western_union,BS TCZEW O ZUKOWO,,Zukowo,POMORSKIE,,PL,+48 801 402 404,https://location.westernunion.com/pl/pomorskie/zukowo/8021064bc915534c3bae9b4d5da7cf7d,Mo-Fr 09:00-15:00,Western Union,Q861042
75788380e349fa7ae1dcd8c5e4b51f8d,western_union,BS SZTUM F ZUKOWO,,Zukowo,POMORSKIE,,PL,+48 801 402 404,https://location.westernunion.com/pl/pomorskie/zukowo/75788380e349fa7ae1dcd8c5e4b51f8d,Mo-We 08:00-15:30; Th 09:00-16:30; Fr 08:00-15:30,Western Union,Q861042
