Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
2505,biedronka_pl,Biedronka,,Wyszków,,,PL,,"https://www.biedronka.pl/pl/shop,id,2505",Mo-Sa 05:00-23:30,Biedronka,Q857182
2570,chorten_pl,Chorten,,LESZCZYDÓŁ-NOWINY,,,PL,,https://chorten.com.pl/sklepy/leszczyd%C3%B3%C5%82_nowiny_delikatesy-bajka_2570,Mo-Sa 06:00-22:00,Chorten,Q48843988
wyszkow,da_grasso_pl,Wyszków,,Wyszków,,,PL,29 742 75 00;504 907 960,https://www.dagrasso.pl/wyszkow,Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 12:00-22:00,Da Grasso,Q11692586
RCDN0EH6,millennium_bank_pl,RCDN0EH6,,Wyszków,,,PL,,,,Bank Millennium,Q4855947
RNET6626,millennium_bank_pl,RNET6626,,Wyszków,,,PL,,,,Bank Millennium,Q4855947
RNET6106,millennium_bank_pl,RNET6106,,Wyszków,,,PL,,,,Bank Millennium,Q4855947
RNET6976,millennium_bank_pl,RNET6976,,Wyszków,,,PL,,,,Bank Millennium,Q4855947
65054237,moneygram,UP WYSZKOW 4 - POCZTA POLSKA,,WYSZKOW,,,PL,+48 29 742 52 38,,Mo-Fr 06:00-22:00; Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
70979776,moneygram,FUP WYSZKOW 4 - POCZTA POLSKA,,KAMIENCZYK,,,PL,+48 29 767 43 20,,Mo-Fr 06:00-22:00; Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
https://www.netto.pl/sklepy/wyszkow/ul-pultuska-96/c31466993dd14aaf97c761a7d45119c7/,netto_salling,Netto Wyszków Pułtuska 96,,Wyszków,,,PL,+48 531 994 994,https://www.netto.pl/sklepy/wyszkow/ul-pultuska-96/c31466993dd14aaf97c761a7d45119c7/,Mo-Sa 07:00-22:00,Netto,Q552652
496592,orlen_paczka_pl,,,Wyszków,,,PL,,,Mo-Fr 10:00-18:00; Sa 09:00-15:00,Orlen Paczka,Q110457879
597110,orlen_paczka_pl,,,Wyszków,,,PL,,,Mo-Su 06:00-21:00,Orlen Paczka,Q110457879
https://stokrotka.pl/nasze-sklepy/wyszkow-ul-gen-jozefa-sowinskiego-64-4631.html,stokrotka_pl,Stokrotka Market,,Wyszków,,,PL,+48 81 888 92 00,https://stokrotka.pl/nasze-sklepy/wyszkow-ul-gen-jozefa-sowinskiego-64-4631.html,Mo-Sa 06:00-22:00; Su 08:30-20:30,Stokrotka Market,Q110801183
,visa,,,WYSZKOW,,,PL,,,,,
,visa,,,WYSZKOW,,,PL,,,,,
,visa,,,WYSZKOW,,,PL,,,,,
,visa,,,WYSZKOW,,,PL,,,,,
,visa,,,WYSZKOW,,,PL,,,,,
ID0D096,zabka_pl,Żabka,,Wyszków,,,PL,,,Mo-Sa 06:00-23:00; Su 09:00-21:00,Żabka,Q2589061
