City,Place Name,Zipcode,Name
unknown,accor,Ul. Pszenna 1 80-749 GDANSK,unknown,Novotel Gdansk Centrum
unknown,accor,Termalna 5 61-028 Poznan,unknown,Novotel Poznan Malta
unknown,accor,UL. 1 Sierpnia 1 02-134 WARSAW,unknown,Novotel Warszawa Airport
unknown,accor,ul. Wyścigowa 35 53-011 WROCLAW,unknown,Novotel Wroclaw City
unknown,accor,Al. Solidarnosci 165 00-876 WARSAW,unknown,Ibis Warszawa Centrum
unknown,accor,Al. Pilsudskiego 11 90-368 LODZ,unknown,ibis Lodz Centrum
unknown,accor,UL. Kazimierza Wielkiego 23 61-863 POZNAN,unknown,ibis Poznan Stare Miasto
unknown,accor,ul. Ostrobramska 36 04-118 WARSAW,unknown,ibis Warszawa Ostrobramska
unknown,accor,Al.3 Maja 31 70-215 SZCZECIN,unknown,Novotel Szczecin Centrum
unknown,accor,Ul Jaskrowska 22 42-200 CZESTOCHOWA,unknown,ibis Czestochowa
unknown,accor,UL. Dworcowa 16 70-206 SZCZECIN,unknown,ibis Szczecin Centrum
unknown,accor,UL. Tadeusza Kosciuszki 5 30-105 KRAKOW,unknown,Novotel Krakow Centrum
unknown,accor,Ul. Jagiellonska 4 41-800 ZABRZE,unknown,ibis Katowice Zabrze
unknown,accor,pl. Dominikanski 1 50-159 WROCLAW,unknown,Hotel Mercure Wroclaw Centrum
unknown,accor,Ul. Jelitkowska 20 80-342 GDANSK,unknown,Novotel Gdansk Marina
unknown,accor,pl. Andersa 1 61-894 POZNAN,unknown,Novotel Poznan Centrum
unknown,accor,Al. Rozdzienskiego 16 40 202 KATOWICE,unknown,Novotel Katowice Centrum
unknown,accor,Krolewska  11 00-065 WARSAW,unknown,Sofitel Warsaw Victoria
unknown,accor,ul Marszalkowska 94/98 00-510 WARSAW,unknown,Novotel Warszawa Centrum
unknown,accor,28 Krucza Street 00-522 WARSAW,unknown,Hotel Mercure Warszawa Grand
unknown,accor,ul. Zlota 48/54 00-120 WARSAW,unknown,Mercure Warszawa Centrum
unknown,accor,Ul. Jana Heweliusza 22 80-890 GDANSK,unknown,Mercure Gdansk Stare Miasto
unknown,accor,UL KAPLICZNA 30 80-341 GDANSK,unknown,Mercure Gdansk Posejdon
unknown,accor,Ul. Roosevelta 20 60-829 POZNAN,unknown,Hotel Mercure Poznan Centrum
unknown,accor,2 Ks J Popieluszki St 42-200 CZESTOCHOWA,unknown,Hotel Mercure Czestochowa Centrum
unknown,accor,Al. Raclawickie 12 20-037 LUBLIN,unknown,Hotel Mercure Lublin Centrum
unknown,accor,Ul. Krakowska 57/59 45-018 OPOLE,unknown,Hotel Mercure Opole
unknown,accor,Al. Armii Krajowej 11 30-150 CRACOW,unknown,Novotel Krakow City West
unknown,accor,ul. Sudecka 63 58-500 JELENIA GORA,unknown,Mercure Jelenia Gora
unknown,accor,Armii Krajowej 22 81372 GDYNIA,unknown,Mercure Gdynia Centrum
unknown,accor,Powstancow Warszawy St 12/14 Pomorskie 81-718 SOPOT,unknown,Sofitel Grand Sopot
unknown,accor,Motelowa 21 43400 CIESZYN,unknown,Mercure Cieszyn
unknown,accor,Ul Kraszewskiego 1/3 87-100 TORUN,unknown,Hotel Mercure Torun Centrum
unknown,accor,Zywiecka 93 43300 BIELSKO BIALA,unknown,ibis Styles Bielsko Biala
unknown,accor,Obroncow Pokoju St. 5 58-540 KARPACZ,unknown,Mercure Karpacz Skalny
unknown,accor,Ul Syrokomli 2 30 102 KRAKOW,unknown,ibis Krakow Centrum
unknown,accor,ul. Muranowska 2 00-209 WARSAW,unknown,ibis Warszawa Stare Miasto (Old Town)
unknown,accor,Ul Zagorna 1 00-441 WARSAW,unknown,ibis budget Warszawa Centrum
unknown,accor,Al Rozdzienskiego 18 40202 KATOWICE,unknown,ibis budget Katowice Centrum
unknown,accor,Wyscigowa 35 A 53011 WROCLAW,unknown,ibis budget Wroclaw Poludnie
unknown,accor,ui.Lotnicza 151 54132 WROCLAW,unknown,ibis budget Wroclaw Stadion
unknown,accor,Ul Bitwy Warszawskiej 16 02366 WARSAW,unknown,ibis Warszawa Reduta
unknown,accor,ul Ks Jerzego Popieluszki 2a 87100 TORUN,unknown,ibis budget Torun
unknown,accor,ul Bitwy Warszawskiej 16 02366 WARSAW,unknown,ibis budget Warszawa Reduta
unknown,accor,ul Pawia 15 31154 KRAKOW,unknown,ibis Krakow Stare Miasto
unknown,accor,ul Pawia 11 31154 KRAKOW,unknown,ibis budget Krakow Stare Miasto
unknown,accor,al. Piłsudskiego 11a 90-368 Lodz,unknown,Novotel Lodz Centrum
unknown,accor,Al Krakowska 266 02210 WARSAW,unknown,Mercure Warszawa Airport
unknown,accor,Aleja Pilsudskiego 25 15444 BIALYSTOK,unknown,ibis Styles Bialystok
unknown,accor,ul. Lesna 1 33-380 KRYNICA ZDROJ,unknown,Hotel Mercure Krynica Zdroj Resort & Spa
unknown,accor,1 MAJA 70 58300 WALBRZYCH,unknown,ibis Styles Walbrzych
unknown,accor,Jana Pawla II 10 08 110 SIEDLCE,unknown,ibis Styles Siedlce
unknown,accor,Pl Konstytucji 3 Maja 3 50 083 WROCLAW,unknown,ibis Styles Wroclaw Centrum
unknown,accor,Pierwszej Brygady 2A 33 300 NOWY SACZ,unknown,ibis Styles Nowy Sacz
unknown,accor,Marszalka Focha 20 85070 BYDGOSZCZ,unknown,Hotel Mercure Bydgoszcz Sepia
unknown,accor,Pilsudskiego 18 86300 GRUDZIADZ,unknown,ibis Styles Grudziadz
unknown,accor,Pawia 18 B 31154 Krakow,unknown,Mercure Krakow Stare Miasto
unknown,accor,Konwaliowa 3 /Forteczna 62002 SUCHY LAS,unknown,ibis Poznan Polnoc
unknown,accor,Heweliusza 24 80-861 Gdansk,unknown,ibis Gdansk Stare Miasto
unknown,accor,Doslonce 56 Powiat Miechow 32222 RACLAWICE,unknown,Hotel Mercure Raclawice Doslonce Conference & SPA
unknown,accor,Powstancow Slaskich 7 53-332 Wroclaw,unknown,Novotel Wroclaw Centrum
unknown,accor,Powstancow Slaskich 7b 53332 Wroclaw,unknown,ibis Wroclaw Centrum
unknown,accor,Panienska 10 70 535 SZCZECIN,unknown,ibis Styles Szczecin Stare Miasto  (Old Town)
unknown,accor,Chrobrego 20 62 200 GNIEZNO,unknown,ibis Styles Gniezno Stare Miasto
unknown,accor,ul. Zagorna 1a 00441 WARSAW,unknown,ibis Styles Warszawa Centrum
unknown,accor,Cykady 2 02401 WARSZAWA,unknown,Mercure Warszawa Ursus Station
unknown,accor,Poznanska 33 05850 MORY,unknown,Ibis Styles Warszawa West
unknown,accor,Krakowskie Przedmiescie 13 00-071 Warsaw,unknown,Raffles Europejski Warsaw
unknown,accor,Plac Andersa 1 61-894 POZNAN,unknown,ibis Poznan Centrum
unknown,accor,Aleja Solidarnosci 7 20841 LUBLIN,unknown,ibis Styles Lublin Stare Miasto
unknown,accor,Plac Ksiedza Jerzego Popieluszki 59700 BOLESŁAWIEC,unknown,ibis Styles Boleslawiec
unknown,accor,Ul Grzybowska 43 00855 WARSAW,unknown,ibis Styles Warszawa City
unknown,accor,Plac Katedralny 8 50329 WROCLAW,unknown,The Bridge Wroclaw - MGallery
unknown,accor,Kolejowa 165 34400 NOWY TARG,unknown,ibis Styles Nowy Targ
unknown,accor,Ul Bulwarowa 35a 31-751 KRAKOW,unknown,Ibis Styles Krakow East
unknown,accor,Plac Kossaka 6 31106 Krakow,unknown,Bachleda Luxury Hotel Kraków - MGallery
unknown,accor,Mogilska 53 31-545 CRACOW,unknown,ibis Styles Krakow Centrum
unknown,accor,Mlynska 6 40-098 KATOWICE,unknown,Mercure Katowice Centrum
unknown,accor,Hetmańska 46 15-727 BIALYSTOK,unknown,Mercure Bialystok
unknown,accor,Fabryczna 13 31-553 KRAKOW,unknown,Mercure Krakow Fabryczna City
unknown,accor,Plac Konstytucji 3 Maja 3 81704 SOPOT,unknown,Rezydent Sopot MGallery Hotel Collection
unknown,accor,Rowna 20 Majdan 05462 MAJDAN WIAZOWNA,unknown,Mercure Wiazowna Brant
unknown,accor,43-370 SZCZYRK,unknown,Mercure Szczyrk Resort (Opening summer 2024)
unknown,accor,58-540 KARPACZ,unknown,Sanssouci Hotel & Spa Karpacz  MGallery Collection
unknown,accor,Obroncow Pokoju 58-540 KARPACZ,unknown,Mövenpick Resort & Spa Karpacz (Opening Q2 2024)
unknown,accor,31 Poleczki 02-822 WARSAW,unknown,ibis Styles Warszawa Airport
unknown,accor,6 Krolewska 30-045 KRAKOW,unknown,The Crown Krakow - Handwritten Collection
Poznań,action,,unknown,Poznań
Grudziądz,action,,unknown,Grudziądz
Piła,action,,unknown,Piła
Pisz,action,,unknown,Pisz
Leszno,action,,unknown,Leszno
LEGNICA,action,,unknown,Legnica
Lubań,action,,unknown,Lubań
Wałbrzych,action,,unknown,Wałbrzych
Głogów,action,,unknown,Głogów
Świdnica,action,,unknown,Świdnica
Opole,action,,unknown,Opole
Oława,action,,unknown,Oława
Częstochowa,action,,unknown,Częstochowa
Dąbrowa Górnicza,action,,unknown,Dąbrowa Górnicza
Radomsko,action,,unknown,Radomsko
Brzeg,action,,unknown,Brzeg
Knurów,action,,unknown,Knurów
Szamotuły,action,,unknown,Szamotuły
Polkowice,action,,unknown,Polkowice
