Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
7873,abc_pl,abc,,Rojew,wielkopolskie,,PL,,,,abc,Q11683985
327,abc_pl,abc,,Kobylin,wielkopolskie,,PL,,,,abc,Q11683985
7872,abc_pl,abc,,Łagiewniki,wielkopolskie,,PL,,,,abc,Q11683985
KBL01A,paczkomat_inpost_pl,Przy markecie Biedronka,,Kobylin,wielkopolskie,,PL,,https://inpost.pl/paczkomat-kobylin-kbl01a-powstancow-wielkopolskich-paczkomaty-wielkopolskie,24/7,Paczkomat,Q110970254
KBL01M,paczkomat_inpost_pl,Market Dino,,Kobylin,wielkopolskie,,PL,,https://inpost.pl/paczkomat-kobylin-kbl01m-kolejowa-paczkomaty-wielkopolskie,24/7,Paczkomat,Q110970254
LGI01M,paczkomat_inpost_pl,przy wjeżdzie na posesję,,Łagiewniki,wielkopolskie,,PL,,https://inpost.pl/paczkomat-lagiewniki-lgi01m-lagiewniki-paczkomaty-wielkopolskie,24/7,Paczkomat,Q110970254
POP-KBY2,paczkomat_inpost_pl,AUTO COLOR MIESZALNIA FARB,,Kobylin,wielkopolskie,,PL,,https://inpost.pl/paczkomat-kobylin-pop-kby2-polskiego-wrzesnia-paczkomaty-wielkopolskie,Mo-Fr 09:00-19:00; Sa 09:00-14:00,Paczkomat,Q110970254
SCQ01M,paczkomat_inpost_pl,Market Dino,,Smolice,wielkopolskie,,PL,,https://inpost.pl/paczkomat-smolice-scq01m-smolice-paczkomaty-wielkopolskie,24/7,Paczkomat,Q110970254
246053,poczta_polska_pl,UP Kobylin k. Krotoszyna,,Kobylin,WIELKOPOLSKIE,,PL,+48 65 548 24 25,,,Poczta Polska,Q168833
298347,poczta_polska_pl,AP Smolice,,Smolice,WIELKOPOLSKIE,,PL,+48 697 772 495,,,Poczta Polska,Q168833
da41c577cf291a7099a979058aa72103,western_union,BS KROTOSZYN O KOBYLIN,,Kobylin,WIELKOPOLSKIE,,PL,+48 801 402 404,https://location.westernunion.com/pl/wielkopolskie/kobylin/da41c577cf291a7099a979058aa72103,Mo-Fr 08:00-16:00,Western Union,Q861042
