City,Place Name,Zipcode,Name
GIDLE,visa,,unknown,unknown
WIELUŃ,visa,,unknown,unknown
ŻYTNO,visa,,unknown,unknown
NOWA BRZEŻNICA,visa,,unknown,unknown
PAJĘCZNO,visa,,unknown,unknown
SIEMKOWICE,visa,,unknown,unknown
RADOMSKO,visa,,unknown,unknown
KOBIELE WIELKIE,visa,,unknown,unknown
BEŁCHATOW,visa,,unknown,unknown
SIERADZ,visa,,unknown,unknown
ŁODŹ,visa,,unknown,unknown
BUCZEK,visa,,unknown,unknown
ZDUŃSKA WOLA,visa,,unknown,unknown
PIOTRKOW TRYBUNALSKI,visa,,unknown,unknown
WARTA,visa,,unknown,unknown
ŁASK,visa,,unknown,unknown
ROSSOSZYCA,visa,,unknown,unknown
SZADEK,visa,,unknown,unknown
DOBROŃ,visa,,unknown,unknown
PAWLIKOWICE,visa,,unknown,unknown
PĘCZNIEW,visa,,unknown,unknown
OPOCZNO,visa,,unknown,unknown
PABIANICE,visa,,unknown,unknown
ZADZIM,visa,,unknown,unknown
RZGOW,visa,,unknown,unknown
KSAWEROW,visa,,unknown,unknown
TOMASZOW MAZOWIECKI,visa,,unknown,unknown
TOMASZOW MAZ.,visa,,unknown,unknown
KONSTANTYNOW ŁODZKI,visa,,unknown,unknown
BROJCE,visa,,unknown,unknown
UJAZD,visa,,unknown,unknown
PODDĘBICE,visa,,unknown,unknown
ALEKSANDROW ŁODZKI,visa,,unknown,unknown
ANDRESPOL,visa,,unknown,unknown
UNIEJOW,visa,,unknown,unknown
ZGIERZ,visa,,unknown,unknown
PARZĘCZEW,visa,,unknown,unknown
BRZEZINY,visa,,unknown,unknown
OZORKOW,visa,,unknown,unknown
SOKOLNIKI LAS,visa,,unknown,unknown
ROGOW,visa,,unknown,unknown
STRYKOW,visa,,unknown,unknown
JEŻOW,visa,,unknown,unknown
LEŚMIERZ,visa,,unknown,unknown
RAWA MAZOWIECKA,visa,,unknown,unknown
ŁĘCZYCA,visa,,unknown,unknown
GIECZNO,visa,,unknown,unknown
CIELADZ,visa,,unknown,unknown
REGNOW,visa,,unknown,unknown
SADKOWICE,visa,,unknown,unknown
GŁOWNO,visa,,unknown,unknown
GŁUCHOW,visa,,unknown,unknown
BIAŁA RAWSKA,visa,,unknown,unknown
NOWY KAWĘCZYN,visa,,unknown,unknown
ŁYSZKOWICE,visa,,unknown,unknown
MAKOW,visa,,unknown,unknown
SKIERNIEWICE,visa,,unknown,unknown
KOWIESY,visa,,unknown,unknown
KROŚNIEWICE,visa,,unknown,unknown
BEŁCHOW,visa,,unknown,unknown
KUTNO,visa,,unknown,unknown
ŁOWICZ,visa,,unknown,unknown
BOLIMOW,visa,,unknown,unknown
ŻYCHLIN,visa,,unknown,unknown
ŻYRARDOW,visa,,unknown,unknown
ŻABIA WOLA,visa,,unknown,unknown
KIERNOZIA,visa,,unknown,unknown
