Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
405,abc_pl,abc,,Kuźnica Skakawska,łódzkie,,PL,,,,abc,Q11683985
14444,abc_pl,abc,,Wieruszów,łódzkie,,PL,,,,abc,Q11683985
https://www.credit-agricole.pl/kontakt/oddzial/28897-wieruszow-warszawska,credit_agricole_pl,"Credit Agricole Warszawska 14, Wieruszów",,Wieruszów,łódzkie,,PL,19 019,https://www.credit-agricole.pl/kontakt/oddzial/28897-wieruszow-warszawska,Mo-Fr 09:00-16:00,Credit Agricole,Q590952
176,dr_max,"Apteka Dr.Max, Warszawska 41, Wieruszów",,Wieruszów,Łódzkie,,PL,+48 62 784 17 49,https://www.drmax.pl/apteki/wieruszow-warszawska-41,,Dr. Max,Q56317371
177,dr_max,"Apteka Dr.Max, Kopernika 4, Wieruszów",,Wieruszów,Łódzkie,,PL,+48 62 783 15 08,https://www.drmax.pl/apteki/wieruszow-kopernika-4,,Dr. Max,Q56317371
209,dr_max,"Apteka Dr.Max, Fabryczna 4a/3, Wieruszów",,Wieruszów,Łódzkie,,PL,+48 62 783 13 03,https://www.drmax.pl/apteki/wieruszow-fabryczna-4a-3,,Dr. Max,Q56317371
PEY01M,paczkomat_inpost_pl,Market Dino,,Pieczyska,łódzkie,,PL,,https://inpost.pl/paczkomat-pieczyska-pey01m-pieczyska-paczkomaty-lodzkie,24/7,Paczkomat,Q110970254
POP-WEI3,paczkomat_inpost_pl,AGENCJA UBEZPIECZENIOWA WARTA,,Wieruszów,łódzkie,,PL,,https://inpost.pl/paczkomat-wieruszow-pop-wei3-warszawska-paczkomaty-lodzkie,Mo-Fr 09:00-17:00; Sa 09:00-13:00,Paczkomat,Q110970254
TKN01G,paczkomat_inpost_pl,Przy sklepie spożywczym,,Teklinów,łódzkie,,PL,,https://inpost.pl/paczkomat-teklinow-tkn01g-teklinow-paczkomaty-lodzkie,24/7,Paczkomat,Q110970254
WIR01M,paczkomat_inpost_pl,Market Dino,,Wieruszów,łódzkie,,PL,,https://inpost.pl/paczkomat-wieruszow-wir01m-podzamcze-paczkomaty-lodzkie,24/7,Paczkomat,Q110970254
WIR01ML,paczkomat_inpost_pl,Przy markecie POLOmarket,,Wieruszów,łódzkie,,PL,,https://inpost.pl/paczkomat-wieruszow-wir01ml-fabryczna-paczkomaty-lodzkie,24/7,Paczkomat,Q110970254
WIR02M,paczkomat_inpost_pl,Przy sklepie Intermarche,,Wieruszów,łódzkie,,PL,,https://inpost.pl/paczkomat-wieruszow-wir02m-cmentarna-paczkomaty-lodzkie,24/7,Paczkomat,Q110970254
WIR03M,paczkomat_inpost_pl,Na parkingu marketu Sedal,,Wieruszów,łódzkie,,PL,,https://inpost.pl/paczkomat-wieruszow-wir03m-boleslawa-prusa-paczkomaty-lodzkie,24/7,Paczkomat,Q110970254
WSV01M,paczkomat_inpost_pl,Na parkingu przy OSP Wyszanów,,Wyszanów,łódzkie,,PL,,https://inpost.pl/paczkomat-wyszanow-wsv01m-szkolna-paczkomaty-lodzkie,24/7,Paczkomat,Q110970254
553554,poczta_polska_pl,AP Wieruszów,,Wieruszów,ŁÓDZKIE,,PL,+48 62 784 07 32,,,Poczta Polska,Q168833
273986,poczta_polska_pl,UP Wieruszów,,Wieruszów,ŁÓDZKIE,,PL,+48 62 784 24 02,,,Poczta Polska,Q168833
302209,poczta_polska_pl,AP Wieruszów,,Wieruszów,ŁÓDZKIE,,PL,+48 62 784 01 72,,,Poczta Polska,Q168833
7182,tedi,TEDi Sieć Handlowa Sp. z o.o.,,Wieruszów,Łódzkie,,PL,+48 32 450 36 20,https://www.tedi.com/stores/7182/pl/Łódzkie/Wieruszów/Wrocławska-22,Mo-Sa 00:00-24:00,TEDi,Q1364603
