Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
10561,abc_pl,abc,,Kłobuck,śląskie,,PL,,,,abc,Q11683985
12905,groszek_pl,Groszek,,Kłobuck,śląskie,,PL,,,,Groszek,Q9280965
13629,groszek_pl,Groszek,,Kłobuck,śląskie,,PL,,,,Groszek,Q9280965
KBU01A,paczkomat_inpost_pl,Przy przedszkolu nr 5,,Kłobuck,śląskie,,PL,,https://inpost.pl/paczkomat-klobuck-kbu01a-juliusza-rommla-paczkomaty-slaskie,24/7,Paczkomat,Q110970254
KBU01M,paczkomat_inpost_pl,Delikatesy Centrum,,Kłobuck,śląskie,,PL,,https://inpost.pl/paczkomat-klobuck-kbu01m-armii-krajowej-paczkomaty-slaskie,24/7,Paczkomat,Q110970254
KBU01N,paczkomat_inpost_pl,Przy sklep Glamour,,Kłobuck,śląskie,,PL,,https://inpost.pl/paczkomat-klobuck-kbu01n-staszica-paczkomaty-slaskie,24/7,Paczkomat,Q110970254
KBU02M,paczkomat_inpost_pl,Euro Market,,Kłobuck,śląskie,,PL,,https://inpost.pl/paczkomat-klobuck-kbu02m-poprzeczna-paczkomaty-slaskie,24/7,Paczkomat,Q110970254
KBU02N,paczkomat_inpost_pl,Przy Zarządzie Dróg,,Kłobuck,śląskie,,PL,,https://inpost.pl/paczkomat-klobuck-kbu02n-11-listopada-paczkomaty-slaskie,24/7,Paczkomat,Q110970254
KBU03M,paczkomat_inpost_pl,przy stacji,,Kłobuck,śląskie,,PL,,https://inpost.pl/paczkomat-klobuck-kbu03m-szkolna-paczkomaty-slaskie,24/7,Paczkomat,Q110970254
KBU04M,paczkomat_inpost_pl,Parking Netto,,Kłobuck,śląskie,,PL,,https://inpost.pl/paczkomat-klobuck-kbu04m-wielunska-paczkomaty-slaskie,24/7,Paczkomat,Q110970254
KBU05M,paczkomat_inpost_pl,Parking,,Kłobuck,śląskie,,PL,,https://inpost.pl/paczkomat-klobuck-kbu05m-zakrzewska-paczkomaty-slaskie,24/7,Paczkomat,Q110970254
KBU06M,paczkomat_inpost_pl,Market Dino,,Kłobuck,śląskie,,PL,,https://inpost.pl/paczkomat-klobuck-kbu06m-rommla-paczkomaty-slaskie,24/7,Paczkomat,Q110970254
KBU07M,paczkomat_inpost_pl,Lidl,,Kłobuck,śląskie,,PL,,https://inpost.pl/paczkomat-klobuck-kbu07m-sienkiewicza-paczkomaty-slaskie,24/7,Paczkomat,Q110970254
KBU08M,paczkomat_inpost_pl,Stacja Moya,,Kłobuck,śląskie,,PL,,https://inpost.pl/paczkomat-klobuck-kbu08m-dlugosza-paczkomaty-slaskie,24/7,Paczkomat,Q110970254
POP-KBU1,paczkomat_inpost_pl,EPAKA,,Kłobuck,śląskie,,PL,,https://inpost.pl/paczkomat-klobuck-pop-kbu1-szkolna-paczkomaty-slaskie,Mo-Fr 09:00-19:00; Sa 10:00-15:00,Paczkomat,Q110970254
22,play_pl,Salon Play,Ul. Wieluńska 3,Kłobuck,śląskie,,PL,+48 790 037 014,,Mo-Fr 09:00-17:00; Sa 09:00-13:00,Play,Q7202998
245829,poczta_polska_pl,UP Kłobuck,,Kłobuck,ŚLĄSKIE,,PL,+48 34 317 29 51;+48 34 310 03 04;+48 885 251 530;+48 34 317 21 03,,,Poczta Polska,Q168833
,visa,,,KŁOBUCK,ŚLĄSKIE,,PL,,,,,
,visa,,,KŁOBUCK,ŚLĄSKIE,,PL,,,,,
