Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
9761,abc_pl,abc,,Magonie,świętokrzyskie,,PL,,,,abc,Q11683985
9755,abc_pl,abc,,Szewna,świętokrzyskie,,PL,,,,abc,Q11683985
9771,abc_pl,abc,,Chmielów,świętokrzyskie,,PL,,,,abc,Q11683985
9772,abc_pl,abc,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,,,abc,Q11683985
9757,abc_pl,abc,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,,,abc,Q11683985
9774,abc_pl,abc,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,,,abc,Q11683985
156,abc_pl,abc,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,,,abc,Q11683985
152,abc_pl,abc,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,,,abc,Q11683985
9753,abc_pl,abc,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,,,abc,Q11683985
6465,abc_pl,abc,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,,,abc,Q11683985
394,bricomarche_pl,Bricomarché Ostrowiec Świętokrzyski,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,+48 41 306 73 20,https://www.bricomarche.pl/sklep/bricomarche-ostrowiec-swietokrzyski,,Bricomarché,Q2925147
https://www.credit-agricole.pl/kontakt/oddzial/1833-ostrowiec-swietokrzyski-rynek,credit_agricole_pl,"Credit Agricole Rynek 9, Ostrowiec Świętokrzyski",,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,19 019,https://www.credit-agricole.pl/kontakt/oddzial/1833-ostrowiec-swietokrzyski-rynek,Mo-Tu 09:00-16:00; We 09:00-17:00; Th-Fr 09:00-16:00,Credit Agricole,Q590952
152,mcdonalds_pl,McDonald's,,Ostrowiec Świętokrzyski,Świętokrzyskie,,PL,+48 795 159 778,https://mcdonalds.pl/restauracje/swietokrzyskie/ostrowiec-swietokrzyski/ostrowiec-swietokrzyski-al-3-ego-maja-15,Mo-Su 07:00-24:00,McDonald's,Q38076
OSS01A,paczkomat_inpost_pl,Przy markecie E.Leclerc,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss01a-11-listopada-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS01APP,paczkomat_inpost_pl,przy komisie samochodowym,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss01app-siennienska-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS01HO,paczkomat_inpost_pl,w przedsionku przed wejściem do Lidla,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss01ho-aleja-3-maja-paczkomaty-swietokrzyskie,Mo-Sa 07:00-21:00,Paczkomat,Q110970254
OSS01M,paczkomat_inpost_pl,Po prawej stronie od wjazdu na myjnię,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss01m-szewienska-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS01N,paczkomat_inpost_pl,Przy sklepie meblowym Express,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss01n-slowackiego-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS02A,paczkomat_inpost_pl,Przy Galerii Ostrowiec,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss02a-mickiewicza-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS02APP,paczkomat_inpost_pl,Market Dino,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss02app-zygmuntowka-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS02M,paczkomat_inpost_pl,Po prawej stronie od wejścia do sklepu Lewiatan,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss02m-os-rosochy-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS02N,paczkomat_inpost_pl,Przy wejściu do budynku Inbud,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss02n-samsonowicza-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS03A,paczkomat_inpost_pl,Stacja paliw BP,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss03a-ludwika-warynskiego-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS03APP,paczkomat_inpost_pl,Market Dino,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss03app-grzybowa-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS03N,paczkomat_inpost_pl,Na parkingu przy sklepie Delikatesy Centrum,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss03n-sandomierska-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS04A,paczkomat_inpost_pl,przy sklepie Top Market,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss04a-ilzecka-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS04M,paczkomat_inpost_pl,Przy bocznym wejściu do sklepu,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss04m-os-pulanki-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS05A,paczkomat_inpost_pl,przy sklepie Top Market,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss05a-11-go-listopada-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS05M,paczkomat_inpost_pl,Po lewej stronie od wejścia do sklepu Lidl,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss05m-os-sloneczne-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS06M,paczkomat_inpost_pl,Market Dino,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss06m-szewienska-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS07A,paczkomat_inpost_pl,"Przy sklepie Top Market, po prawej stronie",,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss07a-sienkiewicza-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS07M,paczkomat_inpost_pl,Pawilon obok parkingu strzeżonego,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss07m-polna-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS08A,paczkomat_inpost_pl,Na parkingu sklepu Delikatesy Centrum,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss08a-lesna-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS08M,paczkomat_inpost_pl,Parking przed Delikatesami Centrum,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss08m-ostrowiecka-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS09A,paczkomat_inpost_pl,Na parkingu przy sklepie Delikatesy Miś,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss09a-kolonia-robotnicza-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS09M,paczkomat_inpost_pl,Market Dino,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss09m-wspolna-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS10A,paczkomat_inpost_pl,parking Kaufland,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss10a-jana-pawla-ii-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS10M,paczkomat_inpost_pl,przy sklepie Top Market,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss10m-baltowska-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
OSS11A,paczkomat_inpost_pl,Przed wejściem do sklepu Top Market,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-oss11a-poniatowskiego-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
POP-OSS11,paczkomat_inpost_pl,BRICOMARCHE,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-pop-oss11-kilinskiego-paczkomaty-swietokrzyskie,Mo-Sa 08:00-20:00; Su 09:00-18:00,Paczkomat,Q110970254
POP-OSS13,paczkomat_inpost_pl,STACJA CIRCLE K,,Ostrowiec Świętokrzyski ,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-pop-oss13-zagloby-paczkomaty-swietokrzyskie,Mo-Fr 10:00-18:00,Paczkomat,Q110970254
POP-OSS14,paczkomat_inpost_pl,STACJA CIRCLE K,,Ostrowiec Świętokrzyski ,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-pop-oss14-jana-pawla-ii-paczkomaty-swietokrzyskie,Mo-Fr 10:00-18:00,Paczkomat,Q110970254
POP-OSS15,paczkomat_inpost_pl,SHIP CENTER,,Ostrowiec Świętokrzyski ,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-pop-oss15-szeroka-paczkomaty-swietokrzyskie,Mo-Fr 10:00-18:00,Paczkomat,Q110970254
POP-OSS17,paczkomat_inpost_pl,BUTIK SETI,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-pop-oss17-jana-kilinskiego-paczkomaty-swietokrzyskie,Mo-Fr 09:00-18:00,Paczkomat,Q110970254
POP-OSS18,paczkomat_inpost_pl,LASERMANIA,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-pop-oss18-11-listopada-paczkomaty-swietokrzyskie,Mo-Fr 09:00-18:00,Paczkomat,Q110970254
POP-OSS19,paczkomat_inpost_pl,SALON PŁYTEK CERAMICZNYCH ,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-pop-oss19-dluga-paczkomaty-swietokrzyskie,Mo-Fr 08:00-18:00; Sa 11:00-15:00,Paczkomat,Q110970254
POP-OSS21,paczkomat_inpost_pl,FURGONETKA,,Ostrowiec Świętokrzyski ,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-pop-oss21-sandomierska-paczkomaty-swietokrzyskie,Mo-Fr 10:00-18:00; Sa 10:00-14:00,Paczkomat,Q110970254
POP-OSS7,paczkomat_inpost_pl,BIURO PODRÓŻY YES,,Ostrowiec Świętokrzyski,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-ostrowiec-swietokrzyski-pop-oss7-sienkiewicza-paczkomaty-swietokrzyskie,Mo-Fr 09:00-18:00; Sa 09:00-17:00; Su 09:00-15:00,Paczkomat,Q110970254
SEA01M,paczkomat_inpost_pl,przy wejściu do sklepu,,Szewna,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-szewna-sea01m-armii-krajowej-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
SEA02M,paczkomat_inpost_pl,przy sklepie spożywczym ABC,,Szewna,świętokrzyskie,,PL,,https://inpost.pl/paczkomat-szewna-sea02m-trawna-paczkomaty-swietokrzyskie,24/7,Paczkomat,Q110970254
