City,Place Name,Zipcode,Name
BRAGA FERREIROS Z0458759,repsol_pt,,unknown,E.S. FERREIROS
BRAGA Z0458756,repsol_pt,,unknown,E.S. BRAGA PISCINAS I
BRAGA Z0458757,repsol_pt,,unknown,E.S. BRAGA PISCINAS II
BARCELOS - NOVO Z0458753,repsol_pt,,unknown,E.S. BARCELOS II
BRAGA,repsol_pt,,unknown,E.S. ESCARIZ
BARCELINHOS Z0458752,repsol_pt,,unknown,E.S. BARCELINHOS
BRAGA Z0471088,repsol_pt,,unknown,E.S. BRAGA
FROSSOS-BRAGA Z0471167,repsol_pt,,unknown,E.S. FROSSOS
Esposende,repsol_pt,,unknown,E.S. ESPOSENDE
MARINHAS - ESPOSENDE,repsol_pt,,unknown,E.S. MARINHAS B
