City,Place Name,Zipcode,Name
Lisboa,audi,Rua Cintura do Porto Armazém 24 Matinha 1950-323 Lisboa,unknown,Expocar Lisboa
Cacém,audi,E.N. 249 KM 3 E.N. 249 KM 3 2735-307 Cacém,unknown,Santogal Blue Cacém
Alfragide - Amadora,audi,Rua do Entreposto Industrial nº4 Rua do Entreposto Industrial nº4 2610-135 Alfragide - Amadora,unknown,Santogal Motor Alfragide
Lisboa,audi,Rua de S. Francisco - Adroana 539 2649-503 Lisboa,unknown,Caetano Sport Alcabideche
Alenquer,audi,IC 2 - Km 338 IC 2 - Km 338 2584-909 Alenquer,unknown,Auto LPM
Lisboa,audi,Azinhaga dos Lameiros (Estrada do Paço do Lumiar) Azinhaga dos Lameiros (Estrada do Paço do Lumiar) 1600-485 Lisboa,unknown,Melvar
Lisboa,audi,Rua Alves Redol Rua Alves Redol 1000-029 Lisboa,unknown,Santogal Motor Lisboa
Loures,audi,Olival da Quinta Nova Rua do Funchal Fanqueiro Olival da Quinta Nova Rua do Funchal Fanqueiro 2670-364 Loures,unknown,Expocar Loures
Lisboa,audi,Estrada das Laranjeiras Estrada das Laranjeiras 1600-139 Lisboa,unknown,Soauto
Torres Vedras,audi,Avenida General Humberto Delgado nº1-A 2564-909 Torres Vedras,unknown,Tecsport
Paço De Arcos,audi,Alto da Loba Alto da Loba 2770-065 Paço De Arcos,unknown,Expocar Cascais
Lisboa,audi,Avenida da República Avenida da República 1050-193 Lisboa,unknown,Expocar Av Republica
Lisbon,avis,,unknown,Avis Portugal Lisbon Airport
Lisboa,continente_pt,,unknown,Continente Bom Dia Defensores de Chaves
Algueirão-Mem Martins,continente_pt,,unknown,Continente Modelo Tapada das Mercês
Lisbon,google_offices,"Rua Duque de Palmela no.37
1250-097 Lisbon Portugal",unknown,Lisbon
Odivelas,pepco,,unknown,Pepco
Lisbon,pokawa,Avenida 24 de Julho building promenade Loja 5  Lisboa  Portugal 1200-161,unknown,Pokawa Lisbonne
Lisboa,starbucks_eu,Estrada Nacional 9 - Loja 0 081 - CC Cascaishopping 2645-543 Lisboa,unknown,Cascais
Cascais,starbucks_eu,Jardim Visconde da Luz Passeio Luis Pinto Coelho 3c 2750 Cascais,unknown,Cascais Visconde da Luz
Lisboa,starbucks_eu,Rua Consiglieri Pedroso 6 2710 557 Lisboa,unknown,Sintra
Lisboa,starbucks_eu,Avenida António Augusto de Aguiar 31 Piso 0 1069-413 Lisboa,unknown,El Corte Ingles Lisbon
Lisboa,starbucks_eu,Aeroporto Lisboa T1 Chegadas 1700 008 Lisboa,unknown,Lisbon Airport T1 Arrivals
Lisboa,starbucks_eu,Aeroporto da Portela Alameda Comunidade 1700-007 Lisboa,unknown,Aeroporto de Lisboa – Terminal 1 Praça Central
Lisboa,starbucks_eu,Praça D. João da Câmara - Estação do Rossio Praça D. João da Câmara 1200-147 Lisboa,unknown,Rossio
Lisboa,starbucks_eu,Rua de Santa Justa 79 1100-484 Lisboa,unknown,Rua Santa Justa
Lisboa,starbucks_eu,Rua do Carmo nº2 Loja nº5 09A - Armazéns do Chiado 1200-094 Lisboa,unknown,Chiado
Lisboa,starbucks_eu,Alameda dos Oceanos nº1.06.1 A a l Parque das Nações 1990-207 Lisboa,unknown,Alameda dos Oceanos
Lisboa,starbucks_eu,Avenida Cruzeiro Seixas 5 e 7 - Loja nº1084/85 CC UBBO Casal da Mira 2650-504 Lisboa,unknown,UBBO
Lisboa,starbucks_eu,Rua Belém 110 1300-085 Lisboa,unknown,Belem
Lisboa,starbucks_eu,Estrada Nacional 117 - Loja nº60 CC Alegro Alfragide 2790-045 Lisboa,unknown,Alegro
